osmid,lanes,name,highway,maxspeed,width,junction,oneway,reversed,length,geometry,bridge
30149555,1,Rond-Point de la Cloche,secondary,50,4,roundabout,True,False,9.567,"LINESTRING (-52.6430765 5.1573246, -52.6430358 5.1573101, -52.6429933 5.1573176)",
205616897,1,Avenue du Général de Gaulle,tertiary,,,,True,False,15.831,"LINESTRING (-52.6430765 5.1573246, -52.6430523 5.1572532, -52.6430344 5.1571886)",
254499277,,Rue Jules Séraphin,tertiary,,,,False,False,84.889,"LINESTRING (-52.6465078 5.1548136, -52.6463977 5.154801, -52.6460482 5.1547609, -52.6457463 5.1547263)",
30149482,,Rue de Paris,residential,,,,True,False,9.938,"LINESTRING (-52.6402419 5.1612362, -52.6402907 5.1613112)",
71516611,,Rue Angélique,residential,,,,False,False,119.322,"LINESTRING (-52.6402419 5.1612362, -52.6398074 5.1608088, -52.6394694 5.1611294)",
30149552,,Rue du Stade,residential,50,,,False,False,63.991,"LINESTRING (-52.645434 5.1605454, -52.6454602 5.1605157, -52.645488 5.1604841, -52.6457815 5.160128, -52.645803 5.1601026)",
30149552,,Rue du Stade,residential,50,,,False,True,176.736,"LINESTRING (-52.645434 5.1605454, -52.6454087 5.1605709, -52.6451095 5.1608727, -52.6449403 5.1610437, -52.6448063 5.1611999, -52.6447123 5.1612334, -52.6446702 5.1612714, -52.6446709 5.1613762, -52.644405 5.1616234, -52.6443609 5.1616655)",
"[254499283, 254499285]",1,Rue Justin Catayée,residential,50,,,False,False,396.0809999999999,"LINESTRING (-52.645434 5.1605454, -52.6453702 5.1604852, -52.6450376 5.1601713, -52.6449019 5.1600432, -52.6444342 5.1595864, -52.6443609 5.159517, -52.6442663 5.1594264, -52.6436095 5.1587963, -52.643555 5.1587197, -52.6434843 5.1586202, -52.6434471 5.1584831, -52.6434608 5.1582385, -52.6435118 5.1578044)",
205616926,2,Rue Thomas Guidiglo,secondary,30,,,False,False,58.620000000000005,"LINESTRING (-52.6435547 5.1573596, -52.6437183 5.1573743, -52.6440817 5.157409)",
205616926,2,Rue Thomas Guidiglo,secondary,30,,,False,True,29.664,"LINESTRING (-52.6435547 5.1573596, -52.6433938 5.1573509, -52.6432871 5.1573529)",
254499285,1,Rue Justin Catayée,residential,50,,,False,True,49.689,"LINESTRING (-52.6435547 5.1573596, -52.6435485 5.1574306, -52.6435453 5.1574709, -52.6435118 5.1578044)",
437383284,,Rue de Paris,residential,,,,False,True,56.151,"LINESTRING (-52.6394945 5.1621896, -52.6398621 5.1618418)",
555858888,2,Avenue Léopold Heder,secondary,50,,,False,False,106.563,"LINESTRING (-52.6449735 5.162404, -52.6448571 5.1622458, -52.6443609 5.1616655)",
71390382,,Rue Balaté,residential,,,,False,True,39.877,"LINESTRING (-52.6402907 5.1613112, -52.640537 5.1615728)",
30149482,,Rue de Paris,residential,,,,True,False,76.24199999999999,"LINESTRING (-52.6402907 5.1613112, -52.6402008 5.1614795, -52.6398621 5.1618418)",
592859488,2,Rue de l'Amiral d'Estrées,tertiary,50,3,,False,False,102.009,"LINESTRING (-52.640254 5.1622754, -52.6410712 5.1618521)",
254499260,2,Rue de l'Amiral d'Estrées,tertiary,50,3,,False,False,59.765,"LINESTRING (-52.6410712 5.1618521, -52.641528 5.1615659)",
592859488,2,Rue de l'Amiral d'Estrées,tertiary,50,3,,False,True,102.009,"LINESTRING (-52.6410712 5.1618521, -52.640254 5.1622754)",
30149555,1,Rond-Point de la Cloche,secondary,50,4,roundabout,True,False,7.323,"LINESTRING (-52.6429933 5.1573176, -52.6429666 5.157337, -52.6429495 5.1573652)",
437383284,,Rue de Paris,residential,,,,False,False,56.151,"LINESTRING (-52.6398621 5.1618418, -52.6394945 5.1621896)",
30581909,,Rue Gaston Roger,residential,,,,True,False,64.871,"LINESTRING (-52.6398621 5.1618418, -52.6402329 5.1622517, -52.640254 5.1622754)",
205616886,2,Avenue des Roches,tertiary,50,5,,False,False,42.593,"LINESTRING (-52.6415719 5.1582098, -52.6412323 5.1583896)",
30149833,1,Avenue Victor Hugo,secondary,50,,,False,True,144.096,"LINESTRING (-52.6415719 5.1582098, -52.6415638 5.1582806, -52.6416889 5.1584485, -52.641904 5.1587105, -52.6420572 5.1588971, -52.6422057 5.1590746, -52.6423343 5.1592347)",
204015082,,Rue du Levant,residential,50,,,False,False,177.49,"LINESTRING (-52.6415719 5.1582098, -52.6415686 5.158175, -52.6415562 5.1578977, -52.6415207 5.1576505, -52.6414796 5.157493, -52.6408677 5.1568704)",
555858887,2,Avenue des Roches,secondary,50,5,,False,True,155.437,"LINESTRING (-52.6415719 5.1582098, -52.6420976 5.1578718, -52.6421526 5.1578371, -52.6426272 5.1575611, -52.6427681 5.1574792)",
254499244,2,Avenue du Général de Gaulle,residential,50,,,False,False,54.041,"LINESTRING (-52.643343 5.1544284, -52.6434047 5.1539463)",
30550308,,Boulevard Emmanuel Bellony,tertiary,50,,,False,False,30.212,"LINESTRING (-52.643343 5.1544284, -52.6433193 5.1544251, -52.6430721 5.1543964)",
254499247,1,Avenue du Général de Gaulle,tertiary,50,,,False,True,112.068,"LINESTRING (-52.643343 5.1544284, -52.6433351 5.1544788, -52.6432373 5.1553229, -52.6432276 5.1554296)",
254499278,,Rue Jules Séraphin,tertiary,,,,False,True,118.47,"LINESTRING (-52.643343 5.1544284, -52.6433885 5.1544344, -52.643913 5.1545033, -52.6443532 5.1545527, -52.6444046 5.1545593)",
30149555,1,Rond-Point de la Cloche,secondary,50,4,roundabout,True,False,8.451,"LINESTRING (-52.6429495 5.1573652, -52.642945 5.1574029, -52.6429576 5.1574388)",
30581774,,Avenue des Roches,secondary,,5,,True,False,23.98,"LINESTRING (-52.6429495 5.1573652, -52.642852 5.157409, -52.6427681 5.1574792)",
"[444650268, 444650269, 444650270]",1,Boulevard Emmanuel Bellony,tertiary,,,,True,False,312.34000000000003,"LINESTRING (-52.6397175 5.1539631, -52.6401072 5.1540312, -52.6410471 5.1541628, -52.6421659 5.1543158, -52.642335 5.1543304, -52.6425115 5.1543283)",
444650271,2,Boulevard Emmanuel Bellony,tertiary,50,,,False,False,104.518,"LINESTRING (-52.6397175 5.1539631, -52.6394287 5.1539593, -52.6392678 5.1539887, -52.6389 5.1543132)",
30581772,,Rue de l'Odéon,residential,,,,False,False,38.121,"LINESTRING (-52.6431789 5.1616887, -52.6434203 5.1614443)",
71213680,,Rue des Awaras,residential,,,,False,False,42.889,"LINESTRING (-52.6431789 5.1616887, -52.6434383 5.1619751)",
