osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,junction,bridge,access,tunnel
616968089,Quai de Lorraine,residential,50,False,False,6.885,,,"LINESTRING (2.9986829 43.1856605, 2.9987003 43.1855999)",,,,
715389813,Quai de l'Escoute,secondary,50,True,False,23.482,1,D 607,"LINESTRING (2.9986829 43.1856605, 2.9986265 43.1856527, 2.9985635 43.1856321, 2.9985246 43.1855979, 2.9984846 43.1855293)",,,,
715389815,Quai de l'Escoute,secondary,50,True,False,11.321,2,D 607,"LINESTRING (2.9992106 43.185213, 2.9992743 43.1851224)",,,,
30982191,Rue du Port,residential,50,True,False,102.49600000000001,,,"LINESTRING (2.9992106 43.185213, 2.9987826 43.1848784, 2.9987385 43.1848327, 2.9987177 43.184779, 2.9987337 43.1846836, 2.998762 43.1846025, 2.998805 43.1845359, 2.9988552 43.1845096, 2.9989037 43.1844687)",,,,
199233823,Avenue des Pyrénées,secondary,30,True,False,57.483,2,,"LINESTRING (2.9993924 43.1848424, 2.998922 43.1844904, 2.9989037 43.1844687)",,,,
31853603,Rue du Bourget,residential,50,True,False,33.21,,,"LINESTRING (2.999398 43.1802381, 2.9995045 43.1802299, 2.9995326 43.1802277, 2.9998053 43.1802067)",,,,
31853607,Rue Racine,residential,30,True,False,60.214000000000006,,,"LINESTRING (2.999398 43.1802381, 2.9994984 43.1804553, 2.9996019 43.1806764, 2.9996382 43.1807505)",,,,
31853612,Rue Kruger,residential,50,False,False,21.378,,,"LINESTRING (3.0002185 43.180203, 3.0003154 43.1800242)",,,,
31853603,Rue du Bourget,residential,50,True,False,53.455000000000005,,,"LINESTRING (3.0002185 43.180203, 3.0007816 43.1802493, 3.0008408 43.1802542, 3.0008736 43.1802569)",,,,
26714732,Rue Maraussan,residential,50,True,False,19.373,,,"LINESTRING (3.0008736 43.1802569, 3.0009204 43.1802256, 3.0008639 43.1801045)",,,,
31853619,Rue Maraussan,residential,50,True,False,27.666000000000004,,,"LINESTRING (3.0008736 43.1802569, 3.0009191 43.1802782, 3.0009794 43.1803144, 3.001064 43.1803652, 3.0011622 43.1803766)",,,,
201759221,Rue de l'Alcazar,residential,50,True,False,43.099,,,"LINESTRING (3.0053043 43.1797649, 3.0057301 43.1799969)",,,,
843641298,Rue Mazzini,residential,50,True,False,87.949,,,"LINESTRING (3.0053043 43.1797649, 3.0043967 43.1799597, 3.004313 43.1800145, 3.0042936 43.1800272)",,,,
198641155,Boulevard du Docteur Lacroix,secondary,30,False,True,22.922,3,,"LINESTRING (2.9984898 43.1810209, 2.9987591 43.1809582)",,,,
452913744,Boulevard du Docteur Lacroix,secondary,50,False,False,102.286,3,,"LINESTRING (2.9984898 43.1810209, 2.9984019 43.1810693, 2.9983522 43.1811339, 2.9983118 43.1812406, 2.9982405 43.1815723, 2.9981727 43.1818875)",,,,
