osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,width
141630921,2,D 678sd,Rue des Bordes,primary,50,False,False,45.26,"LINESTRING (5.2229162 46.6284042, 5.2229616 46.6283843, 5.2229996 46.6283567, 5.2230264 46.6283237, 5.2230494 46.6282861, 5.2231629 46.6280449)",,,
141630921,2,D 678sd,Rue des Bordes,primary,50,False,True,10.478,"LINESTRING (5.2229162 46.6284042, 5.2228809 46.6284088, 5.2228423 46.6284089, 5.2227803 46.6284026)",,,
141630921,2,D 678sd,Rue des Bordes,primary,50,False,True,45.260000000000005,"LINESTRING (5.2231629 46.6280449, 5.2230494 46.6282861, 5.2230264 46.6283237, 5.2229996 46.6283567, 5.2229616 46.6283843, 5.2229162 46.6284042)",,,
173533277,1,D 678sd,Rue du Capitaine Vic,primary,,True,False,211.815,"LINESTRING (5.2231629 46.6280449, 5.2239615 46.6281534, 5.2241364 46.6281714, 5.2241514 46.6281729, 5.2253411 46.6282903, 5.225782 46.6283319, 5.2259016 46.6283436)",,,
189899896,2,D 996,Rue des Bordes,secondary,,False,False,62.351,"LINESTRING (5.2231629 46.6280449, 5.2231974 46.6279736, 5.2233611 46.6276349, 5.2234201 46.6275127)",,,
35881891,,,Promenade des Cordeliers,residential,,False,True,104.732,"LINESTRING (5.2259016 46.6283436, 5.2259173 46.6283168, 5.2259292 46.6282965, 5.2264132 46.6274697)",,,
173533276,,D 678sd,Rue Edgar Guigot,primary,,True,False,82.381,"LINESTRING (5.2259016 46.6283436, 5.2256964 46.6288517, 5.2256153 46.6290579)",,,
"[185498279, 185498305, 185498271]",,,Rue du Capitaine Vic,residential,,False,"[False, True]",72.047,"LINESTRING (5.2259016 46.6283436, 5.2259603 46.6283503, 5.2259766 46.6283521, 5.2259908 46.6283537, 5.2261589 46.628374, 5.2268324 46.6284495)",yes,,
"[1004039201, 298171538]",2,D 678,"['Rue du 11 Novembre 1918', 'Rue du Guidon']",primary,30,False,False,260.377,"LINESTRING (5.2182968 46.6325716, 5.2184482 46.6324408, 5.2185126 46.6323763, 5.2185796 46.6322594, 5.2186467 46.6321194, 5.2186896 46.6320126, 5.2187117 46.6318867, 5.2187164 46.6318657, 5.2188063 46.6312629, 5.2188177 46.6311536, 5.2188975 46.6305971, 5.2189068 46.6304976, 5.2189408 46.630309)",,,
85082476,,,Rue Claude Morel,secondary,,False,False,149.558,"LINESTRING (5.2259247 46.6302492, 5.2274015 46.6304842, 5.2278328 46.6305528)",,,
189602286,,D 13,Rue de l'Ecotet,secondary,50,False,False,33.903,"LINESTRING (5.2259247 46.6302492, 5.2260201 46.6300105, 5.2260294 46.6299924, 5.2260479 46.6299564)",,,
189602286,,D 13,Rue de l'Ecotet,secondary,50,False,True,100.267,"LINESTRING (5.2259247 46.6302492, 5.225898 46.6303088, 5.2257693 46.6305722, 5.2257143 46.6306229, 5.2256062 46.6306873, 5.2255186 46.6307368, 5.2253763 46.6308172, 5.2252677 46.6309093, 5.2252127 46.6309765)",,,
85082476,,,Rue Claude Morel,secondary,,False,False,41.9,"LINESTRING (5.2278328 46.6305528, 5.2280118 46.6301966)",,,
85082476,,,Rue Claude Morel,secondary,,False,True,149.558,"LINESTRING (5.2278328 46.6305528, 5.2274015 46.6304842, 5.2259247 46.6302492)",,,
189888715,,,Impasse Claude Morel,residential,,False,False,49.663,"LINESTRING (5.2278328 46.6305528, 5.2277541 46.6307426, 5.2277071 46.6309145, 5.2276871 46.6309876)",,,
35881890,,,Rue des Vieilles Boucheries,residential,30,False,False,84.38399999999999,"LINESTRING (5.221091 46.6299751, 5.2212122 46.6295585, 5.22129 46.6292776, 5.221311 46.6292317)",,,
855862983,,D 678sg,Rue des Dôdanes,primary,30,False,True,70.416,"LINESTRING (5.221091 46.6299751, 5.2208336 46.6299059, 5.2205794 46.6298131, 5.2205135 46.6297927, 5.220264 46.6296973)",,,
35881894,,D 678sg,Rue des Dôdanes,primary,30,True,False,107.639,"LINESTRING (5.2224776 46.6301459, 5.2216667 46.6300612, 5.2213435 46.6300173, 5.2212709 46.6300074, 5.221091 46.6299751)",,,
