osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,lanes,ref,tunnel
902707476,secondary,roundabout,True,False,12.634,"LINESTRING (-2.3991669 47.9283027, -2.3991555 47.9283147, -2.3991492 47.9283282, -2.3991484 47.9283424, -2.3991531 47.9283562, -2.3991632 47.9283688, -2.3991777 47.9283791, -2.3991958 47.9283865, -2.3992162 47.9283904)",,,,,
10069385,secondary,,True,False,103.057,"LINESTRING (-2.3987634 47.929999, -2.3987157 47.9300072, -2.3986633 47.9300132, -2.398563 47.9300127, -2.3984546 47.9300096, -2.3983752 47.9300086, -2.3974757 47.9299974, -2.3973828 47.9299992)",Rue Josselin de Rohan,30,,,
143905007,secondary,,False,False,61.629000000000005,"LINESTRING (-2.3987634 47.929999, -2.3987889 47.9298927, -2.3988647 47.9295771, -2.3988948 47.9294518)",Rue du Général Dubreton,30,,,
1087219185,tertiary,,False,False,320.52399999999994,"LINESTRING (-2.3987634 47.929999, -2.3988116 47.9299912, -2.398893 47.9299805, -2.3992439 47.9299502, -2.4003363 47.9298539, -2.4004656 47.9298427, -2.4014099 47.9297612, -2.4015878 47.9297376, -2.4016267 47.9297299, -2.4018209 47.9296916, -2.4020539 47.929642, -2.4022679 47.9295882, -2.4029552 47.9294156)",Avenue de Guibourg,,,,
"[160502572, 446107086]",secondary,,False,True,42.84,"LINESTRING (-2.3971597 47.9315207, -2.3972649 47.9315284, -2.3973283 47.9315388, -2.3973515 47.9315448, -2.3973843 47.9315534, -2.3974516 47.9315707, -2.3974897 47.9315766, -2.3975456 47.9315809, -2.3977208 47.9315946)","['Rue Charles de Gaulle', 'Rue des Forges']",30,2,,
966853151,secondary,,False,False,81.68599999999999,"LINESTRING (-2.3971597 47.9315207, -2.3968703 47.9315031, -2.3965876 47.9314862, -2.3961475 47.9314578, -2.396068 47.9314527)",Rue des Forges,30,2,,
10069387,secondary,roundabout,True,False,10.901,"LINESTRING (-2.3933315 47.9306642, -2.3933514 47.9306344, -2.3933586 47.930602, -2.3933527 47.9305696)",Giratoire Robert et Line Guillois,,,,
446197194,secondary,,True,False,26.740000000000002,"LINESTRING (-2.3933315 47.9306642, -2.3933778 47.9306611, -2.3934362 47.9306634, -2.3934832 47.9306665, -2.3935415 47.9306777, -2.3936796 47.9307094)",Rue Sénéchal Thuault,30,,,
10069387,secondary,roundabout,True,False,8.004,"LINESTRING (-2.3933527 47.9305696, -2.3933314 47.9305365, -2.3932967 47.9305091)",Giratoire Robert et Line Guillois,,,,
160491307,secondary,,False,True,56.023999999999994,"LINESTRING (-2.3989266 47.9319217, -2.3989836 47.9319417, -2.399371 47.9319291, -2.399412 47.9319312, -2.3994516 47.931935, -2.3994752 47.9319384, -2.3994869 47.9319408, -2.3995542 47.931958, -2.3996466 47.9319983)",Place Lamennais,30,,,
160502579,residential,,False,True,13.120000000000001,"LINESTRING (-2.3989266 47.9319217, -2.3988803 47.9319486, -2.3988547 47.93197, -2.3988378 47.9319864, -2.3988236 47.9320144)",Rue des Douves,30,,,
446107087,secondary,,False,False,36.472,"LINESTRING (-2.3989266 47.9319217, -2.3986959 47.9317312, -2.3986786 47.9317135, -2.3986539 47.9316813, -2.3986399 47.9316578)",Rue Charles de Gaulle,30,,,
39412381,secondary,,False,False,124.031,"LINESTRING (-2.399285 47.9337023, -2.399331 47.933715, -2.3993637 47.9337344, -2.3993957 47.933765, -2.3994278 47.9337985, -2.3994663 47.9338453, -2.3995488 47.9339245, -2.3997831 47.9341367, -2.4002142 47.9345365, -2.400293 47.9345801)",Rue du Lac,30,,D 8,
438211934,secondary,,True,False,46.718,"LINESTRING (-2.399285 47.9337023, -2.3993006 47.9336582, -2.3993143 47.9336203, -2.3994205 47.9332921)",Rue du Val,30,,,
905918329,secondary,,False,True,42.016999999999996,"LINESTRING (-2.399285 47.9337023, -2.3992678 47.9337618, -2.3992493 47.9338229, -2.3991727 47.9340726)",Rue du Val,30,,,
779261193,secondary,,False,True,87.618,"LINESTRING (-2.4043699 47.9323353, -2.4043001 47.9322998, -2.4042229 47.9322606, -2.40414 47.9322178, -2.4040437 47.9321777, -2.4038985 47.9321282, -2.4036797 47.932053, -2.403501 47.9319959, -2.4033479 47.9319517)",Boulevard du Maréchal Foch,30,,D 724,
905918330,secondary,,False,False,5.041,"LINESTRING (-2.3991564 47.9341166, -2.3991727 47.9340726)",Rue du Val,30,,,
143904989,secondary,,False,True,52.766,"LINESTRING (-2.3991564 47.9341166, -2.3991406 47.9341611, -2.3990276 47.9344672, -2.3989917 47.9345781)",Rue du Val,30,,,
