osmid,oneway,ref,name,highway,maxspeed,reversed,length,bridge,lanes,geometry,junction,access,tunnel
"[1631526, 441570574, 441570575]",False,D 786,Pont Viarmes,primary,30,True,46.50899999999999,yes,3,"LINESTRING (-3.4648488 48.7318189, -3.4648516 48.731796, -3.464865 48.7316976, -3.464923 48.7315164, -3.4649572 48.7314199, -3.4649612 48.731408)",,,
590612335,True,,,primary,30,False,16.439,,,"LINESTRING (-3.4648488 48.7318189, -3.4648116 48.7318213, -3.4647774 48.7318312, -3.4647494 48.7318475, -3.4647304 48.7318687, -3.4647222 48.7318928, -3.4647256 48.7319173)",roundabout,,
711272971,True,,,primary,30,False,14.173,,2,"LINESTRING (-3.4650469 48.7312724, -3.4650092 48.7312668, -3.4649708 48.7312702, -3.4649365 48.7312819, -3.4649104 48.7313007, -3.4648956 48.7313242)",roundabout,,
"[157304008, 590612038]",False,,Rue de Kermaria,tertiary,30,True,99.53899999999999,,,"LINESTRING (-3.4576241 48.7280439, -3.4575714 48.7280912, -3.4572478 48.728206, -3.4572263 48.7282191, -3.4570872 48.7283036, -3.4569353 48.7283958, -3.4568155 48.7285317, -3.4567082 48.7286715)",,,
929284518,True,,,primary,,False,13.798,,,"LINESTRING (-3.4576241 48.7280439, -3.4576478 48.7280632, -3.4576795 48.7280765, -3.457716 48.7280826, -3.4577535 48.7280808, -3.4577882 48.7280712)",roundabout,,
4006983,True,D 786,Quai d'Aiguillon,primary,30,False,60.330999999999996,,,"LINESTRING (-3.4618676 48.7322868, -3.4620063 48.7323391, -3.4622835 48.7324931, -3.4623922 48.7325282, -3.4625667 48.7325556)",,,
4038954,False,,Avenue Ernest Renan,secondary,30,False,75.154,,2,"LINESTRING (-3.4618676 48.7322868, -3.4617404 48.7323577, -3.4615849 48.732401, -3.4609666 48.7326021)",,,
27428584,True,,Rue de Viarmes,secondary,30,False,79.81,,,"LINESTRING (-3.4618676 48.7322868, -3.4619846 48.732356, -3.4623534 48.7325743, -3.462542 48.7326845, -3.4626776 48.7327661)",,,
77561279,False,,Rue Yann Peron,tertiary,,True,19.307,,,"LINESTRING (-3.4574282 48.7338217, -3.4572028 48.7339114)",,,
"[63394307, 77561276, 407690045]",True,,Place du Marchallac'h,residential,30,False,110.623,,,"LINESTRING (-3.4574282 48.7338217, -3.4570387 48.7334593, -3.4570278 48.7333823, -3.4569854 48.7329776, -3.4569806 48.7329267, -3.4569915 48.7329117)",,,
