osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,name,tunnel
42345525,secondary,50,roundabout,True,False,17.283,"LINESTRING (4.7695676 45.9404655, 4.7696059 45.9404385, 4.7696638 45.9404208, 4.7697184 45.9404193, 4.7697672 45.9404298)",,,,
153618576,secondary,30,,True,False,40.063,"LINESTRING (4.7777084 45.9392249, 4.7779279 45.9391203, 4.7781493 45.9390366)",1,D 933,Quai de Saône,
"[184321158, 667018151, 153618574, 289952046, 152183123, 289952057, 778759358]",secondary,"['30', '50']",,False,False,559.361,"LINESTRING (4.7777084 45.9392249, 4.7771726 45.9394424, 4.7767322 45.939594, 4.7763966 45.9396797, 4.7760857 45.9397387, 4.7753258 45.9398699, 4.7750887 45.9399125, 4.7744079 45.940005, 4.7742495 45.9400262, 4.7738135 45.9400785, 4.7729108 45.9401495, 4.7727935 45.9401618, 4.7727062 45.9401687, 4.7726484 45.9401732, 4.7725717 45.9401825, 4.7723241 45.940211, 4.7722668 45.9402184, 4.7721144 45.9402361, 4.7713532 45.9403297, 4.7707331 45.9404038)",2,D 933,"['Avenue du Docteur Bollet', 'Quai de Saône']",
44174486,residential,,,False,False,190.50799999999998,"LINESTRING (4.7707331 45.9404038, 4.7708056 45.940903, 4.7708119 45.941036, 4.770956 45.9411589, 4.7712101 45.9413812, 4.7712559 45.9414212, 4.7717229 45.9413711, 4.7720856 45.9413261)",,,Rue Neuve,
289952046,secondary,50,,False,False,69.19,"LINESTRING (4.7707331 45.9404038, 4.7700003 45.940496, 4.7698533 45.9405171)",2,D 933,Avenue du Docteur Bollet,
"[184321158, 667018151, 153618574, 289952046, 152183123, 289952057, 778759358]",secondary,"['50', '30']",,False,True,559.361,"LINESTRING (4.7707331 45.9404038, 4.7713532 45.9403297, 4.7721144 45.9402361, 4.7722668 45.9402184, 4.7723241 45.940211, 4.7725717 45.9401825, 4.7726484 45.9401732, 4.7727062 45.9401687, 4.7727935 45.9401618, 4.7729108 45.9401495, 4.7738135 45.9400785, 4.7742495 45.9400262, 4.7744079 45.940005, 4.7750887 45.9399125, 4.7753258 45.9398699, 4.7760857 45.9397387, 4.7763966 45.9396797, 4.7767322 45.939594, 4.7771726 45.9394424, 4.7777084 45.9392249)",2,D 933,"['Avenue du Docteur Bollet', 'Quai de Saône']",
44174486,residential,,,False,True,190.508,"LINESTRING (4.7720856 45.9413261, 4.7717229 45.9413711, 4.7712559 45.9414212, 4.7712101 45.9413812, 4.770956 45.9411589, 4.7708119 45.941036, 4.7708056 45.940903, 4.7707331 45.9404038)",,,Rue Neuve,
"[1132763595, 44174476, 44174487]",residential,,,True,False,128.684,"LINESTRING (4.7720856 45.9413261, 4.7720207 45.9410186, 4.7719911 45.9408872, 4.7727384 45.9408036, 4.7726894 45.9406196)",,,"['Rue du Port', ""Rue de l'Hôpital"", 'Rue des Halles']",
44173984,residential,,,False,True,29.765,"LINESTRING (4.7717991 45.9419205, 4.7721609 45.9418291)",,,Boulevard de l'Industrie,
44173984,residential,,,False,False,82.013,"LINESTRING (4.7717991 45.9419205, 4.7713625 45.9419536, 4.771197 45.9419662, 4.7707479 45.9420168)",,,Boulevard de l'Industrie,
287511515,residential,,,False,False,69.895,"LINESTRING (4.7717991 45.9419205, 4.7718428 45.9420922, 4.7720387 45.9425255)",,,Rue des Lapins,
44583648,residential,,,False,True,146.74699999999999,"LINESTRING (4.7687689 45.9393811, 4.7692207 45.9397014, 4.7693838 45.9398142, 4.7696687 45.9400452, 4.7698014 45.9402591, 4.7698038 45.9403267, 4.7697672 45.9404298)",,,Chemin du Camping,
44173984,residential,,,False,False,57.775999999999996,"LINESTRING (4.7707479 45.9420168, 4.770374 45.9420468, 4.770007 45.9420837)",,,Boulevard de l'Industrie,
44173984,residential,,,False,True,82.013,"LINESTRING (4.7707479 45.9420168, 4.771197 45.9419662, 4.7713625 45.9419536, 4.7717991 45.9419205)",,,Boulevard de l'Industrie,
380374649,residential,,,False,False,56.802,"LINESTRING (4.7707479 45.9420168, 4.770757 45.9420822, 4.7708374 45.9422053, 4.7709608 45.9422687, 4.7711636 45.942281, 4.7712508 45.9422698)",,,Montée des Lilas,
227603892,secondary,50,,False,True,88.479,"LINESTRING (4.7674554 45.9416543, 4.7683906 45.9411958)",2,D 933,Avenue du Docteur Bollet,
44174168,residential,,,False,False,191.173,"LINESTRING (4.7674554 45.9416543, 4.7674991 45.9416767, 4.7677649 45.9416541, 4.7689407 45.9414797, 4.7698717 45.9413553)",,,Rue de la Tréfilerie,
227603892,secondary,50,,False,False,88.479,"LINESTRING (4.7683906 45.9411958, 4.7674554 45.9416543)",2,D 933,Avenue du Docteur Bollet,
227603892,secondary,50,,False,True,113.774,"LINESTRING (4.7683906 45.9411958, 4.7687969 45.9410123, 4.7694661 45.9406737, 4.7695849 45.9405999)",2,D 933,Avenue du Docteur Bollet,
289952045,residential,30,,True,False,101.18,"LINESTRING (4.7683906 45.9411958, 4.768277 45.9411599, 4.7670998 45.9410736)",,,Allée du Roquet,
342096874,residential,,,False,False,9.394,"LINESTRING (4.7728235 45.9412727, 4.7727049 45.941291)",,,Rue de l'Herberie,building_passage
44173986,residential,,,False,False,82.95500000000001,"LINESTRING (4.7698717 45.9413553, 4.7698537 45.940737, 4.7697818 45.9406196)",,,Rue des Ursules,
44173986,residential,,,False,True,81.739,"LINESTRING (4.7698717 45.9413553, 4.7699272 45.941773, 4.770007 45.9420837)",,,Rue des Ursules,
44174168,residential,,,False,True,191.173,"LINESTRING (4.7698717 45.9413553, 4.7689407 45.9414797, 4.7677649 45.9416541, 4.7674991 45.9416767, 4.7674554 45.9416543)",,,Rue de la Tréfilerie,
287511513,residential,,,False,False,38.197,"LINESTRING (4.7724073 45.9416862, 4.772342 45.9413457)",,,Rue Japerie,
287511515,residential,,,False,True,69.895,"LINESTRING (4.7720387 45.9425255, 4.7718428 45.9420922, 4.7717991 45.9419205)",,,Rue des Lapins,
228921073,residential,,,True,False,73.199,"LINESTRING (4.7737332 45.941097, 4.7734444 45.9411591, 4.7733395 45.9411873, 4.773245 45.9412126, 4.7732217 45.9412188, 4.7728625 45.9412674, 4.7728235 45.9412727)",,,Rue de l'Herberie,
"[287511509, 287511510]",residential,,,False,"[False, True]",39.187,"LINESTRING (4.7723128 45.9409947, 4.7723103 45.9411741, 4.772342 45.9413457)",,,"['Place Guichard', 'Rue Basse des Boucheries']",
44173984,residential,,,False,False,29.765,"LINESTRING (4.7721609 45.9418291, 4.7717991 45.9419205)",,,Boulevard de l'Industrie,
44174487,residential,,,True,False,51.718,"LINESTRING (4.7721609 45.9418291, 4.7720901 45.9413666)",,,Rue de l'Hôpital,
380374649,residential,,,False,True,56.802,"LINESTRING (4.7712508 45.9422698, 4.7711636 45.942281, 4.7709608 45.9422687, 4.7708374 45.9422053, 4.770757 45.9420822, 4.7707479 45.9420168)",,,Montée des Lilas,
44173984,residential,,,False,True,57.775999999999996,"LINESTRING (4.770007 45.9420837, 4.770374 45.9420468, 4.7707479 45.9420168)",,,Boulevard de l'Industrie,
44173986,residential,,,False,False,81.739,"LINESTRING (4.770007 45.9420837, 4.7699272 45.941773, 4.7698717 45.9413553)",,,Rue des Ursules,
342096874,residential,,,False,True,9.394,"LINESTRING (4.7727049 45.941291, 4.7728235 45.9412727)",,,Rue de l'Herberie,building_passage
342096881,residential,,,True,False,28.75,"LINESTRING (4.7727049 45.941291, 4.7724608 45.9413341, 4.772342 45.9413457)",,,Rue de l'Herberie,
44174487,residential,,,True,False,4.517,"LINESTRING (4.7720901 45.9413666, 4.7720856 45.9413261)",,,Rue de l'Hôpital,
1132763600,residential,,,False,True,19.616,"LINESTRING (4.7720901 45.9413666, 4.772342 45.9413457)",,,Rue de l'Herberie,
287511513,residential,,,False,True,38.197,"LINESTRING (4.772342 45.9413457, 4.7724073 45.9416862)",,,Rue Japerie,
1132763600,residential,,,False,False,19.616,"LINESTRING (4.772342 45.9413457, 4.7720901 45.9413666)",,,Rue de l'Herberie,
"[287511509, 287511510]",residential,,,False,"[False, True]",39.187,"LINESTRING (4.772342 45.9413457, 4.7723103 45.9411741, 4.7723128 45.9409947)",,,"['Place Guichard', 'Rue Basse des Boucheries']",
42345525,secondary,50,roundabout,True,False,16.318,"LINESTRING (4.7695849 45.9405999, 4.7695508 45.9405679, 4.7695458 45.9405577, 4.7695401 45.94052, 4.7695533 45.9404831, 4.7695676 45.9404655)",,,,
227603892,secondary,50,,False,False,113.774,"LINESTRING (4.7695849 45.9405999, 4.7694661 45.9406737, 4.7687969 45.9410123, 4.7683906 45.9411958)",2,D 933,Avenue du Docteur Bollet,
184321157,secondary,50,,True,False,10.406,"LINESTRING (4.7783281 45.9389809, 4.7783825 45.9390665)",,D 933,Quai de Saône,
42345525,secondary,50,roundabout,True,False,13.25,"LINESTRING (4.7698533 45.9405171, 4.7698498 45.9405529, 4.7698282 45.9405877, 4.7697818 45.9406196)",,,,
289952046,secondary,50,,False,True,69.19,"LINESTRING (4.7698533 45.9405171, 4.7700003 45.940496, 4.7707331 45.9404038)",2,D 933,Avenue du Docteur Bollet,
153618576,secondary,30,,True,False,15.164,"LINESTRING (4.7781493 45.9390366, 4.778189 45.9390216, 4.7783281 45.9389809)",1,D 933,Quai de Saône,
965603890,secondary,30,,True,False,15.614,"LINESTRING (4.7783825 45.9390665, 4.7781946 45.9391179)",,D 933,Quai de Saône,
184321156,secondary,50,,True,False,9.695,"LINESTRING (4.7781946 45.9391179, 4.7781493 45.9390366)",,D 933,Quai de Saône,
965603890,secondary,30,,True,False,39.435,"LINESTRING (4.7781946 45.9391179, 4.7779666 45.9391673, 4.7777084 45.9392249)",,D 933,Quai de Saône,
42345525,secondary,50,roundabout,True,False,12.227999999999998,"LINESTRING (4.7697672 45.9404298, 4.769811 45.9404524, 4.7698387 45.9404805, 4.7698533 45.9405171)",,,,
44583648,residential,,,False,False,146.747,"LINESTRING (4.7697672 45.9404298, 4.7698038 45.9403267, 4.7698014 45.9402591, 4.7696687 45.9400452, 4.7693838 45.9398142, 4.7692207 45.9397014, 4.7687689 45.9393811)",,,Chemin du Camping,
42345525,secondary,50,roundabout,True,False,16.871,"LINESTRING (4.7697818 45.9406196, 4.7697314 45.9406343, 4.7696769 45.940636, 4.7696469 45.9406313, 4.769599 45.9406131, 4.7695849 45.9405999)",,,,
44173986,residential,,,False,True,82.95500000000001,"LINESTRING (4.7697818 45.9406196, 4.7698537 45.940737, 4.7698717 45.9413553)",,,Rue des Ursules,
