osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,ref,bridge,lanes,width
208111598,False,Rue Gaston Doumergue,living_street,20,False,39.297,"LINESTRING (1.3469158 43.584192, 1.3470129 43.5842427, 1.3473162 43.5843939)",,M 63w,,,
"[456459651, 456666494, 6229111]",False,Rue Gaston Doumergue,living_street,20,True,67.592,"LINESTRING (1.3469158 43.584192, 1.3464477 43.5839337, 1.3463952 43.5839058, 1.3463376 43.5838729, 1.3462495 43.5838225)",,,,,
"[208111588, 7743501]",True,Avenue de la Résistance,residential,30,False,104.369,"LINESTRING (1.3473162 43.5843939, 1.3472896 43.5844582, 1.346941 43.5847681, 1.346551 43.5851459)",,M 63w,,,
208111598,False,Rue Gaston Doumergue,living_street,20,True,39.297,"LINESTRING (1.3473162 43.5843939, 1.3470129 43.5842427, 1.3469158 43.584192)",,M 63w,,,
"[149972165, 875274068, 892355572]",False,Rue Gaston Doumergue,"['living_street', 'tertiary']","['20', '30']",False,316.291,"LINESTRING (1.3473162 43.5843939, 1.347359 43.584415, 1.3477501 43.5846049, 1.348213 43.5848278, 1.348535 43.5849431, 1.3494431 43.5852671, 1.3495922 43.5853203, 1.3498799 43.5854187, 1.3500628 43.58547, 1.3502179 43.5855135, 1.3506409 43.5856225, 1.3507788 43.5856532, 1.3508141 43.585661)",,M 632w,,,
"[892355573, 149972165]",False,Rue Gaston Doumergue,tertiary,30,False,129.26600000000002,"LINESTRING (1.3508141 43.585661, 1.3514739 43.5858194, 1.3516738 43.5858845, 1.3518639 43.5859547, 1.3521642 43.5860867, 1.3522719 43.5861341)",,M 632w,,2,
"[892355572, 149972165, 875274068]",False,Rue Gaston Doumergue,"['living_street', 'tertiary']","['20', '30']",True,316.291,"LINESTRING (1.3508141 43.585661, 1.3507788 43.5856532, 1.3506409 43.5856225, 1.3502179 43.5855135, 1.3500628 43.58547, 1.3498799 43.5854187, 1.3495922 43.5853203, 1.3494431 43.5852671, 1.348535 43.5849431, 1.348213 43.5848278, 1.3477501 43.5846049, 1.347359 43.584415, 1.3473162 43.5843939)",,M 632w,,,
"[169036478, 621461503]",False,"['Rue du 8 Mai 1945', 'Cité du Parc']",residential,30,False,116.613,"LINESTRING (1.3508141 43.585661, 1.350825 43.5856339, 1.3508334 43.5856167, 1.3508466 43.5855969, 1.350863 43.5855782, 1.3512494 43.5852569, 1.3512677 43.5852387, 1.3513033 43.5851886, 1.3513726 43.5849451, 1.3514146 43.5848741, 1.3514767 43.5847996, 1.3515136 43.5847695)",,,,,
6229121,False,Rue Gaston Doumergue,living_street,20,True,157.08700000000002,"LINESTRING (1.3454553 43.5834689, 1.3454322 43.583484, 1.3453896 43.5835118, 1.3453457 43.5835404, 1.3451446 43.5836723, 1.3451325 43.5836803, 1.3440761 43.5843381, 1.3439827 43.584395)",,,,,
1247582941,True,,living_street,20,False,10.818,"LINESTRING (1.3454553 43.5834689, 1.3454439 43.5834513, 1.3454394 43.5834321, 1.3454423 43.5834128, 1.3454522 43.5833947, 1.3454685 43.5833792)",roundabout,,,,
