osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,junction
17715629,2,Avenue de Verdun,secondary,30,False,False,261.029,"LINESTRING (4.7849594 45.7731603, 4.7849092 45.773065, 4.784783 45.7728194, 4.7847304 45.7727525, 4.7846548 45.7726964, 4.7845689 45.7726462, 4.7844611 45.7725955, 4.7843442 45.7725597, 4.7842561 45.7725394, 4.7841621 45.7725265, 4.7840607 45.7725216, 4.7839627 45.7725271, 4.7838727 45.7725388, 4.7837643 45.7725604, 4.7836758 45.7725876, 4.7835938 45.7726229, 4.7835148 45.7726727, 4.7834515 45.7727267, 4.7834011 45.7727768, 4.7833607 45.7728349, 4.7833229 45.7729128, 4.7832957 45.7730237, 4.7832674 45.773132, 4.7832374 45.7732014, 4.7832142 45.7732399, 4.7831967 45.7732688, 4.7831493 45.7733238, 4.7831099 45.77336, 4.7830448 45.7734073, 4.7829085 45.7734963)",,,
31531583,,Montée du Docteur Mastier,residential,30,True,False,163.394,"LINESTRING (4.7849594 45.7731603, 4.7830969 45.7734654, 4.7829085 45.7734963)",,,
17715629,2,Avenue de Verdun,secondary,30,False,True,261.02900000000005,"LINESTRING (4.7829085 45.7734963, 4.7830448 45.7734073, 4.7831099 45.77336, 4.7831493 45.7733238, 4.7831967 45.7732688, 4.7832142 45.7732399, 4.7832374 45.7732014, 4.7832674 45.773132, 4.7832957 45.7730237, 4.7833229 45.7729128, 4.7833607 45.7728349, 4.7834011 45.7727768, 4.7834515 45.7727267, 4.7835148 45.7726727, 4.7835938 45.7726229, 4.7836758 45.7725876, 4.7837643 45.7725604, 4.7838727 45.7725388, 4.7839627 45.7725271, 4.7840607 45.7725216, 4.7841621 45.7725265, 4.7842561 45.7725394, 4.7843442 45.7725597, 4.7844611 45.7725955, 4.7845689 45.7726462, 4.7846548 45.7726964, 4.7847304 45.7727525, 4.784783 45.7728194, 4.7849092 45.773065, 4.7849594 45.7731603)",,,
31531581,1,Avenue Raymond de Veyssière,secondary,30,False,False,87.063,"LINESTRING (4.7829085 45.7734963, 4.7827184 45.7735433, 4.7824584 45.7736075, 4.7818503 45.7737576)",,,
31531585,2,Chemin du Randin,unclassified,,False,False,66.571,"LINESTRING (4.7829085 45.7734963, 4.78284 45.773401, 4.7826878 45.7731891, 4.7825515 45.7729524)",,,
31531581,1,Avenue Raymond de Veyssière,secondary,30,False,False,166.34499999999997,"LINESTRING (4.7808682 45.7740423, 4.7804975 45.7741365, 4.7801433 45.7742312, 4.7794726 45.7744105, 4.7791635 45.7744811, 4.7789557 45.7745285, 4.7788523 45.7745521)",,,
31531581,1,Avenue Raymond de Veyssière,secondary,30,False,True,82.486,"LINESTRING (4.7808682 45.7740423, 4.7817473 45.7737875, 4.7818503 45.7737576)",,,
31531581,1,Avenue Raymond de Veyssière,secondary,30,False,True,166.34499999999997,"LINESTRING (4.7788523 45.7745521, 4.7789557 45.7745285, 4.7791635 45.7744811, 4.7794726 45.7744105, 4.7801433 45.7742312, 4.7804975 45.7741365, 4.7808682 45.7740423)",,,
31652066,2,Avenue du Docteur Terver,primary,30,False,False,139.89,"LINESTRING (4.7788523 45.7745521, 4.7788174 45.7744517, 4.7788076 45.7744233, 4.7786711 45.7740615, 4.7783308 45.7734093, 4.7783026 45.7733554)",,,
147419782,,Place Charles de Gaulle,residential,30,False,False,82.438,"LINESTRING (4.7788523 45.7745521, 4.7787029 45.7745928, 4.7780428 45.7747614, 4.7778627 45.7748214)",,,
