osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction,width
24746118,True,Avenue Pierre 1er de Serbie,residential,False,76.492,"LINESTRING (-2.389237 47.2881501, -2.3892402 47.2880948, -2.3892624 47.2875233, -2.3892343 47.2874655)",,,,,
25532920,False,Avenue des Ondines,tertiary,False,97.303,"LINESTRING (-2.3926252 47.2876905, -2.392434 47.2877527, -2.3915777 47.2879579, -2.3914148 47.2879905)",2,,,,
144427071,False,Avenue Jean de Neyman,primary,False,109.63300000000001,"LINESTRING (-2.3926252 47.2876905, -2.3924495 47.2875952, -2.3914533 47.2871075)",2,D 92,,,
144427077,False,Boulevard du Docteur Maurice Chevrel,primary,False,36.642,"LINESTRING (-2.3926252 47.2876905, -2.3927685 47.2877562, -2.3928029 47.2877716, -2.3928354 47.2877862, -2.39304 47.2878613)",2,D 92,,,
1017156978,False,Avenue Georges Clemenceau,secondary,False,11.84,"LINESTRING (-2.3892343 47.2874655, -2.389381 47.2874276)",2,,30,,
24746125,True,Place de la Victoire,primary,False,22.77,"LINESTRING (-2.3909135 47.287081, -2.3910633 47.2870494, -2.3910736 47.2870471, -2.3912013 47.2870192)",1,,30,roundabout,
144427076,True,Avenue du Commandant de Nervo,residential,False,108.0,"LINESTRING (-2.3909135 47.287081, -2.390944 47.2871388, -2.3912412 47.287702, -2.391325 47.2878397, -2.3913713 47.2879109, -2.3914148 47.2879905)",,,,,
168422693,True,Place de la Victoire,secondary,False,18.336000000000002,"LINESTRING (-2.391824 47.2868419, -2.3917207 47.2868352, -2.3916597 47.2868245, -2.3916334 47.2868186, -2.3915872 47.2868083)",1,,30,,
"[1017191256, 1017191255]",False,Avenue du Maréchal de Lattre de Tassigny,secondary,False,57.81,"LINESTRING (-2.391824 47.2868419, -2.3922832 47.2867377, -2.39235 47.2867225, -2.3925478 47.2866712)",2,,30,,
24750086,False,Avenue du Maréchal de Lattre de Tassigny,secondary,False,46.274,"LINESTRING (-2.393609 47.2864195, -2.3937316 47.2863919, -2.3937544 47.2863864, -2.3940837 47.2863066, -2.3941878 47.2862816)",2,,50,,
24750086,False,Avenue du Maréchal de Lattre de Tassigny,secondary,True,59.051,"LINESTRING (-2.393609 47.2864195, -2.39327 47.2865029, -2.392873 47.2866005)",2,,50,,
24750101,True,Avenue du Maréchal Foch,residential,False,124.138,"LINESTRING (-2.3913385 47.2867548, -2.3912677 47.2866802, -2.3912383 47.2866547, -2.3908252 47.2863475, -2.3904191 47.2860345, -2.3902835 47.2859005)",,,,,
171049021,True,Place de la Victoire,primary,False,44.496,"LINESTRING (-2.3913385 47.2867548, -2.3911462 47.2867972, -2.3907881 47.286898)",1,,30,roundabout,
213874283,True,Place de la Victoire,primary,False,10.864999999999998,"LINESTRING (-2.3907398 47.2869513, -2.3907374 47.2870012, -2.3907662 47.2870448)",1,,30,roundabout,
25532920,False,Avenue des Ondines,tertiary,True,97.303,"LINESTRING (-2.3914148 47.2879905, -2.3915777 47.2879579, -2.392434 47.2877527, -2.3926252 47.2876905)",2,,,,
48581383,True,Avenue des Ondines,tertiary,False,48.476,"LINESTRING (-2.3914148 47.2879905, -2.391358 47.2880096, -2.3908131 47.288143)",2,,,,
"[169207929, 831871614]",False,Avenue du Commandant de Nervo,residential,False,329.292,"LINESTRING (-2.3914148 47.2879905, -2.3915184 47.2880603, -2.3916843 47.2883263, -2.3917446 47.2884406, -2.3922971 47.2886006, -2.3926592 47.2885605, -2.3930991 47.2885587, -2.3936006 47.2886133, -2.393893 47.2885842, -2.3940741 47.2885641, -2.3942151 47.2885326, -2.3942538 47.2884831, -2.394149 47.2883319, -2.3939118 47.2881147, -2.393763 47.2879038)",,,,,
168422692,True,Place de la Victoire,primary,False,16.912,"LINESTRING (-2.3913866 47.2869756, -2.3915797 47.2868983)",1,,30,roundabout,
24750086,False,Avenue du Maréchal de Lattre de Tassigny,secondary,True,11.945,"LINESTRING (-2.4009305 47.2846765, -2.4007813 47.2847125)",2,,50,,
24750086,False,Avenue du Maréchal de Lattre de Tassigny,secondary,False,50.278999999999996,"LINESTRING (-2.4009305 47.2846765, -2.4014674 47.2845515, -2.4015605 47.2845288)",2,,50,,
24750473,False,Avenue Bouchardat,residential,False,13.651,"LINESTRING (-2.4009305 47.2846765, -2.4009167 47.2846431, -2.4008995 47.2845558)",,,,,
24746176,True,,tertiary,False,15.83,"LINESTRING (-2.4000717 47.2815171, -2.4000346 47.2815038, -2.399993 47.2814998, -2.3999519 47.2815056, -2.3999161 47.2815204, -2.3998898 47.2815426)",1,,,roundabout,
24746176,True,,tertiary,False,9.405000000000001,"LINESTRING (-2.3998898 47.2815426, -2.3998777 47.2815643, -2.3998748 47.2815873, -2.3998909 47.281624)",1,,,roundabout,
24746189,True,Boulevard Darlu,tertiary,False,271.721,"LINESTRING (-2.3998898 47.2815426, -2.3998012 47.281547, -2.3996983 47.2815526, -2.3994294 47.2815623, -2.3990258 47.2815982, -2.3983242 47.2816478, -2.3975316 47.2816992, -2.3970447 47.2817211, -2.3964973 47.2817358, -2.3963012 47.2817414)",1,,,,
24746176,True,,tertiary,False,10.236,"LINESTRING (-2.3998909 47.281624, -2.3999294 47.2816519, -2.3999656 47.2816629, -2.4000051 47.2816655)",1,,,roundabout,
24746176,True,,tertiary,False,13.338999999999999,"LINESTRING (-2.4000051 47.2816655, -2.4000396 47.2816605, -2.4000706 47.2816489, -2.4000955 47.2816318, -2.4001121 47.2816107, -2.400119 47.2815871)",1,,,roundabout,
24750038,False,Avenue de la Concorde,residential,False,18.365000000000002,"LINESTRING (-2.4000051 47.2816655, -2.4000141 47.2816908, -2.4000187 47.2817548, -2.4000116 47.2818297)",2,,,,
24746176,True,,tertiary,False,8.868,"LINESTRING (-2.400119 47.2815871, -2.4001148 47.2815607, -2.4000985 47.2815365, -2.4000717 47.2815171)",1,,,roundabout,
24746179,True,Esplanade François Andre,tertiary,False,45.235,"LINESTRING (-2.400119 47.2815871, -2.4002487 47.2815809, -2.4005615 47.2815553, -2.4007138 47.2815374)",1,,,,
24902025,True,Boulevard Darlu,tertiary,False,128.90099999999998,"LINESTRING (-2.3981913 47.2817202, -2.398391 47.2817059, -2.3990266 47.2816566, -2.399284 47.2816379, -2.3995104 47.2816444, -2.3997629 47.281635, -2.3998578 47.2816313, -2.3998909 47.281624)",1,,,,
24750002,False,Avenue de Grandcourt,residential,False,191.854,"LINESTRING (-2.4010318 47.2872458, -2.4009461 47.2855214)",,,,,
24750086,False,Avenue du Maréchal de Lattre de Tassigny,secondary,True,50.278999999999996,"LINESTRING (-2.4015605 47.2845288, -2.4014674 47.2845515, -2.4009305 47.2846765)",2,,50,,
299270993,True,Avenue Monchicourt,residential,False,101.487,"LINESTRING (-2.4015605 47.2845288, -2.4015758 47.2845672, -2.4017692 47.2854302)",,,,,
24750010,False,Avenue des Ondines,residential,False,5.026,"LINESTRING (-2.401012 47.2855147, -2.4009461 47.2855214)",,,,,
24750010,False,Avenue des Ondines,residential,True,57.882,"LINESTRING (-2.401012 47.2855147, -2.4017692 47.2854302)",,,,,
24868702,False,Impasse des Nénuphars,residential,False,31.735,"LINESTRING (-2.401012 47.2855147, -2.4010011 47.2852294)",,,,,
24750010,False,Avenue des Ondines,residential,False,57.882,"LINESTRING (-2.4017692 47.2854302, -2.401012 47.2855147)",,,,,
24750010,False,Avenue des Ondines,residential,True,48.321000000000005,"LINESTRING (-2.4003169 47.2856007, -2.4004508 47.2855756, -2.4009461 47.2855214)",,,,,
24750020,True,Avenue Pasteur,residential,False,66.256,"LINESTRING (-2.4003169 47.2856007, -2.4002789 47.2856766, -2.4000344 47.2861649)",,,,,
48811523,True,Avenue Pasteur,residential,False,106.065,"LINESTRING (-2.4003169 47.2856007, -2.4003979 47.2855187, -2.4007959 47.2847883, -2.4007866 47.284742, -2.4007813 47.2847125)",,,,,
171041394,True,Avenue des Ondines,residential,False,151.02300000000002,"LINESTRING (-2.398581 47.2862775, -2.3986535 47.2862493, -2.4001267 47.2856749, -2.4003169 47.2856007)",,,,,
24750052,True,Avenue de l'Uste,residential,False,109.90299999999999,"LINESTRING (-2.3972563 47.2865999, -2.3972167 47.2865107, -2.3968439 47.2857157, -2.3968136 47.2856583)",,,,,
171041394,True,Avenue des Ondines,residential,False,37.274,"LINESTRING (-2.3972563 47.2865999, -2.3973766 47.2865714, -2.3977228 47.2864893)",,,,,
24750062,False,Avenue Alsace-Lorraine,residential,True,107.072,"LINESTRING (-2.395954 47.2868994, -2.3959744 47.2869332, -2.39642 47.2878089)",,,,,
171041394,True,Avenue des Ondines,residential,False,103.721,"LINESTRING (-2.395954 47.2868994, -2.3960009 47.2868886, -2.3972563 47.2865999)",,,,,
24868725,False,Impasse Frédéric Loiseau,residential,True,79.918,"LINESTRING (-2.4001482 47.2874041, -2.3991964 47.2877199)",,,,,
"[168111660, 168111662]",True,Avenue du Maréchal Franchet d'Esperey,residential,False,68.934,"LINESTRING (-2.4001482 47.2874041, -2.4005187 47.2873351, -2.4010318 47.2872458)",,,,,
