osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,ref,lanes
40015928,Rond-Point de Ker Elo,primary,roundabout,True,False,22.715000000000003,"LINESTRING (-4.0145955 47.8981976, -4.0146233 47.8981659, -4.0146418 47.8981074, -4.0146228 47.898049, -4.0145804 47.8980104)",,,
"[1089443771, 957560847]",Hent Roudou,tertiary,,False,True,22.733999999999998,"LINESTRING (-4.0145955 47.8981976, -4.0147767 47.8982774, -4.0148487 47.8983115)","['30', '50']",,
40015927,,primary,roundabout,True,False,14.344000000000001,"LINESTRING (-4.0169204 47.8964782, -4.0169701 47.8965054, -4.0170282 47.8965236, -4.0170912 47.8965316)",30,,
"[5077195, 889310591]",Cité de Ker Elo,primary,,False,False,33.586,"LINESTRING (-4.0169204 47.8964782, -4.0167982 47.896539, -4.016761 47.8965599, -4.0165697 47.8966676)",50,D 44,2
40015928,Rond-Point de Ker Elo,primary,roundabout,True,False,22.456,"LINESTRING (-4.0143214 47.8982306, -4.0143835 47.8982469, -4.01445 47.8982496, -4.0145146 47.8982383, -4.0145955 47.8981976)",,,
40015927,,primary,roundabout,True,False,8.291,"LINESTRING (-4.0171145 47.8961845, -4.0170591 47.8961875, -4.0170059 47.8961984)",30,,
"[1089443764, 1089443765]",Route de Quimper,primary,,True,False,251.358,"LINESTRING (-4.0171145 47.8961845, -4.0170665 47.8960986, -4.0170532 47.8960708, -4.0162215 47.8943337, -4.0160875 47.8940316)","['50', '30']",D 45,1
40015925,Rond-Point de Kernévéleck,secondary,roundabout,True,False,6.204000000000001,"LINESTRING (-4.013968 47.8906009, -4.0139314 47.8906142, -4.0139014 47.8906335)",30,,
40015926,Rond-Point de l'Odet,primary,roundabout,True,False,13.889,"LINESTRING (-4.0150347 47.8915411, -4.0149568 47.891519, -4.0148555 47.891513)",30,,
52048503,Rue de l'Odet,primary,,False,True,152.47,"LINESTRING (-4.0150347 47.8915411, -4.0151726 47.8914454, -4.015341 47.8913284, -4.0154982 47.8912128, -4.0159712 47.8908687, -4.0160623 47.8908202, -4.0163622 47.8906606, -4.0165046 47.8905941)",50,D 44,
5077169,Route de Quimper,secondary,,True,False,99.4,"LINESTRING (-4.0148555 47.891513, -4.0147799 47.8914186, -4.0147226 47.8913471, -4.0145484 47.8911434, -4.0143268 47.8909359, -4.014229 47.8908332, -4.0141538 47.8907542)",50,D 45,1
40015926,Rond-Point de l'Odet,primary,roundabout,True,False,9.612,"LINESTRING (-4.0148555 47.891513, -4.0147953 47.8915256, -4.0147432 47.8915526)",30,,
5077195,Cité de Ker Elo,primary,,False,True,118.191,"LINESTRING (-4.0145804 47.8980104, -4.0146533 47.897954, -4.015195 47.897516, -4.0156164 47.8972062)",50,D 44,2
40015928,Rond-Point de Ker Elo,primary,roundabout,True,False,17.706,"LINESTRING (-4.0145804 47.8980104, -4.0145069 47.8979752, -4.0144348 47.8979654, -4.014362 47.8979727)",,,
39991830,Rue de Kergoadig,residential,,False,False,37.241,"LINESTRING (-4.014362 47.8979727, -4.0143257 47.8979078, -4.0142652 47.8977997, -4.0141467 47.8976723)",,,
40015928,Rond-Point de Ker Elo,primary,roundabout,True,False,36.105,"LINESTRING (-4.014362 47.8979727, -4.0143079 47.8979909, -4.0142636 47.8980186, -4.0142328 47.8980535, -4.014218 47.8980929, -4.0142203 47.8981334, -4.0142395 47.8981719, -4.0142742 47.8982052, -4.0143214 47.8982306)",,,
39991830,Rue de Kergoadig,residential,,False,False,154.411,"LINESTRING (-4.0141467 47.8976723, -4.0133947 47.8970213, -4.0131652 47.8968812, -4.0128266 47.8967143, -4.012757 47.8966551)",,,
39991830,Rue de Kergoadig,residential,,False,True,37.241,"LINESTRING (-4.0141467 47.8976723, -4.0142652 47.8977997, -4.0143257 47.8979078, -4.014362 47.8979727)",,,
91794536,Cité de Ker Elo,residential,,False,False,71.811,"LINESTRING (-4.0141467 47.8976723, -4.0141863 47.8976532, -4.0147201 47.8971554)",,,
91981464,Rue ar Mor,residential,,False,False,48.307,"LINESTRING (-4.0126376 47.8964976, -4.0124484 47.8960821)",30,,
39991831,,residential,roundabout,True,False,14.219999999999999,"LINESTRING (-4.0126376 47.8964976, -4.012603 47.8965083, -4.0125744 47.8965252, -4.0125539 47.8965468, -4.0125435 47.8965714, -4.0125437 47.896597)",,,
39991831,,residential,roundabout,True,False,20.548,"LINESTRING (-4.0125437 47.896597, -4.0125583 47.8966262, -4.0125868 47.8966504, -4.0126257 47.8966667, -4.0126706 47.8966732, -4.0127161 47.8966692, -4.012757 47.8966551)",,,
39991832,Rue de Kergoadig,residential,,True,False,51.272999999999996,"LINESTRING (-4.0099195 47.895759, -4.0101945 47.8958664, -4.0105164 47.895988)",30,,
92788501,Descente du Douric,residential,,False,False,109.96100000000001,"LINESTRING (-4.0099195 47.895759, -4.0097209 47.8959207, -4.0092044 47.8961778, -4.0090003 47.8964979)",30,,
52048504,Rue de Kernévéleck,residential,,False,True,23.438,"LINESTRING (-4.0124311 47.8922792, -4.0123266 47.892478)",30,,
52048485,Rue de Bréhoulou,residential,,False,False,105.08500000000001,"LINESTRING (-4.0124311 47.8922792, -4.0124215 47.8921733, -4.0124201 47.8920927, -4.0124944 47.8917732, -4.0125117 47.891648, -4.0125154 47.8915218, -4.0125052 47.8913389)",30,,
52048504,Rue de Kernévéleck,residential,,False,False,202.96,"LINESTRING (-4.0124311 47.8922792, -4.0125525 47.8922102, -4.0126357 47.8921494, -4.0127269 47.8920577, -4.0128453 47.8919476, -4.0129544 47.8918394, -4.0129897 47.8918013, -4.0130357 47.8917308, -4.0130895 47.8916632, -4.0131862 47.891574, -4.0133112 47.8914729, -4.0135987 47.8912638, -4.0137437 47.8911294, -4.0138431 47.8910211, -4.0139332 47.8908966, -4.0139858 47.8907992)",30,,
40015925,Rond-Point de Kernévéleck,secondary,roundabout,True,False,5.640000000000001,"LINESTRING (-4.0139858 47.8907992, -4.0140234 47.8908022, -4.0140609 47.8907991)",30,,
