osmid,ref,name,highway,oneway,reversed,length,geometry,junction,bridge,maxspeed
28877591,D 34,Boulevard Victor Hugo,secondary,False,False,174.923,"LINESTRING (4.1806232 43.66137, 4.180516 43.662138, 4.18047 43.6623625, 4.1804335 43.6625401, 4.1803999 43.6627039, 4.1803791 43.6628054, 4.180373 43.6628352, 4.1803287 43.6629261)",,,
829800421,D 34,Boulevard Victor Hugo,secondary,False,True,38.379999999999995,"LINESTRING (4.1806232 43.66137, 4.1806263 43.6612506, 4.1806321 43.6610249)",,,
28877218,,Rue Karl Marx,residential,True,False,68.124,"LINESTRING (4.1773775 43.664251, 4.1774233 43.6642901, 4.1777498 43.6644529, 4.1777924 43.6644723, 4.1778624 43.6645043, 4.1780928 43.6645674)",,,
815953699,,Rond-Point Jean-Pierre Delpuech,secondary,True,False,6.67,"LINESTRING (4.1773775 43.664251, 4.1773507 43.6642739, 4.1773153 43.6642895)",roundabout,,
704843793,D 34,Avenue Charles Corbières,secondary,False,True,64.906,"LINESTRING (4.1734772 43.6631602, 4.1742723 43.6632596)",,,
28894336,,Rue des Troènes,residential,False,True,158.56500000000003,"LINESTRING (4.1734772 43.6631602, 4.1734855 43.6631251, 4.1734961 43.6630797, 4.1737553 43.6619714, 4.1737305 43.6618519, 4.1736523 43.6617701)",,,
"[35727713, 35727715, 1064270069, 1098638137]",D 265,"['Pont Boulet', 'Chemin de Marsillargues']",tertiary,False,True,189.04999999999998,"LINESTRING (4.1832577 43.6675468, 4.1832313 43.6675283, 4.1831738 43.6674882, 4.1828802 43.6671915, 4.1825866 43.6668949, 4.1822841 43.6665892, 4.1822597 43.6665646, 4.1821915 43.6665033, 4.1821064 43.6664471, 4.1819664 43.6663792, 4.1817697 43.6663131, 4.1817208 43.6662966)",,yes,
49582049,,,unclassified,False,False,135.452,"LINESTRING (4.1832577 43.6675468, 4.1833278 43.6675367, 4.1837048 43.6674826, 4.1837989 43.6674826, 4.1840463 43.6675204, 4.1842518 43.6675305, 4.1844713 43.6675078, 4.1847605 43.6674145, 4.1848942 43.6673933)",,,
620598889,D 265,Chemin de Marsillargues,tertiary,False,False,56.632000000000005,"LINESTRING (4.1832577 43.6675468, 4.1833833 43.6676965, 4.1834947 43.6678371, 4.1835759 43.6679989)",,,
28876933,,Boulevard de la République,residential,False,False,91.393,"LINESTRING (4.1749006 43.6686462, 4.1749039 43.6686094, 4.1750297 43.6683682, 4.1750637 43.6683029, 4.1752984 43.6678781)",,,
"[704594224, 704594226]",,Boulevard de la République,residential,True,False,51.93300000000001,"LINESTRING (4.1749006 43.6686462, 4.1749515 43.668671, 4.1749898 43.6687224, 4.1750213 43.6687854, 4.1749106 43.6688102, 4.174863 43.6688024, 4.1748268 43.6687607, 4.1748691 43.668669, 4.1749006 43.6686462)",,,
"[815680536, 83343011]",D 34,Avenue Charles Corbières,secondary,False,False,187.039,"LINESTRING (4.177167 43.664142, 4.1771127 43.6641085, 4.1770276 43.6640738, 4.1761782 43.6636843, 4.1761193 43.6636573, 4.1759113 43.6635826, 4.1752828 43.6634358, 4.1751038 43.663394)",,,
725714337,,Rond-Point Jean-Pierre Delpuech,secondary,True,False,5.619,"LINESTRING (4.177167 43.664142, 4.1771928 43.664125, 4.177224 43.6641136)",roundabout,,
28877324,,Boulevard Gabriel Péri,tertiary,True,False,75.61500000000001,"LINESTRING (4.17571 43.6667605, 4.1760005 43.6662278, 4.1760549 43.6661279)",,,
28894111,D 34,Avenue Léopold Diot,tertiary,True,False,111.197,"LINESTRING (4.17571 43.6667605, 4.1754105 43.6666914, 4.1752667 43.6666575, 4.1745297 43.6664957, 4.174451 43.6664778, 4.174393 43.666458)",,,
28877578,,Rue Edmond Rostand,tertiary,False,False,133.395,"LINESTRING (4.174393 43.666458, 4.1743688 43.6664853, 4.1740008 43.666974, 4.1737694 43.667276, 4.173595 43.6674253, 4.173525 43.6674736)",,,
28894111,D 34,Avenue Léopold Diot,tertiary,True,False,93.81899999999999,"LINESTRING (4.174393 43.666458, 4.1743149 43.666391, 4.1741234 43.6661759, 4.1739209 43.6659382, 4.1738289 43.6658261, 4.1737699 43.6657461)",,,
151559502,D 34,Boulevard Émile Zola,secondary,False,False,128.459,"LINESTRING (4.1783238 43.6631276, 4.1782479 43.6631396, 4.1779858 43.663181, 4.177912 43.6631971, 4.1778834 43.6632033, 4.1778048 43.6632378, 4.1777308 43.6632955, 4.1774256 43.6637318, 4.1773853 43.6637895, 4.1773287 43.6639116)",,,
151559502,D 34,Boulevard Émile Zola,secondary,False,True,41.568,"LINESTRING (4.1783238 43.6631276, 4.1784873 43.663112, 4.1788361 43.6630786)",,,
234115853,D 34E4,Rue Alphonse Daudet,tertiary,True,False,39.539,"LINESTRING (4.1783238 43.6631276, 4.1783834 43.6628312, 4.1784213 43.6627823)",,,
