osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,junction,lanes
425982511,False,D 670,Avenue de Verdun,primary,False,28.160999999999998,"LINESTRING (-0.2404432 44.9110246, -0.2406422 44.9111195, -0.2407496 44.9111225, -0.2407598 44.9111228)",,,
"[1074007778, 81178319]",True,D 670,Avenue de Verdun,primary,False,120.79899999999999,"LINESTRING (-0.2404432 44.9110246, -0.2396648 44.9106617, -0.2396417 44.9106498, -0.2395904 44.9106234, -0.2394931 44.9105733, -0.2394066 44.9105273, -0.2392738 44.9104841, -0.2391453 44.9104537)",,,
758907527,True,D 670E10,Cours des Girondins,primary,False,189.07999999999998,"LINESTRING (-0.2421205 44.9111656, -0.2421488 44.9111681, -0.242233 44.9111746, -0.2426887 44.9112219, -0.2429183 44.9112458, -0.2434199 44.9113056, -0.2436257 44.9113242, -0.2442936 44.9113963, -0.2444948 44.9114177)",30,,
1117555814,True,,Place Joffre,primary,False,19.323,"LINESTRING (-0.2421205 44.9111656, -0.2422082 44.9111043, -0.2422794 44.911034)",,roundabout,
26799340,True,,Rue Thiers,residential,False,115.61600000000001,"LINESTRING (-0.2419648 44.9112319, -0.2419754 44.9112454, -0.2420151 44.911296, -0.2427477 44.9120678, -0.2427767 44.9120979)",30,,
1124268243,True,,Place Joffre,primary,False,14.306000000000001,"LINESTRING (-0.2419648 44.9112319, -0.2420548 44.9111936, -0.2421205 44.9111656)",,roundabout,
1117555882,True,,Place Joffre,primary,False,30.624,"LINESTRING (-0.2413097 44.9113405, -0.2414706 44.911338, -0.2416225 44.9113221, -0.241695 44.9113103)",,roundabout,
133394799,True,D 670,Cours Tourny,secondary,False,82.63400000000001,"LINESTRING (-0.2396329 44.9153388, -0.2399031 44.9147297, -0.239926 44.9146773, -0.2399469 44.9146297)",30,,
26840380,True,,Place Decazes,secondary,False,21.117,"LINESTRING (-0.2397085 44.9155393, -0.2394883 44.9156477)",30,,
425982513,True,D 670,Cours Tourny,secondary,False,23.076,"LINESTRING (-0.2397085 44.9155393, -0.2396329 44.9153388)",30,,1
26799109,True,,Place De Lattre de Tassigny,primary,False,5.979,"LINESTRING (-0.2479566 44.9129445, -0.2478911 44.9129717)",50,roundabout,
26799232,True,D 670E10,Cours des Girondins,primary,False,16.308,"LINESTRING (-0.2479566 44.9129445, -0.2478719 44.9128919, -0.2477974 44.9128508)",30,,
