osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,ref,maxspeed
8586361,True,1,Boulevard Louis Pasteur,secondary,False,21.861,"LINESTRING (-1.7529821 48.0247606, -1.7529705 48.0246979, -1.7529147 48.0245698)",,,
618763546,True,,Rond-Point du Boissousel,secondary,False,8.288,"LINESTRING (-1.7529821 48.0247606, -1.7529264 48.0247594, -1.7528735 48.0247711)",roundabout,,
618763546,True,,Rond-Point du Boissousel,secondary,False,20.511,"LINESTRING (-1.7530962 48.0249042, -1.7531025 48.0248914, -1.7531074 48.0248574, -1.7530958 48.0248241, -1.753069 48.0247949, -1.7530297 48.024773, -1.7529821 48.0247606)",roundabout,,
277385908,True,,Boulevard Louis Pasteur,secondary,False,19.472,"LINESTRING (-1.7519334 48.0212433, -1.7520318 48.0212921, -1.7521437 48.0213476)",,,
937835317,True,,Rond-Point de la Noë,secondary,False,7.734999999999999,"LINESTRING (-1.7519334 48.0212433, -1.7519766 48.021224, -1.7520089 48.0211967)",roundabout,,
937835317,True,,Rond-Point de la Noë,secondary,False,6.659,"LINESTRING (-1.7517696 48.0210501, -1.7517121 48.021096)",roundabout,,
8586362,True,,Boulevard Louis Pasteur,secondary,False,10.786999999999999,"LINESTRING (-1.7517696 48.0210501, -1.7516589 48.0210174, -1.7516368 48.0210111)",,,
10062764,True,,,secondary,False,18.362,"LINESTRING (-1.7489972 48.0272101, -1.7490213 48.0271874, -1.7490294 48.0271579, -1.7490246 48.0271403, -1.7490102 48.0271216, -1.7489841 48.0271051, -1.7489555 48.0270966, -1.7489206 48.0270946)",roundabout,,
26432294,False,,Avenue Jules Tricault,secondary,True,59.685,"LINESTRING (-1.7489972 48.0272101, -1.7490685 48.027265, -1.749137 48.0273324, -1.7491946 48.0274112, -1.7492697 48.0275265, -1.7493635 48.0276835)",,D 77,
10062764,True,,,secondary,False,15.144,"LINESTRING (-1.7488332 48.0271779, -1.7488468 48.0271981, -1.74887 48.0272144, -1.7489004 48.0272248, -1.7489542 48.0272257, -1.7489972 48.0272101)",roundabout,,
26334018,False,2,Rue Albert Camus,secondary,True,125.06700000000001,"LINESTRING (-1.7488332 48.0271779, -1.7487499 48.027196, -1.7474032 48.0274866, -1.7473721 48.027493, -1.747232 48.0275219)",,,
26390399,True,,Place du Docteur Joly,living_street,False,54.065,"LINESTRING (-1.7475309 48.0247263, -1.747478 48.0246683, -1.7474342 48.0246202, -1.7473932 48.0245104, -1.7473032 48.024269)",,D 77,20
684849610,True,,Avenue Jules Tricault,living_street,False,143.689,"LINESTRING (-1.7475309 48.0247263, -1.7475998 48.0248445, -1.7482133 48.0258434, -1.7482617 48.0259225)",,D 77,20
26346013,True,,Rue de la Noé,residential,False,39.208999999999996,"LINESTRING (-1.7472261 48.0235766, -1.7473166 48.0235601, -1.7477324 48.0234783)",,,20
704164514,False,,Rue Gaudrine,living_street,True,54.389,"LINESTRING (-1.7472261 48.0235766, -1.7472377 48.0236727, -1.7472377 48.0237517, -1.7472283 48.023814, -1.7471875 48.0239847, -1.7472073 48.0240618)",,D 77,20
"[23213080, 323458793]",False,,Avenue du Général de Gaulle,tertiary,False,56.006,"LINESTRING (-1.7444879 48.0235318, -1.744485 48.0235023, -1.7444639 48.0234754, -1.7444242 48.0234576, -1.7440243 48.0234354, -1.743902 48.0234291, -1.7438463 48.0234286, -1.7438103 48.0234291)",,D 36,30
549766744,False,,Rue Huguette Gallais,tertiary,True,151.224,"LINESTRING (-1.7444879 48.0235318, -1.74453 48.024441, -1.7445498 48.0248372, -1.7445555 48.024891)",,,30
"[704164512, 24017546]",False,,Avenue du Général de Gaulle,tertiary,True,181.349,"LINESTRING (-1.7444879 48.0235318, -1.7449492 48.0235673, -1.7452363 48.0235948, -1.7454986 48.0236248, -1.7456182 48.0236386, -1.7457745 48.0236628, -1.7459352 48.0237084, -1.7461049 48.0238038, -1.7462985 48.0239561, -1.746471 48.0241182, -1.7465843 48.0241772)",,D 36,20
"[26381347, 874154213]",True,1,Rue du 8 Mai 1944,"['living_street', 'residential']",False,154.86100000000002,"LINESTRING (-1.7469158 48.0247938, -1.7469208 48.0248896, -1.7468924 48.024974, -1.7468585 48.0250593, -1.7467007 48.0253385, -1.7466859 48.0253844, -1.7466927 48.0254525, -1.7467116 48.0255814, -1.7468235 48.0261178, -1.7468312 48.0261547)",,,"['20', '30']"
98533484,True,,Place du Docteur Joly,living_street,False,77.69999999999999,"LINESTRING (-1.7469158 48.0247938, -1.7469625 48.0246893, -1.7468999 48.0245151, -1.7468846 48.0244792, -1.7468375 48.0243686, -1.7468288 48.0243482, -1.746795 48.024322, -1.7467719 48.0243051, -1.7466991 48.0242478, -1.7466688 48.0242291, -1.7465843 48.0241772)",,D 36,20
26327030,False,,Rue du 8 Mai 1944,secondary,False,32.621,"LINESTRING (-1.747107 48.0278031, -1.7471475 48.027712, -1.7471701 48.0276613, -1.7471944 48.0276065, -1.747232 48.0275219)",,,
26334019,False,,Rue Pierre de Coubertin,residential,False,85.979,"LINESTRING (-1.747107 48.0278031, -1.7469799 48.0278368, -1.7469338 48.027849, -1.7467201 48.0279463, -1.7463429 48.0281129, -1.7461189 48.0282003)",,,
"[704164512, 24017546]",False,,Avenue du Général de Gaulle,tertiary,False,181.349,"LINESTRING (-1.7465843 48.0241772, -1.746471 48.0241182, -1.7462985 48.0239561, -1.7461049 48.0238038, -1.7459352 48.0237084, -1.7457745 48.0236628, -1.7456182 48.0236386, -1.7454986 48.0236248, -1.7452363 48.0235948, -1.7449492 48.0235673, -1.7444879 48.0235318)",,D 36,20
