osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,bridge,lanes,tunnel,access
1257173020,Boulevard de Lamasquère,secondary,50,False,True,26.897,,"LINESTRING (1.3210718 43.4628212, 1.3207905 43.4629509)",,,,,
576027769,Avenue Saint-Germier,secondary,,False,True,33.683,D 3,"LINESTRING (1.3210718 43.4628212, 1.321354 43.4627424, 1.3214572 43.4627056)",,,,,
1247700729,Place du Languedoc,secondary,50,True,False,11.318000000000001,,"LINESTRING (1.3244127 43.4618315, 1.3244323 43.4618461, 1.3244448 43.4618643, 1.3244491 43.4618844, 1.3244447 43.4619045, 1.3244321 43.4619227)",roundabout,,,,
"[32673248, 32673249, 32673242]",,secondary,50,True,False,78.302,,"LINESTRING (1.3244808 43.461133, 1.3244447 43.461235, 1.324442 43.4614472, 1.3244382 43.4615918, 1.3244388 43.4616331, 1.324436 43.461771, 1.3244127 43.4618315)",,yes,,,
1247700782,,secondary,50,True,False,6.775,,"LINESTRING (1.3262502 43.4589731, 1.3263323 43.4589604)",roundabout,,,,
"[1125139859, 1125139861]",Avenue des Pyrénées,secondary,50,False,True,62.977000000000004,,"LINESTRING (1.3262502 43.4589731, 1.3262223 43.4589449, 1.3262108 43.4589328, 1.3261606 43.4588821, 1.3259744 43.4587243, 1.3257431 43.4585435)",,,,,
494137441,,secondary,50,True,False,16.525,,"LINESTRING (1.3266054 43.4590785, 1.3266322 43.4591306, 1.3266184 43.4591772, 1.3265808 43.4592134)",roundabout,,,,
23394566,Rue Jean Jaurès,residential,,True,False,68.313,,"LINESTRING (1.3265808 43.4592134, 1.3266346 43.4592577, 1.3271404 43.4596743)",,,,,
1247700784,,secondary,50,True,False,8.338999999999999,,"LINESTRING (1.3265808 43.4592134, 1.3265553 43.4592309, 1.326493 43.4592511)",roundabout,,,,
1247700781,,secondary,50,True,False,12.842,,"LINESTRING (1.3261904 43.4590734, 1.3261942 43.459024, 1.3262129 43.4589985, 1.3262502 43.4589731)",roundabout,,,,
22906670,Allées Niel,secondary,50,False,False,85.405,,"LINESTRING (1.324479 43.4606896, 1.3244929 43.4605549, 1.325032 43.4600782, 1.3250463 43.4600657)",,,2,,
809818144,,secondary,50,True,False,25.198,,"LINESTRING (1.324479 43.4606896, 1.3245081 43.4606859, 1.3245375 43.4606881, 1.324565 43.460696, 1.3245885 43.4607091, 1.3246081 43.4607288, 1.3246183 43.460752, 1.3246183 43.4607763, 1.324609 43.4607979, 1.3245916 43.4608166, 1.3245676 43.460831)",roundabout,,,,
32678608,,secondary,50,True,False,6.32,,"LINESTRING (1.3245676 43.460831, 1.3245845 43.4608865)",,,,,
1247700831,,secondary,50,True,False,7.372,,"LINESTRING (1.3245676 43.460831, 1.3245395 43.4608396, 1.3245093 43.4608422, 1.3244793 43.4608385)",roundabout,,,,
"[23394552, 22928779]","['Allées Niel', 'Rue Nicolas Dalayrac']",residential,,False,False,90.342,D 12,"LINESTRING (1.326493 43.4592511, 1.3264448 43.4593371, 1.3263762 43.459392, 1.3262214 43.4595245, 1.3266504 43.4598789)",,,,,
1247700785,,secondary,50,True,False,22.715999999999998,,"LINESTRING (1.326493 43.4592511, 1.3263917 43.4592274, 1.3262794 43.4591642, 1.3262567 43.4591469)",roundabout,,,,
30256015,Avenue de l'Europe,tertiary,,True,False,14.79,D 19g,"LINESTRING (1.3322752 43.4644554, 1.3323106 43.4643249)",,,,,
32810051,Rue Firmin Magne,residential,,False,False,86.27,,"LINESTRING (1.329648 43.4633757, 1.3301649 43.4640548)",,,,,
