osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,access,maxspeed,junction
690799298,True,1,N 12,primary,False,46.010000000000005,"LINESTRING (0.0023626 48.4459291, 0.0020759 48.4460986, 0.0019258 48.4462226)",,,,
48541198,False,,D 522,tertiary,False,231.248,"LINESTRING (-0.0044935 48.4455698, -0.0045736 48.4455242, -0.0046936 48.445429, -0.0047638 48.4453205, -0.0049843 48.4448272, -0.0050713 48.4447018, -0.0051578 48.4446333, -0.0053842 48.4444907, -0.0057648 48.4443445, -0.005829 48.4443199, -0.0065136 48.4441723)",Route du Theil,yes,,
48541198,False,,D 522,tertiary,True,313.69599999999997,"LINESTRING (-0.0044935 48.4455698, -0.0043352 48.4456549, -0.0042573 48.4456971, -0.0041654 48.4457481, -0.0039687 48.4459139, -0.0038824 48.4459996, -0.0035502 48.4463292, -0.0032444 48.4467112, -0.0030624 48.4469729, -0.0029105 48.4471913, -0.0023823 48.4479256, -0.002338 48.4479714)",Route du Theil,yes,,
67807671,False,,,residential,True,113.31800000000001,"LINESTRING (-0.0044935 48.4455698, -0.0042668 48.4454639, -0.0040807 48.4453543, -0.0039612 48.4452239, -0.0038194 48.4451633, -0.0037548 48.4451356, -0.0037279 48.4451312, -0.0032358 48.4450508)",Rue de l'Église,,,
61462169,False,,,unclassified,True,9.255,"LINESTRING (-0.0024636 48.4483029, -0.0024404 48.4483847)",,,,
61462169,False,,,unclassified,False,9.255,"LINESTRING (-0.0024404 48.4483847, -0.0024636 48.4483029)",,,,
61462169,False,,,unclassified,True,43.875,"LINESTRING (-0.0024404 48.4483847, -0.0023378 48.4485558, -0.0023 48.4485997, -0.0021806 48.4487386)",,,,
156225311,False,,,residential,True,131.898,"LINESTRING (-0.0024404 48.4483847, -0.0023551 48.4483649, -0.0018701 48.4483032, -0.0017141 48.4482733, -0.0016594 48.4482255, -0.0016472 48.4481795, -0.0016548 48.4481226, -0.0016463 48.4480974, -0.0016265 48.4480827, -0.001592 48.4480719, -0.0011673 48.4480366, -0.0012013 48.4478657)",Rue du Puits,,,
67807674,False,,,residential,True,114.28299999999999,"LINESTRING (-0.0035012 48.4440681, -0.0033014 48.4443894, -0.0031666 48.4446886, -0.0031678 48.4448762, -0.0032358 48.4450508)",Impasse de la Violetterie,,,
48541198,False,,D 522,tertiary,False,255.687,"LINESTRING (-0.0065136 48.4441723, -0.0065669 48.4440919, -0.0066162 48.4439842, -0.006731 48.4433574, -0.0066782 48.4426173, -0.0066818 48.4420071, -0.0067379 48.4418967)",Route du Theil,yes,,
48541198,False,,D 522,tertiary,True,231.248,"LINESTRING (-0.0065136 48.4441723, -0.005829 48.4443199, -0.0057648 48.4443445, -0.0053842 48.4444907, -0.0051578 48.4446333, -0.0050713 48.4447018, -0.0049843 48.4448272, -0.0047638 48.4453205, -0.0046936 48.445429, -0.0045736 48.4455242, -0.0044935 48.4455698)",Route du Theil,yes,,
48541198,False,,D 522,tertiary,False,313.69599999999997,"LINESTRING (-0.002338 48.4479714, -0.0023823 48.4479256, -0.0029105 48.4471913, -0.0030624 48.4469729, -0.0032444 48.4467112, -0.0035502 48.4463292, -0.0038824 48.4459996, -0.0039687 48.4459139, -0.0041654 48.4457481, -0.0042573 48.4456971, -0.0043352 48.4456549, -0.0044935 48.4455698)",Route du Theil,yes,,
67807679,True,,,unclassified,False,40.445,"LINESTRING (-0.002338 48.4479714, -0.0022948 48.4480559, -0.0023339 48.4481636, -0.0024636 48.4483029)",,,,
"[690799299, 296142548]",False,2,N 12,primary,True,296.16499999999996,"LINESTRING (-0.002338 48.4479714, -0.001936 48.4478075, -0.0010638 48.4474924, -0.0007941 48.4473972, -0.0004464 48.4472693, -0.0003561 48.4472304, -0.0000474 48.4470921, 0.0005012 48.4468197, 0.0010346 48.446538)",,,50,
67807671,False,,,residential,False,113.31799999999998,"LINESTRING (-0.0032358 48.4450508, -0.0037279 48.4451312, -0.0037548 48.4451356, -0.0038194 48.4451633, -0.0039612 48.4452239, -0.0040807 48.4453543, -0.0042668 48.4454639, -0.0044935 48.4455698)",Rue de l'Église,,,
"[690799295, 67807671]",False,,,residential,True,162.66899999999998,"LINESTRING (-0.0032358 48.4450508, -0.0031639 48.4450408, -0.0022546 48.4449138, -0.0017398 48.4449637, -0.0012675 48.4450417, -0.0011124 48.4450757, -0.0010858 48.4450879)",Rue de l'Église,,,
67807674,False,,,residential,False,114.28299999999999,"LINESTRING (-0.0032358 48.4450508, -0.0031678 48.4448762, -0.0031666 48.4446886, -0.0033014 48.4443894, -0.0035012 48.4440681)",Impasse de la Violetterie,,,
"[67807671, 690799295]",False,,,residential,False,162.669,"LINESTRING (-0.0010858 48.4450879, -0.0011124 48.4450757, -0.0012675 48.4450417, -0.0017398 48.4449637, -0.0022546 48.4449138, -0.0031639 48.4450408, -0.0032358 48.4450508)",Rue de l'Église,,,
690799295,False,,,residential,True,199.084,"LINESTRING (-0.0010858 48.4450879, -0.0010092 48.4451231, -0.0008073 48.4452687, -0.0005352 48.4454559, 0.000135 48.445917, 0.0006985 48.4460578, 0.000881 48.4461034, 0.0010258 48.446136)",,,,
156225311,False,,,residential,False,131.898,"LINESTRING (-0.0012013 48.4478657, -0.0011673 48.4480366, -0.001592 48.4480719, -0.0016265 48.4480827, -0.0016463 48.4480974, -0.0016548 48.4481226, -0.0016472 48.4481795, -0.0016594 48.4482255, -0.0017141 48.4482733, -0.0018701 48.4483032, -0.0023551 48.4483649, -0.0024404 48.4483847)",Rue du Puits,,,
182379042,True,,,primary,False,36.908,"LINESTRING (0.0013162 48.4461267, 0.0013727 48.446086, 0.0014425 48.4460557, 0.0015213 48.4460376, 0.0016044 48.4460329, 0.0016867 48.4460418, 0.0017632 48.4460638)",,,,roundabout
182379042,True,,,primary,False,15.558,"LINESTRING (0.0018195 48.446423, 0.0017629 48.4464507, 0.0016989 48.44647, 0.0016303 48.4464802)",,,,roundabout
690799294,True,,,unclassified,False,18.117,"LINESTRING (0.0018195 48.446423, 0.0018398 48.4465174, 0.0018561 48.4465841)",,,80,
664729769,False,,,residential,True,257.954,"LINESTRING (0.0019074 48.4470333, 0.0018907 48.4472167, 0.0018502 48.4476733, 0.0018695 48.4477388, 0.001899 48.4477939, 0.0021619 48.4479469, 0.0022172 48.448003, 0.0022128 48.4480626, 0.0021967 48.4480982, 0.0021002 48.4481444, 0.0012016 48.4482779, 0.0006062 48.4482405, 0.0005 48.4482509)",,,,
48541198,False,,D 522,tertiary,True,255.68699999999995,"LINESTRING (-0.0067379 48.4418967, -0.0066818 48.4420071, -0.0066782 48.4426173, -0.006731 48.4433574, -0.0066162 48.4439842, -0.0065669 48.4440919, -0.0065136 48.4441723)",Route du Theil,yes,,
453381966,False,,,residential,False,87.088,"LINESTRING (-0.0067379 48.4418967, -0.0056876 48.4418118, -0.0056501 48.4418892)",,,,
453381966,False,,,residential,True,87.088,"LINESTRING (-0.0056501 48.4418892, -0.0056876 48.4418118, -0.0067379 48.4418967)",,,,
690799293,True,,,residential,False,21.689999999999998,"LINESTRING (0.0010258 48.446136, 0.0011446 48.4461466, 0.0013162 48.4461267)",,,,
690799295,False,,,residential,False,199.08399999999997,"LINESTRING (0.0010258 48.446136, 0.000881 48.4461034, 0.0006985 48.4460578, 0.000135 48.445917, -0.0005352 48.4454559, -0.0008073 48.4452687, -0.0010092 48.4451231, -0.0010858 48.4450879)",,,,
664729768,False,,,residential,True,126.078,"LINESTRING (0.0002816 48.4471264, 0.0002918 48.4471855, 0.0003321 48.4474175, 0.0003752 48.4476415, 0.0004355 48.447936, 0.0004935 48.4482192, 0.0005 48.4482509)",Rue du Meridien,,,
664729768,False,,,residential,False,126.078,"LINESTRING (0.0005 48.4482509, 0.0004935 48.4482192, 0.0004355 48.447936, 0.0003752 48.4476415, 0.0003321 48.4474175, 0.0002918 48.4471855, 0.0002816 48.4471264)",Rue du Meridien,,,
664729769,False,,,residential,False,257.954,"LINESTRING (0.0005 48.4482509, 0.0006062 48.4482405, 0.0012016 48.4482779, 0.0021002 48.4481444, 0.0021967 48.4480982, 0.0022128 48.4480626, 0.0022172 48.448003, 0.0021619 48.4479469, 0.001899 48.4477939, 0.0018695 48.4477388, 0.0018502 48.4476733, 0.0018907 48.4472167, 0.0019074 48.4470333)",,,,
664729769,False,,,residential,True,206.152,"LINESTRING (0.0005 48.4482509, 0.0000887 48.4482901, -0.0006866 48.4483668, -0.0021806 48.4487386)",,,,
61462169,False,,,unclassified,False,43.875,"LINESTRING (-0.0021806 48.4487386, -0.0023 48.4485997, -0.0023378 48.4485558, -0.0024404 48.4483847)",,,,
664729769,False,,,residential,False,206.152,"LINESTRING (-0.0021806 48.4487386, -0.0006866 48.4483668, 0.0000887 48.4482901, 0.0005 48.4482509)",,,,
182379000,True,1,N 12,primary,False,31.346000000000004,"LINESTRING (0.0010346 48.446538, 0.0011801 48.4464173, 0.0012597 48.4463014)",,,,
"[690799299, 296142548]",False,2,N 12,primary,False,296.16499999999996,"LINESTRING (0.0010346 48.446538, 0.0005012 48.4468197, -0.0000474 48.4470921, -0.0003561 48.4472304, -0.0004464 48.4472693, -0.0007941 48.4473972, -0.0010638 48.4474924, -0.001936 48.4478075, -0.002338 48.4479714)",,,50,
182379042,True,,,primary,False,7.773999999999999,"LINESTRING (0.0018852 48.4463686, 0.0018555 48.4463975, 0.0018195 48.446423)",,,,roundabout
54604518,True,,,unclassified,False,20.277,"LINESTRING (0.0018561 48.4465841, 0.0017758 48.4465442, 0.0016303 48.4464802)",,,80,
182379042,True,,,primary,False,16.788,"LINESTRING (0.0019258 48.4462226, 0.001929 48.4462729, 0.0019152 48.4463224, 0.0018852 48.4463686)",,,,roundabout
182379042,True,,,primary,False,15.469999999999999,"LINESTRING (0.0016303 48.4464802, 0.0015604 48.4464807, 0.0014918 48.4464717, 0.0014275 48.4464535)",,,,roundabout
182379042,True,,,primary,False,22.027,"LINESTRING (0.0017632 48.4460638, 0.0018118 48.4460868, 0.0018535 48.4461152, 0.0018871 48.446148, 0.0019114 48.4461842, 0.0019258 48.4462226)",,,,roundabout
690799297,True,1,N 12,primary,False,47.097,"LINESTRING (0.0017632 48.4460638, 0.0019804 48.4460432, 0.0023626 48.4459291)",,,,
182379042,True,,,primary,False,21.6,"LINESTRING (0.0014275 48.4464535, 0.0013789 48.4464318, 0.0013367 48.4464049, 0.0013021 48.4463735, 0.0012762 48.4463387, 0.0012597 48.4463014)",,,,roundabout
690799296,True,1,N 12,primary,False,30.564,"LINESTRING (0.0014275 48.4464535, 0.0012352 48.4464832, 0.0010346 48.446538)",,,,
182379042,True,,,primary,False,4.356,"LINESTRING (0.0012597 48.4463014, 0.0012552 48.4462821, 0.0012532 48.4462625)",,,,roundabout
48541197,True,,,residential,False,22.113,"LINESTRING (0.0012532 48.4462625, 0.0011105 48.446166, 0.0010258 48.446136)",,,,
182379042,True,,,primary,False,16.06,"LINESTRING (0.0012532 48.4462625, 0.0012563 48.4462265, 0.0012681 48.4461912, 0.0012882 48.4461576, 0.0013162 48.4461267)",,,,roundabout
