osmid,name,highway,junction,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes
9508313,Rond-Point des Plages,primary,roundabout,True,False,33.626999999999995,"LINESTRING (4.2150436 43.6882314, 4.2149403 43.6882198, 4.2148427 43.6881927, 4.2147551 43.6881514, 4.2146815 43.6880977)",,,,
9508313,Rond-Point des Plages,primary,roundabout,True,False,14.779,"LINESTRING (4.2146815 43.6880977, 4.2146309 43.6880422, 4.2145955 43.6879809)",,,,
9508313,Rond-Point des Plages,primary,roundabout,True,False,27.564999999999998,"LINESTRING (4.215528 43.687744, 4.2155571 43.6878239, 4.21556 43.6879065, 4.2155366 43.6879874)",,,,
9508313,Rond-Point des Plages,primary,roundabout,True,False,51.499,"LINESTRING (4.2155366 43.6879874, 4.2154997 43.6880479, 4.215448 43.6881025, 4.2153834 43.6881493, 4.2153079 43.6881867, 4.2152241 43.6882134, 4.215135 43.6882284, 4.2150436 43.6882314)",,,,
9508313,Rond-Point des Plages,primary,roundabout,True,False,16.031,"LINESTRING (4.2154202 43.6876236, 4.2154825 43.6876798, 4.215528 43.687744)",,,,
9508313,Rond-Point des Plages,primary,roundabout,True,False,30.949,"LINESTRING (4.2150747 43.6875167, 4.2151703 43.6875244, 4.215262 43.6875455, 4.2153464 43.6875789, 4.2154202 43.6876236)",,,,
22918687,,primary,,True,False,621.355,"LINESTRING (4.2150747 43.6875167, 4.2152525 43.6873716, 4.2153431 43.6872268, 4.2154616 43.686993, 4.215566 43.686735, 4.2156185 43.6865605, 4.2156905 43.6863062, 4.2157644 43.6856548, 4.2157164 43.6849935, 4.215654 43.6847879, 4.2155329 43.6843894, 4.2153003 43.6839071, 4.2149211 43.6832996, 4.2143 43.6824836, 4.214146 43.6823378, 4.2140921 43.6823024)",D 979,90,,
22918968,,primary,roundabout,True,False,29.755000000000003,"LINESTRING (4.2144193 43.6822045, 4.2143683 43.6822433, 4.2143072 43.6822735, 4.2142388 43.682294, 4.2141661 43.6823037, 4.2140921 43.6823024)",,,,
"[663432616, 22918969, 663432615]",,primary,,True,False,630.894,"LINESTRING (4.2144193 43.6822045, 4.2144262 43.6823266, 4.2144343 43.6823766, 4.214467 43.6824418, 4.2152564 43.6834943, 4.2154333 43.6838139, 4.2157201 43.6844878, 4.2158347 43.685017, 4.21588 43.6854025, 4.2158986 43.6857499, 4.215886 43.6859509, 4.215821 43.6863044, 4.2157413 43.6866409, 4.2157308 43.6867208, 4.2155904 43.6871036, 4.2154176 43.6875046, 4.215412 43.6875652, 4.2154202 43.6876236)",D 979,90,,
22918968,,primary,roundabout,True,False,12.318999999999999,"LINESTRING (4.2140921 43.6823024, 4.2140177 43.6822894, 4.2139488 43.6822651)",,,,
22918968,,primary,roundabout,True,False,26.217000000000002,"LINESTRING (4.2139488 43.6822651, 4.2138852 43.6822282, 4.2138349 43.6821818, 4.2138005 43.6821284, 4.2137839 43.6820707)",,,,
