osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,bridge,ref,width,tunnel
86722471,True,Rue du Four Viguier,residential,30,False,66.95,,"LINESTRING (1.6111368 43.117607, 1.6103124 43.1176268)",,,,
234559313,True,Rue Gabriel Péri,living_street,20,False,38.209,,"LINESTRING (1.6111368 43.117607, 1.6111164 43.1172637)",,,,
585951868,True,Rue de la République,residential,30,False,48.72,1,"LINESTRING (1.6108321 43.1160732, 1.6103549 43.1161889, 1.6102616 43.1162093)",,,,
86722453,True,Rue de la République,residential,30,False,105.111,1,"LINESTRING (1.6119766 43.1156313, 1.6111961 43.1159418, 1.6108321 43.1160732)",,,,
135604549,True,Rue Jacques Fournier,residential,30,False,69.61300000000001,,"LINESTRING (1.6119766 43.1156313, 1.6120625 43.1159619, 1.6120706 43.1159929, 1.6121247 43.1160546, 1.6121396 43.1160712, 1.6121484 43.1161072, 1.612153 43.1161257, 1.6121434 43.1161873, 1.6121568 43.1162338)",,,,
86722493,False,Rue des Carmes,residential,30,True,50.884,,"LINESTRING (1.6096536 43.1163208, 1.6102616 43.1162093)",,,,
234612246,False,Rue des Carmes,residential,30,False,49.989,,"LINESTRING (1.6096536 43.1163208, 1.6095555 43.1163385, 1.6090558 43.1164289)",,,,
86724872,False,Boulevard de la Libération,residential,30,True,77.476,2,"LINESTRING (1.608017 43.1167226, 1.6078888 43.1167109, 1.607577 43.1165737, 1.6075264 43.1165334, 1.6074853 43.1164059, 1.6074378 43.1162589)",,,,
86724876,False,Pont des Carmes,residential,,True,22.750999999999998,,"LINESTRING (1.608017 43.1167226, 1.6081197 43.1166711, 1.6082614 43.116624)",yes,,,
511362741,False,Boulevard de la Libération,residential,30,False,111.212,2,"LINESTRING (1.608017 43.1167226, 1.6081791 43.1169162, 1.6087317 43.1175759)",,,,
41041415,False,Pont Neuf,tertiary,,False,16.918,,"LINESTRING (1.6057893 43.1135583, 1.6059909 43.1135969)",yes,D 10,,
