osmid,oneway,ref,highway,maxspeed,reversed,length,name,geometry,junction,bridge,lanes
48638606,True,M 75,secondary,30,False,9.428,,"LINESTRING (-1.6242051 47.2690017, -1.6241403 47.2690742)",,,
35016973,True,M 75,secondary,,False,13.826,Route de Basse-Indre,"LINESTRING (-1.6240768 47.2693833, -1.6241892 47.2692851)",,,
"[48704544, 429739852, 162257575]",False,M 75,secondary,30,True,178.48200000000003,Route de Basse-Indre,"LINESTRING (-1.6240768 47.2693833, -1.623658 47.2700283, -1.6235654 47.2701794, -1.6235403 47.2702201, -1.6234933 47.2702964, -1.6234401 47.2703778, -1.6231727 47.2707871, -1.623128 47.2708536)",,,
35016216,False,,living_street,30,False,53.52799999999999,Place Jeanne d'Arc,"LINESTRING (-1.623128 47.2708536, -1.623072 47.2708386, -1.6230376 47.2708313, -1.6226646 47.2707787, -1.6225082 47.2707566, -1.6224369 47.2707477)",,,
"[48704544, 429739852, 162257575]",False,M 75,secondary,30,False,178.48200000000003,Route de Basse-Indre,"LINESTRING (-1.623128 47.2708536, -1.6231727 47.2707871, -1.6234401 47.2703778, -1.6234933 47.2702964, -1.6235403 47.2702201, -1.6235654 47.2701794, -1.623658 47.2700283, -1.6240768 47.2693833)",,,
264940137,False,M 75,secondary,30,True,20.058,Place de l'Église,"LINESTRING (-1.623128 47.2708536, -1.6231185 47.270887, -1.6231421 47.2709403, -1.6231805 47.2710272)",,,
172282355,False,,residential,,True,109.097,Rue du Char à Bancs,"LINESTRING (-1.6188915 47.2709292, -1.6187676 47.2709958, -1.6187455 47.2710264, -1.6187348 47.2710603, -1.6190217 47.2715881, -1.6191454 47.2718157)",,,
172283839,True,,secondary,,False,11.423,,"LINESTRING (-1.6188915 47.2709292, -1.6189349 47.2709366, -1.6189875 47.2709283, -1.6190317 47.2709089)",roundabout,,
27624709,True,M 42,secondary,,False,17.07,Rue Hubert de la Brosse,"LINESTRING (-1.6210688 47.2719455, -1.6210038 47.2719316, -1.6209657 47.2719253, -1.6209072 47.2719179, -1.6208494 47.2719087)",,,
35016979,False,M 42,secondary,,False,38.684,Rue Hubert de la Brosse,"LINESTRING (-1.6210688 47.2719455, -1.6211956 47.2719252, -1.6215428 47.2718164)",,,
42616422,False,M 42,secondary,30,False,15.690000000000001,Place de l'Église,"LINESTRING (-1.6230464 47.2713024, -1.6230776 47.2712728, -1.6231675 47.2711877)",,,
693462005,False,M 42,secondary,,True,54.048,Rue Hubert de la Brosse,"LINESTRING (-1.6230464 47.2713024, -1.6227525 47.271405, -1.6224105 47.2715262)",,,
"[1193842184, 162257700]",False,,tertiary,30,True,73.705,Rue du Raffuneau,"LINESTRING (-1.6230464 47.2713024, -1.6230751 47.2713446, -1.6231094 47.2714076, -1.6231177 47.2714229, -1.6231591 47.2715019, -1.6232672 47.2718204, -1.6233076 47.2719395)",,,
35016215,False,M 75,tertiary,30,True,5.498,Rue Hubert de la Brosse,"LINESTRING (-1.6186072 47.272716, -1.6186796 47.2727104)",,,
