osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,junction,width
508852059,True,2,N 184,primary,70,False,6.623,,"LINESTRING (2.0918214 49.0158025, 2.0918903 49.0158413)",,
23641501,True,1,D 984,secondary,,False,31.079,Avenue Carnot,"LINESTRING (2.0918214 49.0158025, 2.0918415 49.0157007, 2.0918744 49.0156163, 2.09192 49.0155317)",,
25163648,False,,,tertiary,,False,139.327,Square du 19 Mars 1962,"LINESTRING (2.0960537 49.0233404, 2.0962153 49.0232593, 2.0962608 49.0232426, 2.0963774 49.0231976, 2.0964319 49.0231906, 2.0965554 49.023222, 2.0967457 49.023377, 2.096831 49.0234285, 2.0968975 49.023456, 2.0970006 49.023491, 2.097122 49.0235142, 2.0971941 49.0235218, 2.0972828 49.0235199, 2.0973962 49.0234995, 2.0974665 49.023479, 2.0975786 49.0234404, 2.0976737 49.0234063)",,
806962412,True,,,tertiary_link,,False,9.334000000000001,,"LINESTRING (2.0960537 49.0233404, 2.0960374 49.0233745, 2.0960313 49.0233824, 2.0960166 49.0233925, 2.0959873 49.0234091)",,
860314029,True,,,tertiary,,False,7.414000000000001,,"LINESTRING (2.0972589 49.0230343, 2.097263 49.0230507, 2.0972587 49.0230672, 2.0972465 49.0230818, 2.0972278 49.0230931)",roundabout,
33701469,False,,,residential,,False,194.04600000000005,Rue des Écoles,"LINESTRING (2.0929563 49.0199881, 2.0927802 49.0198284, 2.0920968 49.0192086, 2.0920117 49.0191068, 2.0919567 49.0190278, 2.0919068 49.0189374, 2.0918192 49.018776, 2.0917396 49.018659, 2.0917054 49.0186059, 2.0916492 49.0185482, 2.0916011 49.0184989)",,
33701470,False,,,residential,,False,134.841,Rue des Pinsons,"LINESTRING (2.0929563 49.0199881, 2.0936531 49.0196324, 2.0941451 49.0193812, 2.0944173 49.0192448)",,
210587061,False,,,residential,40,True,163.17,Rue des Écoles,"LINESTRING (2.0929563 49.0199881, 2.093785 49.0207693, 2.0940388 49.0209749, 2.094168 49.021095, 2.0942879 49.0211635)",,
230699595,True,1,D 984,secondary,,False,4.599,Boulevard des Aviateurs Alliés,"LINESTRING (2.0917989 49.0159549, 2.0918044 49.0159137)",,
806963539,False,2,D 984,secondary,30,True,84.151,Avenue Roger Guichard,"LINESTRING (2.0912567 49.0194755, 2.0919114 49.0200987)",,
33714901,False,,,residential,30,True,67.406,Rue de la Gare,"LINESTRING (2.0912567 49.0194755, 2.0912577 49.0195238, 2.0912585 49.0195667, 2.0912888 49.0200813)",,
34227933,True,1,D 984,secondary,30,False,20.417,Avenue Roger Guichard,"LINESTRING (2.0912567 49.0194755, 2.0911558 49.0193979, 2.0911161 49.0193619, 2.0910836 49.0193314)",,
25163652,True,,,residential,15,False,93.242,Rue de Neuville,"LINESTRING (2.0925855 49.0207761, 2.092555 49.0207891, 2.0925255 49.0207889, 2.0914566 49.0205754, 2.0913627 49.0205643)",,
1024029655,True,1,D 984,secondary,30,False,41.447,Avenue Roger Guichard,"LINESTRING (2.0925855 49.0207761, 2.0924722 49.0206647, 2.0922916 49.0204573)",,
33714902,True,,,residential,30,False,192.65,Rue de la Gare,"LINESTRING (2.0913353 49.0205785, 2.0913676 49.0206466, 2.0915096 49.0209664, 2.0917275 49.0212824, 2.0923261 49.0218038, 2.0924194 49.0220724, 2.0924142 49.0221255)",,
1231027882,True,,,residential,,False,7.762,,"LINESTRING (2.0913353 49.0205785, 2.0913177 49.0205798, 2.0913005 49.0205769, 2.0912861 49.0205701, 2.0912764 49.0205604, 2.0912727 49.020549, 2.0912755 49.0205375)",roundabout,
34227934,False,,,residential,30,False,45.705,,"LINESTRING (2.089728 49.0199924, 2.0897677 49.0199453, 2.0900335 49.0196335)",,
989687537,False,,,residential,15,True,128.155,Rue de Neuville,"LINESTRING (2.089728 49.0199924, 2.0898911 49.0200467, 2.0911118 49.0204907, 2.0912071 49.0205162, 2.0912755 49.0205375)",,
176341076,False,,,residential,50,False,11.544,Rue des Pinsons,"LINESTRING (2.0959927 49.0184665, 2.0961028 49.0183919)",,
505096627,True,2,N 184,primary,70,False,21.665,Boulevard Jacques Duclos,"LINESTRING (2.0959927 49.0184665, 2.0957714 49.0183365)",,
508852055,False,,,residential,,True,31.267,Rue des Pinsons,"LINESTRING (2.0959927 49.0184665, 2.0956609 49.0186446)",,
288205456,True,,,residential,30,False,14.537000000000003,,"LINESTRING (2.0909855 49.0233153, 2.090968 49.0233145, 2.0909513 49.0233112, 2.0909282 49.0233015, 2.0909114 49.0232873, 2.0909027 49.0232703, 2.0909033 49.0232523, 2.0909129 49.0232355, 2.0909306 49.0232218)",roundabout,3
34227960,False,,,residential,30,False,303.526,Chemin de halage,"LINESTRING (2.0890451 49.0207918, 2.089524 49.0213014, 2.0899958 49.0219508, 2.0908069 49.0230844, 2.0909306 49.0232218)",,3
34227929,False,,,residential,30,False,120.32499999999999,Rue du Rû,"LINESTRING (2.0924914 49.0227074, 2.0922959 49.0227902, 2.0920824 49.0228654, 2.0910489 49.0232321)",,3
34227932,False,,,residential,30,True,65.362,Rue de la Gare,"LINESTRING (2.0924914 49.0227074, 2.0924898 49.0226796, 2.0924959 49.0226506, 2.0925066 49.0226207, 2.0925131 49.0225818, 2.0924142 49.0221255)",,
34227918,False,,,living_street,20,False,174.559,Rue de Conflans,"LINESTRING (2.0950388 49.0234149, 2.0950252 49.0233656, 2.0949903 49.0233058, 2.0949518 49.0232607, 2.094731 49.0230498, 2.0943704 49.0226044, 2.0942149 49.0223965, 2.0940755 49.0222101, 2.0940032 49.0220897, 2.0939956 49.0220145)",,
34227931,True,,,residential,30,False,343.411,Rue de la Fontaine,"LINESTRING (2.0924142 49.0221255, 2.0923369 49.022042, 2.092282 49.0219831, 2.0920502 49.0218101, 2.0919841 49.0217724, 2.091836 49.0218508, 2.0917205 49.0218275, 2.0914462 49.0216656, 2.0902884 49.020817, 2.0896327 49.0204743, 2.0890451 49.0207918)",,
34227932,False,,,residential,30,False,65.362,Rue de la Gare,"LINESTRING (2.0924142 49.0221255, 2.0925131 49.0225818, 2.0925066 49.0226207, 2.0924959 49.0226506, 2.0924898 49.0226796, 2.0924914 49.0227074)",,
34227934,False,,,residential,30,False,94.445,,"LINESTRING (2.0900335 49.0196335, 2.090313 49.0193073, 2.0906676 49.0188929)",,
34227934,False,,,residential,30,True,45.705,,"LINESTRING (2.0900335 49.0196335, 2.0897677 49.0199453, 2.089728 49.0199924)",,
33714901,False,,,residential,30,False,67.406,Rue de la Gare,"LINESTRING (2.0912888 49.0200813, 2.0912585 49.0195667, 2.0912577 49.0195238, 2.0912567 49.0194755)",,
33714901,False,,,residential,30,True,48.472,Rue de la Gare,"LINESTRING (2.0912888 49.0200813, 2.0913037 49.0204088, 2.0913154 49.0205168)",,
34227935,True,,,residential,30,False,104.205,Sente de la Mairie,"LINESTRING (2.0912888 49.0200813, 2.0906194 49.0198435, 2.0900335 49.0196335)",,
34227934,False,,,residential,30,True,94.445,,"LINESTRING (2.0906676 49.0188929, 2.090313 49.0193073, 2.0900335 49.0196335)",,
34227938,True,,,residential,30,False,30.779,Rue des Belles Hâtes,"LINESTRING (2.09103 49.0190348, 2.0907048 49.0189075, 2.0906676 49.0188929)",,
1022557289,True,1,D 984,secondary,30,False,108.66600000000001,Boulevard des Aviateurs Alliés,"LINESTRING (2.09103 49.0190348, 2.0910359 49.0189799, 2.0910552 49.0188757, 2.0910798 49.0187977, 2.0911447 49.0186815, 2.0912413 49.0185379, 2.0912936 49.0184579, 2.0913282 49.0183659, 2.0913409 49.0182746, 2.0913298 49.0181588, 2.0913452 49.0181288, 2.0913709 49.0180973)",,
154233867,True,1,D 984,secondary,30,False,120.791,Boulevard des Aviateurs Alliés,"LINESTRING (2.0913709 49.0180973, 2.0913941 49.018127, 2.0914071 49.0181583, 2.0914029 49.0182286, 2.0913899 49.0183071, 2.0913699 49.0184043, 2.0913328 49.0184898, 2.0912843 49.0185604, 2.0912299 49.0186336, 2.0911782 49.0187158, 2.0911191 49.0188435, 2.0911011 49.0189098, 2.0910931 49.0189815, 2.0911006 49.0190364, 2.0911271 49.0190941, 2.0911498 49.0191401)",,
504854651,False,2,D 984,secondary,30,False,32.737,Boulevard des Aviateurs Alliés,"LINESTRING (2.0913709 49.0180973, 2.0913777 49.0180244, 2.0914047 49.0178947, 2.0914249 49.0178052)",,
"[34227944, 34227945]",False,,,residential,,False,233.04900000000004,"[""Chemin d'Andrésy"", 'Rue Dominique Lebovici']","LINESTRING (2.0882539 49.0159386, 2.0882808 49.0159165, 2.0883473 49.0158559, 2.088498 49.0157236, 2.0892237 49.014851, 2.0892921 49.0147858, 2.0894275 49.0147534, 2.0895543 49.0147605, 2.0896822 49.0148267, 2.0898615 49.0150061, 2.0899893 49.0151424, 2.0900654 49.0152236)",,
257240962,False,,,residential,,False,162.407,Rue de la Papeterie,"LINESTRING (2.0882539 49.0159386, 2.0875401 49.0155032, 2.0873132 49.0153406, 2.0866952 49.0148971)",,
257240962,False,,,residential,,True,184.48900000000003,Rue de la Papeterie,"LINESTRING (2.0882539 49.0159386, 2.0884246 49.0160305, 2.0885242 49.016075, 2.0895074 49.0164388, 2.0895835 49.0164649, 2.0896141 49.0164754, 2.0896778 49.0164972, 2.0897546 49.0165346, 2.0898202 49.0165734, 2.0898652 49.0166075, 2.0902267 49.0169334)",,
257240962,False,,,residential,,True,162.407,Rue de la Papeterie,"LINESTRING (2.0866952 49.0148971, 2.0873132 49.0153406, 2.0875401 49.0155032, 2.0882539 49.0159386)",,
34227945,False,,,residential,,True,82.658,Chemin d'Andrésy,"LINESTRING (2.0916513 49.0167541, 2.0915862 49.0167473, 2.0915584 49.0167356, 2.0915249 49.0167096, 2.091484 49.0166714, 2.0913063 49.0164902, 2.0912131 49.0163895, 2.0911413 49.0162914, 2.0910362 49.0161518)",,
230699596,False,2,D 984,secondary,50,False,47.622,Boulevard des Aviateurs Alliés,"LINESTRING (2.0916513 49.0167541, 2.0916961 49.0165507, 2.0917475 49.0163305)",,
230699596,False,2,D 984,secondary,50,True,118.045,Boulevard des Aviateurs Alliés,"LINESTRING (2.0916513 49.0167541, 2.0916185 49.0169258, 2.0915823 49.0170909, 2.0915402 49.0173, 2.0914719 49.0176143, 2.0914249 49.0178052)",,
34227945,False,,,residential,,False,112.018,Chemin d'Andrésy,"LINESTRING (2.0900654 49.0152236, 2.0900975 49.0152554, 2.0904226 49.0155777, 2.0908718 49.0160393, 2.0909068 49.016066)",,
34227946,False,,,residential,,False,212.462,Rue Gutenberg,"LINESTRING (2.0900654 49.0152236, 2.0896567 49.0157226, 2.0895881 49.015803, 2.089601 49.0158077, 2.0898905 49.0159133, 2.0899854 49.0159456, 2.0900919 49.0159862, 2.0901617 49.0160284, 2.0902393 49.0160857, 2.0903829 49.01621, 2.0904532 49.0162591, 2.0905171 49.016289, 2.0905816 49.0163104, 2.0907454 49.0163465, 2.0908582 49.0161414, 2.0909068 49.016066)",,
