osmid,oneway,ref,name,highway,reversed,length,geometry,junction,maxspeed,lanes,bridge
1136218560,True,D 564,Rue de la Chaussée,primary,False,10.011,"LINESTRING (3.2198035 49.6109191, 3.2198951 49.6109868)",,,,
37912843,True,D 564,Rue de la Chaussée,primary,False,34.907,"LINESTRING (3.2195418 49.6106594, 3.2196224 49.6107708, 3.2196747 49.6108339, 3.2198035 49.6109191)",,,,
1136218555,True,,,primary,False,14.368,"LINESTRING (3.2195418 49.6106594, 3.2195145 49.6106864, 3.2194772 49.6107079, 3.2194325 49.6107222, 3.2193836 49.6107284)",roundabout,,,
38159365,False,,Rue Charles Brunette,residential,True,220.462,"LINESTRING (3.2164108 49.6184447, 3.216468 49.6184464, 3.2165736 49.6184495, 3.2186126 49.6185094, 3.2194231 49.6186882)",,,,
38179907,False,D 937,Avenue Victor Hugo,secondary,False,94.537,"LINESTRING (3.2164108 49.6184447, 3.2164967 49.6182934, 3.2168639 49.6176468)",,,,
"[38179907, 37912982]",False,D 937,"['Avenue Victor Hugo', 'Rue des Déportés']",secondary,True,223.61900000000003,"LINESTRING (3.2178842 49.6157487, 3.2178137 49.6158587, 3.2174648 49.6165995, 3.2172827 49.6169221, 3.2171887 49.6170706, 3.2169754 49.6174491, 3.2168639 49.6176468)",,,,
158321145,False,D 338,Rue de la Paix,primary,False,70.82300000000001,"LINESTRING (3.2178842 49.6157487, 3.2180615 49.6158173, 3.2187368 49.6160657)",,,,
158321145,False,D 338,Rue de la Paix,primary,True,86.41799999999999,"LINESTRING (3.2178842 49.6157487, 3.217698 49.6156814, 3.2169923 49.6154127, 3.2168477 49.6153576)",,,,
309206609,False,D 937,Rue des Déportés,tertiary,False,46.486,"LINESTRING (3.2178842 49.6157487, 3.2179608 49.615657, 3.2181109 49.6154612, 3.2181902 49.6153811)",,30,,
37912997,False,D 565,Boulevard Gambetta,primary,False,72.09100000000001,"LINESTRING (3.223253 49.6116265, 3.2231649 49.6116847, 3.2227529 49.6121847)",,,,
38134933,True,,,primary,False,17.825000000000003,"LINESTRING (3.223253 49.6116265, 3.2232349 49.6116025, 3.2232296 49.611576, 3.2232377 49.6115498, 3.2232583 49.6115267, 3.2232892 49.611509, 3.2233273 49.6114987)",roundabout,,,
"[38413886, 38413887]",False,,"['Rue Juliette Lambert', 'Ruelle des Masures']",residential,"[False, True]",69.573,"LINESTRING (3.2209925 49.6112072, 3.2209662 49.6112506, 3.2208981 49.6112857, 3.2206325 49.6113526, 3.2203771 49.6114066, 3.2201703 49.6114544, 3.2201548 49.6114736)",,,,
1136218558,False,D 564,Rue Anatole France,primary,False,64.636,"LINESTRING (3.2209925 49.6112072, 3.2210749 49.6112106, 3.2214477 49.6111863, 3.2218751 49.611119)",,,,
"[309206601, 1136218558]",False,D 564,Rue Anatole France,primary,True,82.93400000000001,"LINESTRING (3.2209925 49.6112072, 3.2204427 49.6111076, 3.2201731 49.6110587, 3.2200261 49.6110286, 3.2200015 49.6110208, 3.2198951 49.6109868)",,,,
37912900,True,D 564,Rue de la Chaussée,primary,False,16.831,"LINESTRING (3.2198951 49.6109868, 3.2197643 49.6109576, 3.2196808 49.6109279)",,50,,
