osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,width,tunnel,access
"[1007056152, 786214546, 212803166]",Rue Duquesne,secondary,30,False,True,80.237,2,"LINESTRING (-4.4895464 48.3903561, -4.4894969 48.3904, -4.4892849 48.3905699, -4.489181 48.3906571, -4.4890065 48.3908215, -4.4888982 48.3909343)",,,,
1238062352,,secondary,30,True,False,8.985,,"LINESTRING (-4.4895464 48.3903561, -4.4895707 48.3903647, -4.489599 48.3903682, -4.4896301 48.3903641, -4.4896581 48.3903517)",roundabout,,,
"[48559504, 214743342]",Rue Algésiras,residential,30,False,True,172.81699999999998,,"LINESTRING (-4.4877472 48.3892745, -4.4882374 48.3895458, -4.4884186 48.389645, -4.488596 48.389747, -4.4894699 48.3902491, -4.4895282 48.3902827)",,8,,
141655946,Place de la Liberté,residential,30,False,True,7.187,,"LINESTRING (-4.4862423 48.3912951, -4.4861528 48.3912697)",,,,
141673878,Place de la Liberté,residential,30,True,False,83.33,,"LINESTRING (-4.4862423 48.3912951, -4.4862832 48.3912439, -4.4867474 48.3908828, -4.4868726 48.3907894, -4.4869654 48.3907216)",,,,
"[1102388708, 5019814]",Rue Augustin Morvan,residential,30,False,False,92.47299999999998,,"LINESTRING (-4.4862423 48.3912951, -4.4863419 48.39134, -4.4863573 48.3913484, -4.4864218 48.3913865, -4.48643 48.3913914, -4.4868039 48.3915998, -4.4872022 48.3918285)",,,,
23639651,Avenue Georges Clemenceau,secondary,30,True,False,41.797,2,"LINESTRING (-4.4825412 48.3877772, -4.4826315 48.3878153, -4.4826808 48.3878409, -4.4827235 48.3878681, -4.4827989 48.3879229, -4.4829001 48.3880095, -4.4829372 48.3880412)",,,,
524787233,Rond-Point Henri Rol-Tanguy,secondary,30,True,False,18.130000000000003,2,"LINESTRING (-4.4825412 48.3877772, -4.4825873 48.3877583, -4.4826119 48.3877449, -4.4826375 48.3877251, -4.4826613 48.3876905, -4.482675 48.3876497)",roundabout,,,
23640008,Avenue Salaün Penquer,secondary,30,True,False,44.955999999999996,1,"LINESTRING (-4.482334 48.387117, -4.4823139 48.3870921, -4.4822834 48.3870492, -4.4822462 48.3869999, -4.4822257 48.3869605, -4.4822094 48.3869091, -4.4822013 48.3868409, -4.4821972 48.3867301)",,,,
548639714,Rond-Point Henri Rol-Tanguy,secondary,30,True,False,14.486,2,"LINESTRING (-4.482334 48.387117, -4.4822869 48.3871155, -4.4822409 48.3871174, -4.4821952 48.3871251, -4.4821474 48.3871442)",roundabout,,,
266187894,Avenue Amiral Réveillère,residential,30,False,True,148.383,2,"LINESTRING (-4.4824442 48.3871589, -4.4824989 48.3871456, -4.4826078 48.3871191, -4.4843309 48.3866997)",,4,,
