osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access
5105814,False,,Impasse Pablo Picasso,residential,,False,72.93299999999999,"LINESTRING (4.7931239 45.7334635, 4.7925608 45.7336007, 4.7923459 45.7336638, 4.7922459 45.733696)",
5105815,False,,Impasse Pablo Picasso,residential,,False,32.461,"LINESTRING (4.7931239 45.7334635, 4.7931544 45.7333673, 4.793389 45.7332644)",
5105815,False,,Impasse Pablo Picasso,residential,,True,32.461,"LINESTRING (4.793389 45.7332644, 4.7931544 45.7333673, 4.7931239 45.7334635)",
5105813,False,,Rue Joan Miro,residential,,True,33.418,"LINESTRING (4.7937945 45.7337213, 4.7933908 45.7338258)",
475524568,False,2,Chemin des Fonts,unclassified,30,True,52.706,"LINESTRING (4.7956334 45.7392251, 4.7962561 45.7390359)",
475524568,False,2,Chemin des Fonts,unclassified,30,False,68.993,"LINESTRING (4.7956334 45.7392251, 4.7954329 45.7392765, 4.794801 45.739443)",
5154578,False,,Allée de Montregard,residential,,False,55.162,"LINESTRING (4.7933173 45.7352671, 4.7933737 45.7353427, 4.7937323 45.7356685)",
139669296,False,2,Chemin du Plan du Loup,tertiary,50,False,95.622,"LINESTRING (4.7933173 45.7352671, 4.7927293 45.7354134, 4.7925606 45.7354499, 4.7924142 45.7354705, 4.7922693 45.7354761, 4.7921328 45.7354705)",
139669296,False,2,Chemin du Plan du Loup,tertiary,50,True,135.161,"LINESTRING (4.7933173 45.7352671, 4.7940919 45.7350783, 4.7942314 45.7350567, 4.7943547 45.7350483, 4.7947665 45.7350361, 4.7948872 45.7350464, 4.7949944 45.7350848)",
5154578,False,,Allée de Montregard,residential,,True,55.162,"LINESTRING (4.7937323 45.7356685, 4.7933737 45.7353427, 4.7933173 45.7352671)",
75591643,False,,,living_street,,False,50.318,"LINESTRING (4.7933443 45.7394471, 4.7936187 45.7398571)",
75591643,False,,,living_street,,True,50.318,"LINESTRING (4.7936187 45.7398571, 4.7933443 45.7394471)",
144552889,True,,Allée Alban Vistel,unclassified,30,False,38.891999999999996,"LINESTRING (4.7896498 45.7331158, 4.7895379 45.7331561, 4.7894093 45.7332024, 4.7892578 45.7332127, 4.7891799 45.7332179)",
180699981,False,2,Chemin du Plan du Loup,tertiary,50,True,6.807,"LINESTRING (4.7889952 45.7352376, 4.7890829 45.7352374)",
