osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,junction,access
52960131,Chemin du Pied du Jer,residential,50,False,True,41.982,"LINESTRING (-0.0415606 43.0912958, -0.0415971 43.0913362, -0.0415971 43.0913936, -0.0415588 43.0916639)",,,,,
286750206,Boulevard d'Espagne,primary,50,False,True,71.138,"LINESTRING (-0.0415606 43.0912958, -0.0411207 43.0917788, -0.041078 43.0918297)",2,D 821,8,,
251860538,Avenue Général Baron Maransin,secondary,50,False,True,15.906,"LINESTRING (-0.0459655 43.0967942, -0.0459187 43.0969331)",2,D 914,,,
52956081,Rue Saint-Pierre,secondary,50,False,False,33.547,"LINESTRING (-0.0459655 43.0967942, -0.0459956 43.0966915, -0.0460521 43.0964992)",3,D 914,,,
"[251860545, 52419749]",Rue des 4 Frères Soulas,residential,50,True,False,56.205,"LINESTRING (-0.0459655 43.0967942, -0.04606 43.096802, -0.0461436 43.0968072, -0.0462562 43.0968174, -0.0466536 43.096849)",,,,,
42749609,Place du Marcadal,secondary,50,False,True,45.262,"LINESTRING (-0.0462889 43.0955564, -0.0463025 43.0957756, -0.0462905 43.0958906, -0.0462573 43.0959587)",4,D 914,,,
286785697,Place du Marcadal,secondary,50,False,False,69.827,"LINESTRING (-0.0462889 43.0955564, -0.0462701 43.0954047, -0.0462185 43.0951692, -0.0461845 43.0950533, -0.0461505 43.0949373)",2,D 914,,,
25049491,Rue de la Grotte,living_street,20,True,False,94.99300000000001,"LINESTRING (-0.0473897 43.0952705, -0.0471561 43.0953332, -0.0466432 43.095485, -0.0464039 43.0955357, -0.0462889 43.0955564)",,,,,
52956082,Rue des Petits Fossés,residential,30,False,False,64.879,"LINESTRING (-0.0473897 43.0952705, -0.0474629 43.0955686, -0.0474758 43.0956791, -0.0474733 43.0958488)",,,,,
25049491,Rue de la Grotte,living_street,20,True,False,47.919,"LINESTRING (-0.0479487 43.0951344, -0.0477405 43.095173, -0.0473897 43.0952705)",,,,,
355349178,Chaussée du Bourg,residential,50,False,False,77.873,"LINESTRING (-0.0479487 43.0951344, -0.0478806 43.0947809, -0.0478768 43.0947419, -0.0478649 43.094618, -0.0478476 43.0944384)",,,,,
