osmid,name,highway,oneway,reversed,length,geometry,access,junction,ref,maxspeed,bridge,lanes
25412404,Quai d'Arcole,secondary,False,False,121.539,"LINESTRING (-2.9699152 48.0604674, -2.9699716 48.0606587, -2.9700068 48.0608116, -2.9700075 48.0609937, -2.9699749 48.0612676, -2.9699371 48.0614875, -2.969926 48.0615522)",,,,,,
114576846,Rue Joseph Le Goff,residential,False,True,31.932,"LINESTRING (-2.9699152 48.0604674, -2.9695163 48.0604096, -2.9694953 48.0604065)",,,,,,
184342188,Rue du Pont,residential,False,False,25.054,"LINESTRING (-2.9676156 48.0687357, -2.9673559 48.068592)",yes,,,,,
627498283,,secondary,True,False,7.261,"LINESTRING (-2.9676156 48.0687357, -2.9676032 48.0687458, -2.9675957 48.0687579, -2.9675936 48.0687708, -2.9675972 48.0687837, -2.9676061 48.0687953)",,roundabout,,,,
"[388687498, 247045499, 247045500]",Avenue Napoléon 1er,secondary,False,True,129.592,"LINESTRING (-2.9652391 48.0650259, -2.9650642 48.0650024, -2.9642871 48.0648872, -2.9639561 48.0648362, -2.9638368 48.0648174, -2.9636046 48.0647795, -2.9635382 48.0647689)",,,D 764,30,yes,
274506623,Rue de Caïnin,residential,False,False,135.56799999999998,"LINESTRING (-2.9652391 48.0650259, -2.9652144 48.0651021, -2.9648532 48.0662175)",,,,30,,
525888809,Avenue Napoléon 1er,secondary,False,False,62.18,"LINESTRING (-2.9652391 48.0650259, -2.9653794 48.0650473, -2.9659006 48.0651285, -2.9660542 48.0651523)",,,D 764,30,,
38510910,Rue Nationale,secondary,False,False,43.754999999999995,"LINESTRING (-2.9660542 48.0651523, -2.9660209 48.0652511, -2.9659249 48.0655362)",,,D 764,,,
525888809,Avenue Napoléon 1er,secondary,False,True,62.18,"LINESTRING (-2.9660542 48.0651523, -2.9659006 48.0651285, -2.9653794 48.0650473, -2.9652391 48.0650259)",,,D 764,30,,
1018829403,Rue Nationale,secondary,False,True,44.363,"LINESTRING (-2.9660542 48.0651523, -2.9660898 48.0650478, -2.9661868 48.0647633)",,,D 768 A,,,
937262695,Rue Joséphine,residential,False,True,59.724,"LINESTRING (-2.969926 48.0615522, -2.9691437 48.0614292)",,,,,,
25412404,Quai d'Arcole,secondary,False,False,148.934,"LINESTRING (-2.969926 48.0615522, -2.9695763 48.0625575, -2.9694722 48.0628568)",,,,,,
25412404,Quai d'Arcole,secondary,False,True,121.53899999999999,"LINESTRING (-2.969926 48.0615522, -2.9699371 48.0614875, -2.9699749 48.0612676, -2.9700075 48.0609937, -2.9700068 48.0608116, -2.9699716 48.0606587, -2.9699152 48.0604674)",,,,,,
"[38739180, 388791935]",Pont de l'Hôpital,secondary,False,False,48.59,"LINESTRING (-2.967715 48.0687969, -2.9680386 48.0690195, -2.9681209 48.0690538, -2.9682007 48.0690851)",,,D 764,,yes,
627498283,,secondary,True,False,6.624,"LINESTRING (-2.967715 48.0687969, -2.9677255 48.0687838, -2.9677292 48.0687691, -2.9677255 48.0687544, -2.9677149 48.0687413)",,roundabout,,,,
"[38739180, 388791935]",Pont de l'Hôpital,secondary,False,True,48.59,"LINESTRING (-2.9682007 48.0690851, -2.9681209 48.0690538, -2.9680386 48.0690195, -2.967715 48.0687969)",,,D 764,,yes,
"[543651755, 543651756, 38739181]",Rue du Général Quinivet,secondary,False,False,42.063,"LINESTRING (-2.9682007 48.0690851, -2.9683212 48.0691031, -2.9684417 48.0691069, -2.9685438 48.0691055, -2.9686046 48.0691047, -2.9686569 48.0691037, -2.9687636 48.0691026)",,,D 764,,yes,
38510910,Rue Nationale,secondary,False,True,43.754999999999995,"LINESTRING (-2.9659249 48.0655362, -2.9660209 48.0652511, -2.9660542 48.0651523)",,,D 764,,,
1238041722,Rue Nationale,secondary,False,False,135.249,"LINESTRING (-2.9659249 48.0655362, -2.9659098 48.0655799, -2.9657004 48.0661867, -2.9655464 48.0666326, -2.9655158 48.0667214)",,,D 767,,,
75128149,Rue du Tribunal,secondary,True,False,61.06399999999999,"LINESTRING (-2.9684143 48.0659306, -2.9682349 48.0658997, -2.967615 48.0658032)",,,D 764,,,
121525937,Quai du Niemen,secondary,False,True,40.732,"LINESTRING (-2.9684143 48.0659306, -2.9684422 48.0658416, -2.9684793 48.065737, -2.9685495 48.0655758)",,,,,,
"[355771939, 525888812]",Quai du Niemen,secondary,False,False,130.93900000000002,"LINESTRING (-2.9684143 48.0659306, -2.9684033 48.0659642, -2.9682986 48.0662833, -2.9682792 48.0663641, -2.9682645 48.0664602, -2.9682793 48.0665275, -2.9682988 48.0665961, -2.9683343 48.0667207, -2.9683625 48.0668255, -2.9683712 48.0668676, -2.9683719 48.0669084, -2.9683698 48.0669546, -2.9683672 48.0669985, -2.9683525 48.0670914)",,,,,,
83058561,Rue Emmanuel Jaffré,secondary,True,False,187.37300000000005,"LINESTRING (-2.971324 48.0674372, -2.9713221 48.0674772, -2.9713276 48.0675221, -2.9713407 48.067559, -2.9713737 48.0676281, -2.971427 48.0676974, -2.9715051 48.0677731, -2.9715387 48.0678102, -2.9716058 48.0678576, -2.971676 48.0679168, -2.9717171 48.0679565, -2.9717497 48.0680007, -2.9717812 48.0680674, -2.9719359 48.068458, -2.9719523 48.0685079, -2.9719672 48.0685532, -2.9720773 48.0688928, -2.9721052 48.0690104)",,,,,,
199688473,,residential,False,False,21.369999999999997,"LINESTRING (-2.971324 48.0674372, -2.9713403 48.0673959, -2.9713719 48.0673081, -2.9713934 48.0672507)",,,,,,
388791937,Rue Julien Guidard,secondary,False,False,44.013,"LINESTRING (-2.971324 48.0674372, -2.9711441 48.0674169, -2.9710169 48.0674024, -2.9707435 48.0673595)",,,,,,
83058547,Rue du Caire,residential,False,False,467.797,"LINESTRING (-2.9649227 48.0606735, -2.9649495 48.0607782, -2.9646794 48.0615869, -2.9642747 48.0626923, -2.9640921 48.063202, -2.9640812 48.0632325, -2.9637236 48.0642307, -2.9635382 48.0647689)",,,,,,
83058555,,residential,True,False,27.151999999999997,"LINESTRING (-2.9649227 48.0606735, -2.9649633 48.0606735, -2.9650016 48.0606646, -2.9650332 48.0606476, -2.9650546 48.0606245, -2.9650633 48.060598, -2.9650582 48.0605711, -2.9650401 48.0605468, -2.9650109 48.060528, -2.9649739 48.0605167)",,roundabout,,,,
388791937,Rue Julien Guidard,secondary,False,True,24.767,"LINESTRING (-2.9704221 48.0673005, -2.9707435 48.0673595)",,,,,,
