osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,width,bridge,access
"[801865584, 450352202, 1000029703]",2,Chemin des Gourettes,tertiary,30,False,True,168.92800000000003,"LINESTRING (6.9754539 43.6165066, 6.9754446 43.616645, 6.975389 43.6173484, 6.9753758 43.6175263, 6.9753807 43.6175697, 6.9754036 43.6176162, 6.9754375 43.6176569, 6.9754728 43.6176868, 6.9755174 43.617715, 6.9755838 43.6177432, 6.9757781 43.6177915, 6.975852 43.6178379)",,,,,
21405677,,Route de la Roquette,secondary,50,True,False,23.417,"LINESTRING (6.9727125 43.6159776, 6.972792 43.6160487, 6.9728894 43.6161447)",D 409,,,,
579299091,,,secondary,,True,False,9.238999999999999,"LINESTRING (6.9727125 43.6159776, 6.9727113 43.6159936, 6.9727059 43.6160065, 6.9726931 43.6160217, 6.9726734 43.6160345, 6.9726526 43.6160415)",,roundabout,,,
579299093,,,secondary,,True,False,7.821,"LINESTRING (6.9726526 43.6160415, 6.9726299 43.6160443, 6.9726088 43.6160429, 6.9725924 43.6160391, 6.972578 43.6160356, 6.9725627 43.6160257)",,roundabout,,,
4688801,,,secondary,,True,False,6.391,"LINESTRING (6.9725427 43.6159705, 6.9725474 43.615959, 6.9725576 43.6159457, 6.9725728 43.6159341, 6.9725894 43.6159264)",,roundabout,,,
6143910,,Allée Monsart,residential,,False,True,34.696000000000005,"LINESTRING (6.972453 43.6182132, 6.9725813 43.6182596, 6.9727142 43.6183105, 6.9728003 43.6183409, 6.9728376 43.618354)",,,,,
579291174,,,primary,,True,False,5.896,"LINESTRING (6.972453 43.6182132, 6.9724429 43.6182216, 6.9724321 43.6182277, 6.9724145 43.6182337, 6.9723901 43.6182365)",,roundabout,,,
26337038,,Avenue du Parc,residential,30,False,False,132.372,"LINESTRING (6.9723274 43.6181504, 6.9722659 43.6181333, 6.9722431 43.6181245, 6.9721703 43.6180833, 6.9721186 43.6180339, 6.9719476 43.6178026, 6.9718053 43.6176147, 6.9714623 43.6171595)",,,,,
455844826,,,primary,,True,False,4.475,"LINESTRING (6.9723274 43.6181504, 6.9723372 43.6181418, 6.9723502 43.6181344, 6.9723609 43.6181304, 6.9723719 43.6181277)",,roundabout,,,
6143909,,Traverse des Magnans,residential,30,True,False,59.150999999999996,"LINESTRING (6.9714623 43.6171595, 6.9714176 43.6171782, 6.9713245 43.6172174, 6.9709291 43.6173789, 6.9708672 43.6174035, 6.9708226 43.6174212)",,,,,
26337038,,Avenue du Parc,residential,30,False,True,132.372,"LINESTRING (6.9714623 43.6171595, 6.9718053 43.6176147, 6.9719476 43.6178026, 6.9721186 43.6180339, 6.9721703 43.6180833, 6.9722431 43.6181245, 6.9722659 43.6181333, 6.9723274 43.6181504)",,,,,
775219262,,Avenue du Parc,residential,30,False,True,14.356,"LINESTRING (6.9714623 43.6171595, 6.9714097 43.6170833, 6.9713826 43.617044)",,,,,
"[6143907, 6143908]",,"['Rue des Magnans', 'Allée des Magnans']",residential,30,False,"[False, True]",141.746,"LINESTRING (6.9708226 43.6174212, 6.9708966 43.6175225, 6.9710126 43.617678, 6.9710428 43.617717, 6.9709445 43.6177895, 6.9706622 43.6179974, 6.9706153 43.6180295, 6.9702331 43.618317, 6.970206 43.6183375, 6.9701654 43.6183682, 6.9701267 43.6183756)",,,,,
6143908,,Rue des Magnans,residential,30,False,True,46.69200000000001,"LINESTRING (6.9708226 43.6174212, 6.9707931 43.6173791, 6.9705964 43.6171207, 6.9705419 43.6170538)",,,,,
8560318,,Chemin des Calades,residential,30,False,False,24.858,"LINESTRING (6.9696025 43.6180197, 6.9693966 43.6181863)",,,,,
50177998,,Route de Pégomas,residential,30,True,False,70.35099999999998,"LINESTRING (6.9696025 43.6180197, 6.96901 43.6176031, 6.9689893 43.6175885, 6.9689756 43.6175789)",D 209,,,,
31529894,,Avenue des Sources,residential,30,False,True,143.008,"LINESTRING (6.9747852 43.6213213, 6.9748599 43.6213366, 6.9749202 43.621352, 6.9751019 43.6213994, 6.975591 43.6215008, 6.9756215 43.6215062, 6.9759172 43.6215589, 6.9762796 43.6216234, 6.9764991 43.6216558)",,,6,,
547138483,1,,tertiary,30,True,False,24.959,"LINESTRING (6.9747852 43.6213213, 6.9747396 43.6213325, 6.9747075 43.6213366, 6.9746607 43.6213402, 6.9746341 43.6213454, 6.9746101 43.6213517, 6.9745889 43.6213598, 6.9745533 43.6213735, 6.9745009 43.6214012)",,,,,
6146158,,Chemin des Gourettes,tertiary,,True,False,18.191,"LINESTRING (6.9749238 43.6211979, 6.974874 43.6212708, 6.9748545 43.6212859, 6.9748237 43.6213047, 6.9747852 43.6213213)",,,,,
"[46872138, 177331579]",2,Chemin des Gourettes,tertiary,30,False,False,221.538,"LINESTRING (6.9749238 43.6211979, 6.9752631 43.6208093, 6.9753424 43.6207207, 6.9754293 43.6206239, 6.975602 43.6204258, 6.975696 43.6203169, 6.9757634 43.6202113, 6.97578 43.6201264, 6.9757857 43.6200164, 6.9757935 43.6198233, 6.9757971 43.6195907, 6.9758028 43.6194857, 6.9758362 43.6193826)",,,,,
210610340,2,Route de la Roquette,secondary,50,False,True,34.599,"LINESTRING (6.9732183 43.616345, 6.9728894 43.6161447)",D 409,,,,
47059368,,Route de la Roquette,secondary,50,True,False,29.256999999999998,"LINESTRING (6.9732183 43.616345, 6.9734108 43.6164061, 6.9735067 43.6164236, 6.9735599 43.6164316)",D 409,,,,
21410508,,Avenue de la Grand'Pièce,residential,30,True,False,76.27900000000001,"LINESTRING (6.9683296 43.6161234, 6.9683637 43.6161559, 6.9684804 43.6162672, 6.9688366 43.6166243, 6.9688386 43.6166263, 6.9688561 43.6166438, 6.9688885 43.6166773)",,,,,
21411143,,Traversée de l'Orée du Bois,residential,30,False,True,57.293000000000006,"LINESTRING (6.9683296 43.6161234, 6.9682583 43.6161715, 6.9681772 43.6162263, 6.9680668 43.6163008, 6.9678626 43.6164377, 6.9678112 43.6164763)",,,,,
