osmid,oneway,lanes,name,highway,maxspeed,reversed,length,bridge,geometry,ref,junction,width,access
"[440720768, 112264049, 319229450, 615259605]",True,2,Boulevard Gambetta,primary,50,False,165.591,yes,"LINESTRING (6.2302148 44.0895775, 6.230495 44.0899475, 6.2306077 44.0900963, 6.2306461 44.090147, 6.2308228 44.0903803, 6.2310041 44.0906086, 6.2310388 44.0906564, 6.2311163 44.0907543, 6.2311958 44.0908357, 6.2312383 44.0908708)",,,,
26998755,True,1,Boulevard Thiers,tertiary,50,False,31.659,,"LINESTRING (6.2314453 44.0909085, 6.231548 44.0909237, 6.2316614 44.0909323, 6.2317602 44.0909294, 6.2318388 44.0909274)",D 19,,,
490160823,True,,Rond-Point du 11 Novembre 1918,primary,50,False,13.223,,"LINESTRING (6.2314453 44.0909085, 6.2314781 44.0909404, 6.2314977 44.0909774, 6.2315028 44.0910169)",,roundabout,,
153085593,True,,Rond-Point du 11 Novembre 1918,primary,50,False,17.916,,"LINESTRING (6.2312383 44.0908708, 6.2312824 44.0908646, 6.2313272 44.0908655, 6.2313707 44.0908734, 6.2314107 44.090888, 6.2314453 44.0909085)",,roundabout,,
586018275,True,,Rond-Point du 11 Novembre 1918,primary,50,False,1.303,,"LINESTRING (6.2313415 44.0911538, 6.2313254 44.0911557)",,roundabout,,
31664901,True,,Avenue du 8 Mai 1945,tertiary,,False,16.297,,"LINESTRING (6.237211 44.0900686, 6.2371717 44.0900844, 6.2370921 44.0901096, 6.2370364 44.0901424)",,,,
35275247,False,2,Avenue du 8 Mai 1945,tertiary,50,False,127.52000000000001,,"LINESTRING (6.237211 44.0900686, 6.2372522 44.0900602, 6.2381136 44.0898851, 6.2381986 44.0898673, 6.2382804 44.0898501, 6.2384462 44.0898161, 6.2387466 44.0897544)",D 19,,,
26998762,True,2,Rue du Docteur Honnorat,primary,30,False,111.562,,"LINESTRING (6.2335041 44.0925217, 6.2333708 44.0925069, 6.2333039 44.0925026, 6.232672 44.0924444, 6.2326463 44.0924402, 6.2321281 44.0923555)",D 900,,,
31663791,True,,Rue du Père-Raoul-Hugues,unclassified,50,False,68.55,,"LINESTRING (6.2335041 44.0925217, 6.233482 44.0925627, 6.2334791 44.092573, 6.233419 44.092787, 6.2333315 44.0930959, 6.2333236 44.0931238)",,,,
"[570258058, 600096676]",True,1,"['Avenue Charles Fruchier', 'Place des Cordeliers']",primary,30,False,87.079,,"LINESTRING (6.2381319 44.0942264, 6.2380876 44.0942199, 6.2379606 44.0942011, 6.2374631 44.0940563, 6.2372332 44.0939861, 6.2371192 44.0939429)",D 900,,,
600096677,True,,Avenue Paul Martin,unclassified,,False,213.77599999999998,,"LINESTRING (6.2381319 44.0942264, 6.2381009 44.0943214, 6.2380903 44.0943552, 6.2380492 44.0944845, 6.2379545 44.0948126, 6.2379025 44.0948986, 6.2377968 44.0950367, 6.237735 44.0950881, 6.2376526 44.0951476, 6.2375098 44.0952506, 6.2372785 44.0954085, 6.2372236 44.095446, 6.236881 44.0956664, 6.2367667 44.0958039)",,,3,
