osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,lanes,access
398315110,secondary,50,roundabout,True,False,12.865,"LINESTRING (2.2303789 48.9830552, 2.2304184 48.9830656, 2.2304485 48.9830773, 2.2304814 48.9831022, 2.2305021 48.983131)",,,,
"[973144040, 970540864, 28915532]",secondary,50,,True,False,146.82799999999997,"LINESTRING (2.2303789 48.9830552, 2.2304385 48.9830392, 2.2304774 48.9830252, 2.2305099 48.9830113, 2.2305827 48.9829746, 2.2306568 48.9829342, 2.2307738 48.9828606, 2.2308772 48.9827819, 2.2309768 48.9827141, 2.2312158 48.9825587, 2.2318479 48.9821607)",D 14,Rue de Paris,2,
32849449,residential,,,False,False,15.780999999999999,"LINESTRING (2.2371615 48.984165, 2.2370374 48.9841656, 2.2369999 48.9841567, 2.2369507 48.9841451)",,Rue des Fossés Trempés,,
"[908619068, 32770247]",residential,50,,False,False,149.591,"LINESTRING (2.2351094 48.9851345, 2.235122 48.9851675, 2.2352599 48.9855941, 2.2354817 48.9857448, 2.2355309 48.9857601, 2.2358814 48.9856945, 2.2361937 48.9856385, 2.2363253 48.9856149, 2.2363724 48.985597, 2.2364158 48.9855781, 2.2364398 48.9855677)",,Rue du Moulin,,
"[984156217, 984156378, 42409419]",residential,50,,True,False,171.936,"LINESTRING (2.2351094 48.9851345, 2.2350473 48.985143, 2.2345732 48.9852053, 2.2338126 48.9853053, 2.2328717 48.9854289, 2.2328343 48.9854384, 2.2328027 48.9854464)",,Boulevard de l'Hôtel de Ville,,
32827348,residential,50,,False,False,117.967,"LINESTRING (2.2307601 48.9859534, 2.2307894 48.9859851, 2.2309473 48.986156, 2.2315638 48.9868234, 2.2315982 48.9868606)",D 139,Rue de la Station,2,
32827348,residential,50,,False,True,126.386,"LINESTRING (2.2307601 48.9859534, 2.2307259 48.985918, 2.2307113 48.9859029, 2.2306986 48.9858897, 2.2304914 48.9856752, 2.2304047 48.9855854, 2.2301458 48.9853174, 2.2300653 48.9852457, 2.229947 48.9851404, 2.229799 48.9850086)",D 139,Rue de la Station,2,
"[984156896, 690679221]",residential,50,,False,True,159.359,"LINESTRING (2.2307601 48.9859534, 2.2308233 48.9859379, 2.2308453 48.9859325, 2.2312018 48.9858449, 2.2317156 48.9857187, 2.2320121 48.9856459, 2.2321896 48.9856023, 2.2323305 48.9855665, 2.2325752 48.9855043, 2.2327874 48.9854503, 2.2328027 48.9854464)",,Boulevard de l'Hôtel de Ville,2,
75929806,tertiary,30,,True,False,30.865000000000002,"LINESTRING (2.2306572 48.983415, 2.2305431 48.9834019, 2.2304841 48.9833909, 2.2304365 48.9833706, 2.2304059 48.9833477, 2.2303632 48.9833078, 2.230324 48.9832711)",D 140,Rue d'Ermont,,
964013090,tertiary,30,,False,False,64.77099999999999,"LINESTRING (2.2306572 48.983415, 2.2307121 48.983423, 2.2308127 48.9834359, 2.2313854 48.9834989, 2.2315311 48.9835165)",D 140,Rue d'Ermont,2,
964013088,tertiary,30,,False,False,19.984,"LINESTRING (2.232606 48.9837114, 2.2328598 48.9837789)",D 140,Rue d'Ermont,2,
964013089,tertiary,30,,True,False,51.397000000000006,"LINESTRING (2.232606 48.9837114, 2.2325064 48.9836998, 2.2324287 48.9836879, 2.2323462 48.9836716, 2.2322793 48.9836557, 2.2322168 48.9836408, 2.2321488 48.9836218, 2.2320411 48.9835902, 2.2319412 48.9835638)",D 140,Rue d'Ermont,2,
508737171,residential,,,False,False,50.134,"LINESTRING (2.2264764 48.9897157, 2.2268063 48.9901112)",,Rue des Javeleurs,,
33290307,residential,,,False,False,62.52,"LINESTRING (2.2264764 48.9897157, 2.2271913 48.9894613, 2.2272284 48.9894463)",,Rue Louis Sébillon,,
32732418,residential,50,,False,False,68.302,"LINESTRING (2.2297177 48.9877907, 2.2296598 48.9878163, 2.2296382 48.9878259, 2.228958 48.9881495)",,Boulevard Toussaint Lucas,1,
122461965,residential,30,,True,False,162.681,"LINESTRING (2.2297177 48.9877907, 2.2298259 48.9877548, 2.2305786 48.9875045, 2.231673 48.9871405, 2.2317064 48.9871294)",,Boulevard Toussaint Lucas,1,
