osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref
31409305,Rond-Point du 19 Mars 1962,tertiary,50,roundabout,True,False,9.113999999999999,"LINESTRING (2.5097855 49.0457228, 2.5097544 49.0457249, 2.5097236 49.0457215, 2.5096953 49.0457127, 2.5096717 49.0456993)",,
50003737,Rue de Paris,residential,,,False,False,104.229,"LINESTRING (2.5097855 49.0457228, 2.509921 49.045905, 2.5101592 49.0461953, 2.5104277 49.0465601)",,
31409305,Rond-Point du 19 Mars 1962,tertiary,50,roundabout,True,False,14.431,"LINESTRING (2.5098638 49.0456202, 2.5098728 49.0456455, 2.5098681 49.0456713, 2.5098504 49.0456945, 2.5098218 49.0457124, 2.5097855 49.0457228)",,
31409310,,tertiary,50,,False,False,60.16400000000001,"LINESTRING (2.5098638 49.0456202, 2.5100383 49.0456291, 2.5102887 49.0456971, 2.5104341 49.0457323, 2.5106413 49.0457888)",2,D 165E
1265519757,,tertiary,50,,False,True,13.123,"LINESTRING (2.5108039 49.0458395, 2.5106413 49.0457888)",2,D 165E
31409345,,tertiary,50,,True,False,27.055,"LINESTRING (2.5108039 49.0458395, 2.5109371 49.0458407, 2.5110556 49.0458269, 2.5111674 49.0458029)",1,D 165E
31409374,,primary,50,roundabout,True,False,22.857,"LINESTRING (2.5112272 49.0459977, 2.5111756 49.0459381, 2.511155 49.0458709, 2.5111674 49.0458029)",2,
38028260,,tertiary,50,,True,False,35.514,"LINESTRING (2.5112272 49.0459977, 2.5109417 49.0458914, 2.5108039 49.0458395)",1,D 165E
597120972,Rue du Docteur Paul Bruel,residential,,,False,True,32.715,"LINESTRING (2.5061622 49.0481909, 2.506166 49.0478967)",,
1265737254,Rue Pasteur,residential,,,False,False,18.982,"LINESTRING (2.5061622 49.0481909, 2.5061591 49.0483616)",,
31409309,Avenue du Général Leclerc,tertiary,50,,False,False,31.93,"LINESTRING (2.5061622 49.0481909, 2.5063141 49.0480875, 2.506466 49.047984)",,
31409305,Rond-Point du 19 Mars 1962,tertiary,50,roundabout,True,False,14.644,"LINESTRING (2.5096944 49.0455871, 2.5097247 49.0455777, 2.5097578 49.0455745, 2.509791 49.0455776, 2.5098213 49.0455869, 2.5098463 49.0456015, 2.5098638 49.0456202)",,
50002768,Rue de Paris,residential,,,False,False,279.62199999999996,"LINESTRING (2.5096944 49.0455871, 2.5096002 49.0454805, 2.5094936 49.0453399, 2.5093844 49.0451958, 2.509305 49.0450911, 2.5091211 49.0448484, 2.5090103 49.0447023, 2.5088712 49.0445221, 2.5084948 49.0440209, 2.5084575 49.0439569, 2.5083519 49.0437759, 2.5080796 49.0433092)",,
31409357,,primary,50,,True,False,218.58300000000003,"LINESTRING (2.5112347 49.0457208, 2.5112448 49.0456738, 2.5112551 49.0456001, 2.5112511 49.0455268, 2.511246 49.045488, 2.5112206 49.0453013, 2.5108924 49.0437718)",1,D 317
