osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,access,junction,tunnel
"[782469273, 4764035]",True,"['1', '2']",Boulevard de la Liberté,primary,30,False,106.426,"LINESTRING (-1.6842909 48.1085689, -1.6842291 48.1085553, -1.6841976 48.1085468, -1.684152 48.108534, -1.6841161 48.1085227, -1.683888 48.108457, -1.683124 48.1082296, -1.6829799 48.1081827)",,,,
4867687,True,2,,primary,30,False,10.475999999999999,"LINESTRING (-1.6842909 48.1085689, -1.6842292 48.1086174, -1.6842016 48.1086418)",,,,
10275134,False,,Boulevard de la Liberté,residential,,True,5.579,"LINESTRING (-1.6819966 48.1078941, -1.6819711 48.1079413)",,,,
461100019,True,1,Boulevard de la Liberté,primary,30,False,136.74,"LINESTRING (-1.6819966 48.1078941, -1.6818426 48.1078502, -1.681816 48.1078427, -1.680508 48.1074363, -1.6804743 48.107425, -1.6803117 48.1074065)",,,,
1167543234,True,2,Boulevard de la Liberté,primary,30,False,8.858,"LINESTRING (-1.6777848 48.1073899, -1.6776655 48.1073906)",,,,
5020892,False,,Boulevard Magenta,secondary,30,False,8.757,"LINESTRING (-1.6745317 48.1074416, -1.6745443 48.1075199)",,,,
"[1032960548, 5020886]",False,2,Boulevard Magenta,secondary,30,False,63.3,"LINESTRING (-1.6745317 48.1074416, -1.6745219 48.1073895, -1.6744971 48.1072833, -1.6744906 48.1072699, -1.6744781 48.1072284, -1.6743736 48.1069283, -1.6743585 48.1068847)",,,,
"[1167543232, 42872855]",True,2,Boulevard de la Liberté,primary,30,False,79.235,"LINESTRING (-1.6745317 48.1074416, -1.6743433 48.1074416, -1.673724 48.1074475, -1.6736566 48.107448, -1.6735981 48.1074489, -1.6734647 48.1074516)",,,,
494889099,True,3,Avenue Jean Janvier,primary,30,False,38.008,"LINESTRING (-1.6733484 48.1074561, -1.673371 48.1075349, -1.6734262 48.1077428, -1.6734415 48.1077922)",,,,
26718453,True,,Avenue Jean Janvier,primary,30,False,9.072,"LINESTRING (-1.6734755 48.1079187, -1.6735951 48.1079354)",,,,
342866667,True,1,Avenue Jean Janvier,primary,30,False,62.746,"LINESTRING (-1.6734755 48.1079187, -1.6735161 48.1080325, -1.6735363 48.1081108, -1.6736094 48.1083581, -1.6736715 48.1084662)",,,,
"[956480666, 23801022]",True,,Rue Victor Hugo,residential,30,False,125.577,"LINESTRING (-1.6751712 48.1124149, -1.675099 48.1124147, -1.6750446 48.1124157, -1.6750034 48.1124164, -1.6737341 48.1124209, -1.6734798 48.1124192)",,,,
4900645,True,2,Rue Gambetta,residential,,False,53.087,"LINESTRING (-1.6751007 48.1119433, -1.6751065 48.1119693, -1.6751091 48.1120035, -1.6751361 48.1123488, -1.6751402 48.1123712, -1.6751503 48.1123905, -1.6751712 48.1124149)",,,,
"[730913448, 730913447]",False,2,Rue Gambetta,residential,30,True,69.285,"LINESTRING (-1.6751007 48.1119433, -1.6750875 48.1119111, -1.6750342 48.1118242, -1.6749182 48.1116352, -1.6747527 48.1113654)",,,,
"[480924960, 480924954, 5109244]",True,1,Pont Pasteur,primary,,False,36.347,"LINESTRING (-1.6741931 48.1102018, -1.6741862 48.1101864, -1.6741737 48.1101583, -1.6741082 48.1099249, -1.6741065 48.1099189, -1.6740962 48.1098816)",yes,,,
"[23162203, 49298853]",True,1,Quai Chateaubriand,living_street,20,False,270.19399999999996,"LINESTRING (-1.6741931 48.1102018, -1.6742974 48.1101996, -1.6744332 48.1101986, -1.676008 48.110187, -1.6763189 48.110183, -1.6764833 48.1101839, -1.6765835 48.1101842, -1.6777354 48.1101815, -1.6777839 48.1101811, -1.6778321 48.1101814)",,,,
5020892,False,,Boulevard Magenta,secondary,30,True,8.757,"LINESTRING (-1.6745443 48.1075199, -1.6745317 48.1074416)",,,,
1006954323,True,2,Boulevard de la Liberté,primary,30,False,65.013,"LINESTRING (-1.6745443 48.1075199, -1.6746746 48.1075199, -1.6750891 48.1075169, -1.6754198 48.1075121)",,,,
5020890,False,,Boulevard de la Liberté,residential,,False,7.307,"LINESTRING (-1.6802751 48.1074675, -1.6803117 48.1074065)",,,,
25323943,False,2,Rue de Nemours,living_street,20,False,80.00699999999999,"LINESTRING (-1.6802751 48.1074675, -1.680235 48.1075391, -1.6802038 48.1076443, -1.6801285 48.1078985, -1.6801219 48.1079502, -1.6801233 48.1081007, -1.6801261 48.108175)",,yes,,
142193379,True,1,Boulevard de la Liberté,primary,30,False,136.805,"LINESTRING (-1.6802751 48.1074675, -1.6804262 48.1074861, -1.6804333 48.107487, -1.6813013 48.1077453, -1.6813899 48.1077701, -1.6817268 48.1078696, -1.6817816 48.1078867, -1.6818116 48.1078947, -1.6819711 48.1079413)",,,,
23088201,True,3,Quai d'Ille et Rance,primary,30,False,117.22999999999999,"LINESTRING (-1.6867066 48.1111814, -1.6863247 48.1104029, -1.6862762 48.1103017, -1.6862584 48.1102604, -1.6862245 48.1101776)",,,,
"[268560594, 26602869]",True,2,Pont de la Mission,primary,30,False,131.301,"LINESTRING (-1.6862245 48.1101776, -1.6849721 48.110191, -1.6848902 48.1101853, -1.6848094 48.1101672, -1.6847268 48.1101303, -1.6846353 48.1100798, -1.6845832 48.1100451, -1.684559 48.1100109)",,,,
5097977,True,,Rue du Guesclin,living_street,20,False,81.549,"LINESTRING (-1.68136 48.1117809, -1.6811883 48.1117777, -1.6810509 48.1117752, -1.6803562 48.1117623, -1.6803329 48.1117619, -1.680262 48.1117606)",,,,
5097968,True,,Rue Hoche,living_street,20,False,58.762,"LINESTRING (-1.6773061 48.1136602, -1.677318 48.1131318)",,,,
8059466,False,,Rue de Bertrand,living_street,20,False,21.97,"LINESTRING (-1.6773061 48.1136602, -1.6776008 48.1136782)",,,,
5097969,False,,Rue des Fossés,living_street,20,True,166.03199999999998,"LINESTRING (-1.6773061 48.1136602, -1.6766589 48.1136196, -1.675413 48.1135414, -1.6752218 48.1135249, -1.6751703 48.1135235, -1.6750802 48.11353)",,,,
