osmid,name,highway,oneway,reversed,length,ref,lanes,maxspeed,geometry,junction,tunnel,width,bridge,access
105180721,Rue Beaujardin,residential,False,True,139.355,,,,"LINESTRING (0.1596488 44.503421, 0.1580219 44.5038946)",,,,,
329539846,Avenue du Général Leclerc,primary,False,False,74.624,D 708,,,"LINESTRING (0.1596488 44.503421, 0.1595232 44.5027559)",,,,,
329539846,Avenue du Général Leclerc,primary,False,True,20.266,D 708,,,"LINESTRING (0.1596488 44.503421, 0.1596735 44.5036024)",,,,,
474762227,Avenue Paul Gabarra,primary,False,False,13.018,D 933E1,3,50,"LINESTRING (0.1585806 44.5010845, 0.1584654 44.5010011)",,,,,
27311898,Boulevard Meyniel,primary,True,False,47.129000000000005,D 933E1,3,,"LINESTRING (0.1585806 44.5010845, 0.1587903 44.501219, 0.1588206 44.5012368, 0.1589948 44.5013867)",,,,,
474762227,Avenue Paul Gabarra,primary,False,True,13.018,D 933E1,3,50,"LINESTRING (0.1584654 44.5010011, 0.1585806 44.5010845)",,,,,
30648937,Allée Albert Cambon,residential,True,False,28.907,,,30,"LINESTRING (0.1584654 44.5010011, 0.1585467 44.5009371, 0.1585859 44.500888, 0.1586121 44.5008552, 0.158654 44.5007817)",,,,,
26373833,,primary,False,True,7.773,,4,,"LINESTRING (0.1588982 44.5013985, 0.1589948 44.5013867)",,,,,
474762230,Avenue Paul Gabarra,primary,True,False,43.587,D 933E1,2,,"LINESTRING (0.1588982 44.5013985, 0.1587419 44.501293, 0.1586164 44.5011203, 0.1585806 44.5010845)",,,,,
474762231,Avenue Jean Jaurès,primary,False,False,66.858,D 813,4,,"LINESTRING (0.1588982 44.5013985, 0.1587021 44.5014894, 0.1586537 44.5015092, 0.1581867 44.5017209)",,,,,
150909963,Rue Charles de Gaulle,secondary,True,False,8.564,D 933,,,"LINESTRING (0.1687797 44.5009815, 0.168682 44.5009487)",,,,,
