osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry,junction
"[72546133, 72546126, 72546127]",RT1,Route Territoriale 1,primary,50,False,False,201.846,yes,2,"LINESTRING (166.0464409 -21.8617278, 166.0465986 -21.8617528, 166.0470697 -21.8618258, 166.0473768 -21.8618777, 166.0476992 -21.8619289, 166.0480057 -21.8619795, 166.0483688 -21.8620336)",
575641527,,,residential,,True,False,14.544,,,"LINESTRING (166.050727 -21.8637254, 166.0506665 -21.8636885, 166.0506431 -21.8636687, 166.0506237 -21.8636396)",
575641540,,,residential,50,False,True,86.686,,,"LINESTRING (166.050727 -21.8637254, 166.0510965 -21.863888, 166.0514858 -21.8640598)",
72546127,RT1,Route Territoriale 1,primary,50,False,False,26.004,,2,"LINESTRING (166.0482261 -21.8652323, 166.0481605 -21.8654581)",
72546127,RT1,Route Territoriale 1,primary,50,False,True,263.037,,2,"LINESTRING (166.0482261 -21.8652323, 166.0485016 -21.8646884, 166.0491168 -21.863484, 166.0492132 -21.86329, 166.0492902 -21.863084)",
180863840,,,residential,50,False,False,253.842,,,"LINESTRING (166.0482261 -21.8652323, 166.0480607 -21.8654677, 166.0479276 -21.8656571, 166.047816 -21.8658778, 166.0477589 -21.8660293, 166.0476975 -21.8662113, 166.0477404 -21.8664304, 166.0478095 -21.8666637, 166.0478513 -21.8668045, 166.047887 -21.8669383, 166.0478837 -21.8670794, 166.04786 -21.8671923, 166.0477789 -21.8672457, 166.047691 -21.8672645)",
72546109,,,residential,50,False,False,126.491,,,"LINESTRING (166.0509805 -21.8650962, 166.0514858 -21.8640598)",
72546109,,,residential,50,False,False,193.727,,,"LINESTRING (166.0514858 -21.8640598, 166.0522924 -21.8624866)",
72546109,,,residential,50,False,True,126.491,,,"LINESTRING (166.0514858 -21.8640598, 166.0509805 -21.8650962)",
575641540,,,residential,50,False,False,86.686,,,"LINESTRING (166.0514858 -21.8640598, 166.0510965 -21.863888, 166.050727 -21.8637254)",
72546109,,,residential,50,False,True,193.727,,,"LINESTRING (166.0522924 -21.8624866, 166.0514858 -21.8640598)",
575644449,,,residential,50,False,False,66.893,,,"LINESTRING (166.0522924 -21.8624866, 166.0528749 -21.8627505)",
575644449,,,residential,50,False,True,42.518,,,"LINESTRING (166.0522924 -21.8624866, 166.0519214 -21.8623203)",
