osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,width,access
722316043,Rond-Point de la Poste,primary,roundabout,True,False,8.169,"LINESTRING (5.9175244 45.5705975, 5.917525 45.5705677, 5.9175358 45.5705388, 5.9175431 45.570526)",,,,,,
"[487220458, 21837484]",Avenue du Maréchal Leclerc,secondary,,False,False,71.481,"LINESTRING (5.9175431 45.570526, 5.9175047 45.570521, 5.9174522 45.5705053, 5.9174112 45.5704927, 5.9166942 45.5702824)",2,50,,,,
722026315,Rond-Point de la Poste,primary,roundabout,True,False,22.773000000000003,"LINESTRING (5.9175431 45.570526, 5.9175888 45.5704796, 5.917654 45.5704455, 5.9177159 45.5704308, 5.9177811 45.5704283)",,,,,,
"[579317312, 8455042, 39594716]",Quai du Jeu de Paume,primary,,True,False,268.163,"LINESTRING (5.9177811 45.5704283, 5.9177916 45.5703537, 5.9178308 45.5702939, 5.917956 45.5701531, 5.9179733 45.570086, 5.9180609 45.5699833, 5.9180795 45.5699616, 5.9185257 45.569473, 5.9187029 45.5692931, 5.918935 45.5690727, 5.9190225 45.5689865, 5.9191865 45.5688367, 5.9192042 45.5688258, 5.9192512 45.5688062, 5.9196015 45.5686708, 5.9198311 45.568569)",2,50,,,,
722026316,Rond-Point de la Poste,primary,roundabout,True,False,19.158,"LINESTRING (5.9177811 45.5704283, 5.9178396 45.570437, 5.9178933 45.5704555, 5.9179409 45.5704846, 5.9179761 45.5705214)",,,,,,
722316042,Rond-Point de la Poste,primary,roundabout,True,False,12.441,"LINESTRING (5.9179761 45.5705214, 5.9179989 45.570575, 5.9179952 45.5706309)",,,,,,
722316044,Rond-Point de la Poste,primary,roundabout,True,False,8.84,"LINESTRING (5.9179435 45.5707041, 5.9178798 45.570741, 5.9178528 45.5707515)",,,,,,
260515335,Rond-Point de la Poste,primary,roundabout,True,False,36.229,"LINESTRING (5.9178528 45.5707515, 5.9177998 45.5707608, 5.9177461 45.5707627, 5.9176729 45.5707514, 5.9176384 45.5707393, 5.917602 45.5707206, 5.9175713 45.5706975, 5.9175474 45.5706709, 5.9175286 45.5706352, 5.9175244 45.5705975)",,,,,,
319300810,Rue Jean-Pierre Veyrat,tertiary,,False,True,46.266,"LINESTRING (5.9172967 45.5656417, 5.9175518 45.5660175)",2,30,,,,
"[733828634, 8455051, 733824314]",Faubourg Maché,tertiary,,False,False,113.795,"LINESTRING (5.9172967 45.5656417, 5.9172766 45.5656204, 5.91724 45.5655792, 5.9171535 45.5655117, 5.9170766 45.565476, 5.9169966 45.5654566, 5.9169142 45.5654359, 5.9164205 45.5654147, 5.9162245 45.5654085, 5.9161725 45.5654068, 5.9159534 45.5654086)",2,30,,,,
143404501,Faubourg Maché,secondary,,False,False,70.207,"LINESTRING (5.9155563 45.5653233, 5.9153862 45.5652383, 5.9149186 45.564965, 5.9148856 45.5649471, 5.9148524 45.5649291)",3,50,,,,
444160080,Faubourg Maché,secondary,,False,True,20.184,"LINESTRING (5.9155563 45.5653233, 5.9156477 45.5653528, 5.915739 45.5653822, 5.9157937 45.565396)",3,50,,,,
216241783,Boulevard de Lémenc,secondary,,False,False,95.97099999999999,"LINESTRING (5.9243619 45.5701124, 5.924384 45.5699667, 5.9243973 45.5698335, 5.9244246 45.5697496, 5.9244745 45.5696576, 5.9245351 45.5695759, 5.9246546 45.569455, 5.9247638 45.569315)",2,50,D 991,,,
216241783,Boulevard de Lémenc,secondary,,False,True,38.992,"LINESTRING (5.9243619 45.5701124, 5.9243654 45.5701308, 5.9243473 45.5701906, 5.9243202 45.5702408, 5.9242784 45.5702805, 5.924235 45.5703203, 5.9241857 45.5703506, 5.9241228 45.5703777, 5.9240961 45.5703856)",2,50,D 991,,,
"[51176763, 1221801758]",Avenue des Ducs de Savoie,primary,,True,False,76.953,"LINESTRING (5.9243641 45.5675369, 5.9243016 45.5675326, 5.924241 45.5675312, 5.9241532 45.5675298, 5.9240025 45.5675324, 5.9238701 45.5675444, 5.9237756 45.56756, 5.9237394 45.567566, 5.9236037 45.5675939, 5.9234132 45.5676671)",3,,,,,
15259565,Rue Sommeiller,unclassified,,True,False,7.354,"LINESTRING (5.921393 45.568507, 5.9213484 45.5685653)",1,30,,,,
651722454,Rue Frezier,primary,,True,False,9.796,"LINESTRING (5.921393 45.568507, 5.9212689 45.5685216)",,50,,,,
1141360121,Faubourg Reclus,secondary,,True,False,18.735,"LINESTRING (5.921393 45.568507, 5.9214941 45.5686599)",1,30,,,,
"[21882291, 41736885]","['Rue de la Banque', ""Place d'Italie""]",tertiary,,False,False,166.737,"LINESTRING (5.9257901 45.5650189, 5.9258019 45.5651094, 5.9258131 45.5651883, 5.9258351 45.5653796, 5.9258446 45.5654544, 5.9258942 45.5657906, 5.9258974 45.5658239, 5.9258967 45.5658584, 5.9258903 45.5658871, 5.9258733 45.5659133, 5.925812 45.5659633, 5.9257548 45.5660164, 5.9257439 45.5660409, 5.9257383 45.5660608, 5.9257364 45.5660854, 5.9257241 45.5663173, 5.9257208 45.5663457, 5.9257159 45.5663679, 5.9257027 45.5663972, 5.9256833 45.5664244, 5.9256488 45.5664699)",2,30,,,,
41736885,Place d'Italie,tertiary,,False,False,44.681,"LINESTRING (5.9256488 45.5664699, 5.9254864 45.566637, 5.9254184 45.5667114, 5.9253835 45.5667377, 5.9253212 45.5667629, 5.9252962 45.5667809)",2,30,,,,
"[21882291, 41736885]","['Rue de la Banque', ""Place d'Italie""]",tertiary,,False,True,166.737,"LINESTRING (5.9256488 45.5664699, 5.9256833 45.5664244, 5.9257027 45.5663972, 5.9257159 45.5663679, 5.9257208 45.5663457, 5.9257241 45.5663173, 5.9257364 45.5660854, 5.9257383 45.5660608, 5.9257439 45.5660409, 5.9257548 45.5660164, 5.925812 45.5659633, 5.9258733 45.5659133, 5.9258903 45.5658871, 5.9258967 45.5658584, 5.9258974 45.5658239, 5.9258942 45.5657906, 5.9258446 45.5654544, 5.9258351 45.5653796, 5.9258131 45.5651883, 5.9258019 45.5651094, 5.9257901 45.5650189)",2,30,,,,
"[999485728, 999485729, 24973819]",Rue du Laurier,residential,,False,True,64.062,"LINESTRING (5.9256488 45.5664699, 5.9256998 45.5664886, 5.9257629 45.5664973, 5.9258943 45.5665, 5.9259574 45.5665019, 5.9260534 45.5665024, 5.9261999 45.566506, 5.9262558 45.5665074, 5.9264636 45.5665125)",,30,,,,
21884371,Place de la Libération,secondary,,True,False,30.644000000000002,"LINESTRING (5.9248476 45.5673409, 5.9247241 45.5675076, 5.9246938 45.5675564, 5.9246769 45.5675889)",,50,,,,
"[21885372, 928844293, 1229687838, 1229687839]",Rue Saint-François de Sales,tertiary,,False,True,71.992,"LINESTRING (5.9248476 45.5673409, 5.924859 45.5673255, 5.9248712 45.5673113, 5.924948 45.5672216, 5.9252531 45.5668881, 5.9252757 45.5668555, 5.925281 45.5668095, 5.9252962 45.5667809)",2,30,,,,
"[999485728, 999485729, 24973819]",Rue du Laurier,residential,,False,False,64.062,"LINESTRING (5.9264636 45.5665125, 5.9262558 45.5665074, 5.9261999 45.566506, 5.9260534 45.5665024, 5.9259574 45.5665019, 5.9258943 45.5665, 5.9257629 45.5664973, 5.9256998 45.5664886, 5.9256488 45.5664699)",,30,,,,
21811767,Rue Victor Hugo,residential,,False,True,49.739,"LINESTRING (5.9252962 45.5667809, 5.9251979 45.5667373, 5.9247515 45.5665471)",,30,,,,
41736885,Place d'Italie,tertiary,,False,True,44.681,"LINESTRING (5.9252962 45.5667809, 5.9253212 45.5667629, 5.9253835 45.5667377, 5.9254184 45.5667114, 5.9254864 45.566637, 5.9256488 45.5664699)",2,30,,,,
"[21885372, 928844293, 1229687838, 1229687839]",Rue Saint-François de Sales,tertiary,,False,False,71.992,"LINESTRING (5.9252962 45.5667809, 5.925281 45.5668095, 5.9252757 45.5668555, 5.9252531 45.5668881, 5.924948 45.5672216, 5.9248712 45.5673113, 5.924859 45.5673255, 5.9248476 45.5673409)",2,30,,,,
21811767,Rue Victor Hugo,residential,,False,False,49.739,"LINESTRING (5.9247515 45.5665471, 5.9251979 45.5667373, 5.9252962 45.5667809)",,30,,,,
24385243,Rue Victor Hugo,residential,,False,False,52.968,"LINESTRING (5.9247515 45.5665471, 5.9246808 45.5665183, 5.9243076 45.5663653, 5.9241631 45.5663079)",,30,,,,
727281862,Avenue des Ducs de Savoie,primary,,True,False,62.846,"LINESTRING (5.9225472 45.5678117, 5.9230712 45.567583, 5.9231527 45.5675458, 5.9232303 45.5675105)",3,,,,,
51176765,Avenue des Ducs de Savoie,primary,,True,False,12.062,"LINESTRING (5.9246769 45.5675889, 5.9245248 45.5675682)",2,,,,,
"[21884969, 22605471]","['Boulevard de Lemenc', 'Pont des Amours']",secondary,,True,False,87.797,"LINESTRING (5.9246769 45.5675889, 5.9246344 45.5676935, 5.9246202 45.5677309, 5.924583 45.5678289, 5.9245424 45.5679639, 5.9245143 45.5680574, 5.924508 45.5681041, 5.9245084 45.5681482, 5.9245182 45.5682005, 5.9245404 45.5682542, 5.9246012 45.568353)",1,50,D 991,yes,,
"[27281848, 457397122, 457397123]",Faubourg Reclus,secondary,,False,True,54.513,"LINESTRING (5.9215252 45.569851, 5.9215369 45.5697886, 5.921605 45.5694541, 5.9216307 45.5693665)",2,30,,yes,,
"[25528762, 260760372]",Avenue du Maréchal Leclerc,secondary,,True,False,56.116,"LINESTRING (5.9160364 45.5700079, 5.9160792 45.5700232, 5.9161383 45.5700449, 5.916302 45.5701076, 5.9163971 45.5701461, 5.9165315 45.5702045, 5.9165803 45.5702311, 5.9166504 45.5702702)",1,50,,,,
24389087,Place Saint-Pierre de Maché,secondary,,True,False,24.826,"LINESTRING (5.914948 45.5640424, 5.914914 45.5641033, 5.9148501 45.5642547)",2,50,,,,
1143066961,Place Lucien Biset,primary,roundabout,True,False,8.737,"LINESTRING (5.914948 45.5640424, 5.9149106 45.5640424, 5.9148749 45.5640346, 5.9148443 45.5640195)",1,50,,,,
27130645,Avenue de Lyon,primary,,True,False,30.136,"LINESTRING (5.9148072 45.5639671, 5.9146908 45.563887, 5.914552 45.563764)",1,50,,,,
1143066964,Place Lucien Biset,primary,roundabout,True,False,11.268,"LINESTRING (5.9148072 45.5639671, 5.9148085 45.5639418, 5.9148202 45.5639178, 5.9148415 45.5638973, 5.9148703 45.563882)",1,50,,,,
1143066965,Place Caffe,primary,roundabout,True,False,6.941,"LINESTRING (5.9196424 45.5637531, 5.9196297 45.563783, 5.919605 45.563809)",2,30,,,,
24973826,Avenue de Lyon,primary,,True,False,28.689,"LINESTRING (5.9195481 45.5636403, 5.9197813 45.5635944, 5.9199003 45.5635648)",,30,,,,
927032360,Place Caffe,primary,roundabout,True,False,15.606,"LINESTRING (5.9195481 45.5636403, 5.9195911 45.5636583, 5.9196233 45.5636852, 5.919641 45.563718, 5.9196424 45.5637531)",2,30,,,,
927032361,Place Caffe,primary,roundabout,True,False,12.046999999999999,"LINESTRING (5.919401 45.5636555, 5.9194465 45.5636385, 5.9194976 45.5636332, 5.9195481 45.5636403)",,30,,,,
"[914648131, 727281860, 22158805]",Boulevard du Théâtre,unclassified,,False,False,53.872,"LINESTRING (5.9235608 45.5660579, 5.923678 45.5659305, 5.9237359 45.5658629, 5.923744 45.5658448, 5.9237466 45.5658248, 5.9237416 45.565806, 5.923731 45.5657887, 5.9237133 45.5657739, 5.9236674 45.5657525, 5.923523 45.5656893)",2,30,,,,
24385243,Rue Victor Hugo,residential,,False,True,54.508,"LINESTRING (5.9235608 45.5660579, 5.9236231 45.5660846, 5.9241631 45.5663079)",,30,,,,
21886399,Rue Fodéré,residential,,False,True,70.111,"LINESTRING (5.9217552 45.5633497, 5.9217169 45.5632427, 5.9216441 45.5630009, 5.9215817 45.5627872, 5.921567 45.5627332)",,30,,,,
198228110,Place Caffe,primary,,False,False,60.82,"LINESTRING (5.9217552 45.5633497, 5.9210933 45.5633118, 5.9209762 45.5633139)",2,30,,,,
297608019,Place Monge,primary,,False,True,23.036,"LINESTRING (5.9217552 45.5633497, 5.9219032 45.5633494, 5.9220511 45.563349)",,30,,,,
"[25992666, 358895836, 914648130, 914648126]",Boulevard du Théâtre,unclassified,,True,False,127.35200000000003,"LINESTRING (5.923523 45.5656893, 5.923494 45.5657235, 5.923221 45.5660449, 5.9230637 45.5662289, 5.9229639 45.5663501, 5.9229594 45.5663796, 5.922961 45.5664011, 5.9229721 45.5664243, 5.9229942 45.5664475, 5.9230213 45.5664626, 5.9230579 45.5664774, 5.9230971 45.5664835, 5.9231348 45.5664838, 5.9231833 45.5664698, 5.9232104 45.5664543, 5.9232288 45.5664343, 5.9232895 45.5663661)",1,30,,,,
