osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction,lanes,access,width
"[216216706, 216216708]",D 765,"['Place Charles de Gaulle', 'Pont de la Ville']",primary,30,False,"[False, True]",48.634,yes,"LINESTRING (-3.5449739 47.8715521, -3.5451397 47.8715151, -3.5452551 47.8714894, -3.5452928 47.871481, -3.5453316 47.871472, -3.5454876 47.8714404, -3.5455963 47.8714224)",,,,
216216711,,,primary,30,True,False,17.738,,"LINESTRING (-3.5449739 47.8715521, -3.5449446 47.8714926, -3.5448075 47.871523)",roundabout,,,
"[27297280, 794515157, 27297279]",D 765,"['Rue du Bourgneuf', 'Place Charles de Gaulle', 'Pont du Bourgneuf']",primary,30,False,True,88.19899999999998,yes,"LINESTRING (-3.5448075 47.871523, -3.5447447 47.8713969, -3.544662 47.871238, -3.5446307 47.8711713, -3.5446231 47.8711564, -3.5445194 47.8709543, -3.5445065 47.8709291, -3.5444365 47.87077)",,,,
216216711,,,primary,30,True,False,27.884999999999998,,"LINESTRING (-3.5448075 47.871523, -3.5447519 47.8715353, -3.5447954 47.8716236, -3.5448157 47.8716648, -3.544922 47.8716412)",roundabout,,,
187248038,C 15,Rue Samuel Billette,secondary,50,True,False,22.611,,"LINESTRING (-3.5554723 47.8655461, -3.5556249 47.8657218)",,,,
187248034,C 15,Rue Samuel Billette,secondary,50,True,False,20.089,,"LINESTRING (-3.5557231 47.8656119, -3.5554723 47.8655461)",,,,
25960411,,Lucien Bigard,secondary,,True,False,14.641,,"LINESTRING (-3.5557231 47.8656119, -3.555682 47.8656363, -3.5556534 47.865662, -3.5556249 47.8657218)",roundabout,,,
"[832562705, 25960411]",,Lucien Bigard,secondary,,True,False,22.237000000000002,,"LINESTRING (-3.555697 47.8658764, -3.5557728 47.865908, -3.5558609 47.8659209, -3.5559521 47.8659119, -3.5559753 47.8659033)",roundabout,,,
26971402,D 16,Rue de Moëlan,secondary,50,False,False,25.639,,"LINESTRING (-3.555697 47.8658764, -3.5555274 47.8660415, -3.555508 47.8660686)",,,,
"[832562705, 832562706, 25960411]",,Lucien Bigard,secondary,,True,False,33.748999999999995,,"LINESTRING (-3.5560995 47.8656859, -3.55608 47.8656565, -3.5560476 47.8656271, -3.5560004 47.8656038, -3.555916 47.8655833, -3.5558156 47.8655844, -3.5557231 47.8656119)",roundabout,,,
39248849,,Rue de l'Enfer,residential,,False,False,148.802,,"LINESTRING (-3.5488926 47.8673646, -3.5488326 47.867421, -3.5488121 47.8674731, -3.5488019 47.8676655, -3.5488024 47.8678544, -3.5488272 47.8679281, -3.5488887 47.868078, -3.5489416 47.8682254, -3.5489886 47.8684089, -3.5490718 47.8685493, -3.549198 47.8686252)",,1,,
840529119,D 783,Boulevard de la Gare,secondary,50,False,False,448.279,,"LINESTRING (-3.5488926 47.8673646, -3.5488351 47.8673247, -3.5487857 47.8672795, -3.5486038 47.8670368, -3.5485109 47.8669557, -3.5484019 47.8668955, -3.5482078 47.8668189, -3.5480218 47.8667368, -3.5478793 47.8666745, -3.5477561 47.8666115, -3.5475104 47.8664581, -3.5472536 47.8662878, -3.546918 47.8660807, -3.5468181 47.8660295, -3.5466106 47.865948, -3.5463928 47.8658619, -3.5461512 47.86576, -3.5459137 47.8656834, -3.545765 47.8656453, -3.5455701 47.8656204, -3.5454586 47.8656129, -3.5453345 47.8656124, -3.5452648 47.8656174, -3.5451977 47.8656228, -3.5451291 47.8656362, -3.5450562 47.8656579, -3.5449734 47.8656872, -3.5448842 47.8657302, -3.5448088 47.8657811, -3.5447578 47.8658373, -3.5447263 47.8658733, -3.5445925 47.8661067, -3.5444691 47.8663084)",,2,,
840529119,D 783,Boulevard de la Gare,secondary,50,False,True,67.561,,"LINESTRING (-3.5488926 47.8673646, -3.5489827 47.8674142, -3.5490071 47.8674276, -3.54918 47.8674995, -3.5492773 47.8675297, -3.549683 47.8676556)",,2,,
28126212,D 783,Quai Brizeux,secondary,30,False,False,334.61699999999996,,"LINESTRING (-3.5443396 47.86835, -3.5445948 47.8685751, -3.544715 47.868684, -3.5448141 47.8688014, -3.5451479 47.8693543, -3.5451679 47.8693875, -3.5453196 47.8696388, -3.5454456 47.8698732, -3.5454564 47.8698933, -3.5455266 47.8700237, -3.5455589 47.870141, -3.5455973 47.8702804, -3.5456036 47.87057, -3.5456026 47.8705965, -3.5455996 47.8706805, -3.5455261 47.8710098, -3.5455449 47.8711585)",,,,
1197497872,D 783,Boulevard de la Gare,secondary,50,False,True,260.387,,"LINESTRING (-3.5443396 47.86835, -3.5438606 47.8679354, -3.5437527 47.8678221, -3.5437143 47.867752, -3.5436803 47.867679, -3.5436599 47.8675743, -3.5436403 47.8673031, -3.5436676 47.86716, -3.5437389 47.8670448, -3.5438861 47.8668789, -3.5440503 47.8667294, -3.5443151 47.8664839, -3.5444691 47.8663084)",,,,
840529102,,Rond-Point de Coat-Kaër,primary,,True,False,8.974,,"LINESTRING (-3.553097 47.8727246, -3.5530874 47.8727507, -3.5530866 47.8727776, -3.5530944 47.872804)",roundabout,1,,
967093848,,Place Hervo,living_street,,False,False,30.212,,"LINESTRING (-3.545809 47.8723626, -3.5454057 47.8723878)",,,,
967093848,,Place Hervo,living_street,,False,True,8.38,,"LINESTRING (-3.545809 47.8723626, -3.5458287 47.8724368)",,,,
28248762,,Rue Saint-Guerloës,living_street,,False,False,25.060000000000002,,"LINESTRING (-3.545809 47.8723626, -3.5457908 47.8723104, -3.5459924 47.8722045)",,,,
