osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction
242937123,,,Rue du Château,residential,False,True,145.61299999999997,"LINESTRING (2.2884237 48.9072497, 2.2884691 48.9072785, 2.2889563 48.9075879, 2.2897935 48.9081253, 2.2898345 48.9081517, 2.2898524 48.9081624)",,
328388023,,,Rue Gallieni,residential,True,False,114.86600000000001,"LINESTRING (2.2884237 48.9072497, 2.288366 48.9072772, 2.287493 48.9079502, 2.2874733 48.907965, 2.2874448 48.9079774, 2.28741 48.9079871, 2.2873591 48.9079966)",30,
19794356,,,Rue Jean Dussourd,residential,True,False,76.281,"LINESTRING (2.2898524 48.9081624, 2.2899203 48.9081197, 2.2902562 48.9079008, 2.2905934 48.9076793)",30,
242937123,,,Rue du Château,residential,False,False,145.61299999999997,"LINESTRING (2.2898524 48.9081624, 2.2898345 48.9081517, 2.2897935 48.9081253, 2.2889563 48.9075879, 2.2884691 48.9072785, 2.2884237 48.9072497)",,
242937123,,,Rue du Château,residential,False,True,92.711,"LINESTRING (2.2898524 48.9081624, 2.2898761 48.9081767, 2.2899031 48.908194, 2.2905574 48.9086139, 2.2907068 48.9086847, 2.2907851 48.9087256)",,
"[791668359, 25875359]",,,Rue Duchesnay,residential,True,False,78.59800000000001,"LINESTRING (2.2918738 48.9094371, 2.2919255 48.909377, 2.2919546 48.9093413, 2.2923801 48.9088135)",,
242937123,,,Rue du Château,residential,False,False,112.436,"LINESTRING (2.2918738 48.9094371, 2.2918094 48.9094059, 2.291002 48.9088964, 2.2908915 48.9087985, 2.2908546 48.9087729, 2.2907851 48.9087256)",,
242937123,,,Rue du Château,residential,False,True,78.795,"LINESTRING (2.2918738 48.9094371, 2.2919358 48.9094636, 2.2927592 48.9097099, 2.2928048 48.9097234, 2.29285 48.9097367)",,
328388021,,,Rue Gallieni,residential,False,True,66.249,"LINESTRING (2.2891248 48.9067249, 2.2891813 48.9066783, 2.2893982 48.9065116, 2.2897115 48.9062708)",30,
328388023,,,Rue Gallieni,residential,True,False,77.685,"LINESTRING (2.2891248 48.9067249, 2.2884815 48.9072136, 2.2884237 48.9072497)",30,
19794360,,,Rue Barreau,residential,True,False,91.148,"LINESTRING (2.2923801 48.9088135, 2.2923226 48.9087764, 2.2915314 48.9082797, 2.2914796 48.9082464)",30,
791668359,,,Rue Duchesnay,residential,True,False,58.366,"LINESTRING (2.2923801 48.9088135, 2.2926957 48.9084109, 2.2927456 48.9083468)",,
