osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,tunnel,width,junction
29103878,D 1113,Rue du 11 Novembre,secondary,50,False,True,9.316,"LINESTRING (1.9533141 43.319734, 1.953396 43.3196751)",,,,,
29103878,D 1113,Rue du 11 Novembre,secondary,50,False,False,93.113,"LINESTRING (1.9533141 43.319734, 1.9533833 43.3198833, 1.9537477 43.3205093)",,,,,
29103693,,Rue de la Miséricorde,residential,30,True,False,158.46699999999998,"LINESTRING (1.9558405 43.3165186, 1.9557571 43.3165597, 1.9556396 43.3165767, 1.9549311 43.3166453, 1.9545423 43.3166844, 1.9539658 43.3167459, 1.953918 43.316751)",,,,,
"[1046232914, 29103882]",D 1113,Rue de Dunkerque,secondary,50,False,False,90.288,"LINESTRING (1.9558405 43.3165186, 1.955704 43.3166236, 1.9556178 43.3166671, 1.9555358 43.3167384, 1.9554174 43.3169018, 1.9552417 43.3171444, 1.9552166 43.3171791)",2,,,,
1046232914,D 1113,Rue de Dunkerque,secondary,50,False,True,58.184,"LINESTRING (1.9558405 43.3165186, 1.9559345 43.3163306, 1.9559682 43.3161351, 1.9559726 43.3161094, 1.9559846 43.3160701, 1.9560024 43.3160115)",2,,,,
29103876,D 1113,Avenue Frédéric Mistral,secondary,,False,True,13.553999999999998,"LINESTRING (1.9498734 43.3220478, 1.9499705 43.322032, 1.9500294 43.3220072)",3,,,,
909705274,D 1113,Avenue Frédéric Mistral,secondary,,False,False,77.369,"LINESTRING (1.9498734 43.3220478, 1.9495582 43.322174, 1.9492388 43.322289, 1.9490247 43.3223683)",3,,,,
909705287,,Boulevard du Général Lapasset,residential,,False,False,39.838,"LINESTRING (1.9498734 43.3220478, 1.9496984 43.3217829, 1.9496877 43.3217512, 1.9496863 43.3217195)",,,,,
29103878,D 1113,Rue du 11 Novembre,secondary,50,False,False,112.07000000000001,"LINESTRING (1.9540233 43.3187324, 1.9539212 43.3188928, 1.9534345 43.3196447)",,,,,
29104680,,Rue Gambetta,living_street,30,True,False,64.274,"LINESTRING (1.9540233 43.3187324, 1.9542077 43.3188668, 1.954285 43.3189232, 1.9545736 43.3191492)",,,,,
422521785,D 624,Cours de la République,secondary,,False,True,19.743,"LINESTRING (1.9540233 43.3187324, 1.9539326 43.3186478, 1.9538732 43.3185924)",,,,,
422521790,D 1113,Rue de Dunkerque,secondary,,False,True,61.705,"LINESTRING (1.9540233 43.3187324, 1.9541207 43.3186568, 1.9545365 43.3183219)",,,,,
"[29103188, 1069845711]",,Avenue du Général de Gaulle,secondary,50,False,"[False, True]",149.027,"LINESTRING (1.9490247 43.3223683, 1.9489241 43.3222319, 1.9486906 43.3219815, 1.9480473 43.3212329)","['2', '3']",,,,
"[121771561, 29114948]",D 1113,"[""Avenue Martin d'Auch"", ""Avenue Saint-Martin d'Auch""]",secondary,50,False,True,87.096,"LINESTRING (1.9490247 43.3223683, 1.9488142 43.3224311, 1.9485232 43.3225223, 1.9480571 43.3226462, 1.9480229 43.3226545)",3,,,,
909705274,D 1113,Avenue Frédéric Mistral,secondary,,False,True,77.369,"LINESTRING (1.9490247 43.3223683, 1.9492388 43.322289, 1.9495582 43.322174, 1.9498734 43.3220478)",3,,,,
29103876,D 1113,Avenue Frédéric Mistral,secondary,,False,True,18.651,"LINESTRING (1.9528759 43.3209566, 1.9530616 43.3208572)",3,,,,
29114244,,Rue des Champs,residential,,False,False,24.906,"LINESTRING (1.9528759 43.3209566, 1.9530193 43.3211548)",,,,,
29103876,D 1113,Avenue Frédéric Mistral,secondary,,False,False,65.349,"LINESTRING (1.9528759 43.3209566, 1.9526 43.3210667, 1.9523167 43.32115, 1.9521466 43.3212075)",3,,,,
29103878,D 1113,Rue du 11 Novembre,secondary,50,False,True,93.113,"LINESTRING (1.9537477 43.3205093, 1.9533833 43.3198833, 1.9533141 43.319734)",,,,,
585081861,,Rue des Caves,residential,,True,False,110.287,"LINESTRING (1.9537477 43.3205093, 1.9541085 43.3207143, 1.9543799 43.3210594, 1.9546874 43.3209246)",,,,,
