osmid,highway,junction,oneway,reversed,length,geometry,name,ref
694656337,tertiary,roundabout,True,False,7.024000000000001,"LINESTRING (2.7353835 48.0228968, 2.735361 48.0228928, 2.7353419 48.022884, 2.7353326 48.0228763, 2.7353237 48.0228619, 2.7353233 48.0228553)",,
128531414,residential,,False,False,59.762,"LINESTRING (2.7370065 48.0224386, 2.7364897 48.0223614, 2.7362211 48.0223251)",Rue de la Demi-Lune,
128531417,tertiary,,True,False,22.503,"LINESTRING (2.7368328 48.0213773, 2.7366773 48.0213631, 2.7366479 48.0213604, 2.7365345 48.0213442)",Rue Condorcet,
128531418,residential,,False,False,118.53800000000001,"LINESTRING (2.7368328 48.0213773, 2.7368027 48.0214985, 2.7367115 48.0215954, 2.736564 48.0216976, 2.7363896 48.0218214, 2.7363234 48.0219775, 2.7362211 48.0223251)",Rue de la Demi-Lune,
128531414,residential,,False,True,42.507000000000005,"LINESTRING (2.7356614 48.0222477, 2.7360122 48.0222968, 2.7362211 48.0223251)",Rue de la Demi-Lune,
128531421,tertiary,,False,False,87.31800000000001,"LINESTRING (2.7356614 48.0222477, 2.7356976 48.0221282, 2.735872 48.0215936, 2.7359367 48.0214858)",Rue Condorcet,
128531421,tertiary,,False,True,66.076,"LINESTRING (2.7356614 48.0222477, 2.7355608 48.0225803, 2.735491 48.0227474, 2.7354351 48.0228197)",Rue Condorcet,
166197627,tertiary,,False,False,29.237,"LINESTRING (2.7372327 48.0211541, 2.737303 48.0208954)",Avenue du Général Leclerc,D 740
"[290302298, 166197627]",tertiary,,False,True,35.591,"LINESTRING (2.7372327 48.0211541, 2.7372136 48.0212164, 2.7371926 48.0212784, 2.7371546 48.0214105, 2.7371395 48.021468)",Avenue du Général Leclerc,D 740
128531413,tertiary_link,,True,False,20.326,"LINESTRING (2.7369824 48.0211415, 2.7370524 48.0211194, 2.7371314 48.0211154, 2.7371694 48.0211299, 2.7372327 48.0211541)",Rue Condorcet,
128531415,tertiary_link,,True,False,36.3,"LINESTRING (2.7369824 48.0211415, 2.737118 48.0210403, 2.7371897 48.0209836, 2.7372128 48.0209653, 2.7372506 48.0209354, 2.737303 48.0208954)",Rue Condorcet,
128531409,residential,,False,False,63.095,"LINESTRING (2.7388439 48.0180414, 2.7383994 48.0178512, 2.7381359 48.017729)",Avenue du Général Leclerc,
"[694656336, 128531401]",tertiary,roundabout,True,False,12.195,"LINESTRING (2.7354351 48.0228197, 2.7354489 48.0228322, 2.7354555 48.0228471, 2.7354532 48.0228647, 2.735443 48.0228786, 2.7354204 48.0228917, 2.7353983 48.0228965, 2.7353835 48.0228968)",,
128531421,tertiary,,False,False,66.076,"LINESTRING (2.7354351 48.0228197, 2.735491 48.0227474, 2.7355608 48.0225803, 2.7356614 48.0222477)",Rue Condorcet,
