osmid,highway,oneway,reversed,length,geometry,ref,maxspeed,name,bridge,tunnel,lanes
30744703,residential,False,False,47.334,"LINESTRING (-0.0340462 44.5839152, -0.0342242 44.5839312, -0.0344675 44.5840308, -0.0345346 44.5839452)",,,,,,
441292539,primary,False,False,96.19,"LINESTRING (-0.0340462 44.5839152, -0.033775 44.58341, -0.0336916 44.5831946, -0.0336669 44.5830954)",D 670,50,,,,
441292539,primary,False,True,117.62,"LINESTRING (-0.0340462 44.5839152, -0.0344513 44.584615, -0.0344965 44.5848228, -0.0344917 44.5849133)",D 670,50,,,,
164667810,primary,False,True,30.108,"LINESTRING (-0.0336751 44.5828247, -0.0336669 44.5830954)",D 670,50,,,,
164667810,primary,False,False,104.485,"LINESTRING (-0.0336751 44.5828247, -0.0338327 44.5820692, -0.0338471 44.5819929, -0.033838 44.5819279, -0.0338353 44.5818944)",D 670,50,,,,
964454901,primary,True,False,14.283,"LINESTRING (-0.0337019 44.5816415, -0.0338735 44.581681)",D 1113,50,Rue du Général Leclerc,,,
964454904,primary,True,False,30.101999999999997,"LINESTRING (-0.0337019 44.5816415, -0.0337423 44.5816973, -0.0338353 44.5818944)",D 670,50,,,,
106230410,primary,True,False,20.659,"LINESTRING (-0.0345167 44.5818498, -0.0346805 44.5818848, -0.0346881 44.5818855, -0.0347696 44.581893)",D 1113,30,Rue du Général Leclerc,,,
106230410,primary,True,False,53.393,"LINESTRING (-0.0347696 44.581893, -0.0354425 44.5819225)",D 1113,30,Rue du Général Leclerc,,,
30744670,residential,False,True,93.298,"LINESTRING (-0.0347696 44.581893, -0.0347968 44.5817553, -0.03483 44.5816839, -0.0351057 44.5813929, -0.0353731 44.5811963)",,,Rue des Jardins,,,
106230410,primary,True,False,12.044,"LINESTRING (-0.0354425 44.5819225, -0.0355939 44.5819327)",D 1113,30,Rue du Général Leclerc,,,
30744668,residential,False,False,144.958,"LINESTRING (-0.0341099 44.5817332, -0.0342965 44.5814474, -0.0344214 44.5810881, -0.0344721 44.5806875, -0.0346118 44.5804957)",,,Rue de la Combe,,,
106230410,primary,True,False,34.739999999999995,"LINESTRING (-0.0341099 44.5817332, -0.0341623 44.5817454, -0.0345167 44.5818498)",D 1113,30,Rue du Général Leclerc,,,
30744668,residential,False,True,144.958,"LINESTRING (-0.0346118 44.5804957, -0.0344721 44.5806875, -0.0344214 44.5810881, -0.0342965 44.5814474, -0.0341099 44.5817332)",,,Rue de la Combe,,,
106230397,residential,False,False,32.208,"LINESTRING (-0.0346118 44.5804957, -0.0344367 44.5803168, -0.0343909 44.5802531)",,,Rue du Président Doumer,,,
106230397,residential,False,True,85.042,"LINESTRING (-0.0346118 44.5804957, -0.0349134 44.5807728, -0.0352753 44.581097)",,,Rue du Président Doumer,,,
30744671,residential,False,False,4.716,"LINESTRING (-0.0358222 44.5814937, -0.0358796 44.5814824)",,,Rue Lagrave,,,
30744671,residential,False,True,49.076,"LINESTRING (-0.0358222 44.5814937, -0.0356634 44.581424, -0.0355864 44.5813785, -0.0353731 44.5811963)",,,Rue Lagrave,,,
30744676,residential,False,False,63.723,"LINESTRING (-0.0358222 44.5814937, -0.0355258 44.5816005, -0.0355872 44.5818275, -0.0355939 44.5819327)",,,Rue Lagahuzère,,,
