osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,area,tunnel,junction
4246662,True,2,Traverse Flandres Dunkerque,residential,50,False,71.463,"LINESTRING (7.2741813 43.6984128, 7.2742044 43.6983661, 7.2742181 43.6983389, 7.2743007 43.6981661, 7.274403 43.6979546, 7.2744296 43.6978997, 7.2744794 43.6978074)",,,,
1105804346,True,2,Avenue Félix Faure,primary,50,False,119.24499999999999,"LINESTRING (7.2741813 43.6984128, 7.2740787 43.6983868, 7.272911 43.698096, 7.272875 43.6980875, 7.2727785 43.6980644)",,,,
4246694,True,1,Descente Crotti,residential,50,False,159.05599999999998,"LINESTRING (7.2744794 43.6978074, 7.2745138 43.6977408, 7.2745279 43.6977146, 7.27453 43.6976474, 7.2745275 43.6976112, 7.2745142 43.6975753, 7.2744428 43.6975388, 7.2740546 43.697419, 7.2737651 43.6973297, 7.2731739 43.6971445, 7.2731444 43.6971165, 7.2731141 43.6970255)",,,,
4246655,True,,Rue Foncet,residential,30,False,43.998999999999995,"LINESTRING (7.2740945 43.7006567, 7.2740433 43.7006785, 7.2739977 43.7007056, 7.2736863 43.7009188)",,,,
"[570058969, 201294786]",True,1,Rue de l'Hôtel des Postes,tertiary,,False,48.248999999999995,"LINESTRING (7.2740945 43.7006567, 7.2740341 43.7006192, 7.2737154 43.700437, 7.273622 43.7003894)",,,,
4246655,True,,Rue Foncet,residential,30,False,91.81800000000001,"LINESTRING (7.2728896 43.7014423, 7.2727883 43.7015079, 7.2720313 43.7019871)",,,,
489040883,True,1,Rue Pastorelli,secondary,,False,57.574,"LINESTRING (7.2728896 43.7014423, 7.2729347 43.7014929, 7.2731336 43.7017339, 7.2732094 43.7018289, 7.2732586 43.701886)",,,,
168984203,True,1,Rue Pierre Dévoluy,secondary,,False,70.68599999999999,"LINESTRING (7.2736558 43.7024655, 7.2736903 43.702515, 7.274042 43.7030366)",,,,
168984203,True,1,Rue Pierre Dévoluy,secondary,,False,61.48,"LINESTRING (7.274042 43.7030366, 7.2743427 43.7034821, 7.2743774 43.7035335)",,,,
42305536,True,1,Rue Édouard Beri,residential,50,False,87.672,"LINESTRING (7.2743774 43.7035335, 7.2743145 43.7035554, 7.2734679 43.70385, 7.2733947 43.7038755)",,,,
572348415,True,2,Boulevard Dubouchage,secondary,,False,34.35,"LINESTRING (7.2733947 43.7038755, 7.2732181 43.7035942)",,,,
572348415,True,2,Boulevard Dubouchage,secondary,,False,25.237,"LINESTRING (7.2732181 43.7035942, 7.2730788 43.7033908)",,,,
