osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,width,access
127189716,False,Rue Henri Gautier,tertiary,30,False,16.351,"LINESTRING (-1.7294186 47.2129781, -1.7293484 47.212839)",,,,,
31115424,False,Rue Henri Gautier,tertiary,30,True,86.84,"LINESTRING (-1.7294186 47.2129781, -1.7294422 47.2130564, -1.729439 47.213105, -1.7294187 47.2131767, -1.7293694 47.2133512, -1.7293135 47.2135838, -1.7292805 47.2137483)",,,,,
31115425,True,Place Léon Moinard,residential,30,False,29.485,"LINESTRING (-1.7294186 47.2129781, -1.7295364 47.2129349, -1.7296682 47.212848, -1.7297178 47.2128118)",,,,,
127189716,False,Rue Henri Gautier,tertiary,30,True,16.351,"LINESTRING (-1.7293484 47.212839, -1.7294186 47.2129781)",,,,,
34866485,True,Rue Henri Gautier,residential,30,False,152.539,"LINESTRING (-1.7293484 47.212839, -1.7292539 47.2126329, -1.7291245 47.2123762, -1.7290696 47.2122712, -1.7290482 47.2122096, -1.7290253 47.2119991, -1.7290288 47.2118483, -1.7291006 47.2116126, -1.729139 47.2115085)",,,,,
1263451446,True,Rue Joséphine Éven,tertiary,,False,19.708,"LINESTRING (-1.7293484 47.212839, -1.7292603 47.2128705, -1.7290994 47.2128788)",,,,,
27936482,True,Rue Charles Brunelière,residential,30,False,34.32,"LINESTRING (-1.729139 47.2115085, -1.7295597 47.2116251)",,,,,
27953508,True,Rue de la Marne,living_street,20,False,13.156,"LINESTRING (-1.729139 47.2115085, -1.7291823 47.2113939)",,,,,
27936496,True,Rue Julien Cholet,residential,30,False,21.069,"LINESTRING (-1.7297364 47.2105073, -1.7299928 47.2105819)",,,,,
205314750,True,Rue de la Marne,living_street,20,False,4.955,"LINESTRING (-1.7297364 47.2105073, -1.7297662 47.2104676)",,,,,
92862350,True,Rue Alexandre Olivier,tertiary,,False,12.953,"LINESTRING (-1.7254738 47.2146234, -1.7255366 47.214515)",1,M 26,,,
689844880,False,Rue Alexandre Olivier,tertiary,30,True,122.44200000000001,"LINESTRING (-1.7254738 47.2146234, -1.7254493 47.2149114, -1.725393 47.2156598, -1.7253882 47.215723)",,M 26,,,
27921437,False,Rue Jean Jaurès,residential,,False,13.873,"LINESTRING (-1.721984 47.2123028, -1.7221549 47.2122571)",,,,,
97353427,False,Rue de la Frémondière,residential,,True,97.51200000000001,"LINESTRING (-1.721984 47.2123028, -1.7219788 47.2122799, -1.7219662 47.2122527, -1.7219329 47.2121809, -1.7219256 47.2119009, -1.7218998 47.2117644, -1.7218575 47.2116759, -1.7217936 47.2116102, -1.7217298 47.2115598, -1.7216233 47.2114997)",,,,,
27921437,False,Rue Jean Jaurès,residential,,True,13.873,"LINESTRING (-1.7221549 47.2122571, -1.721984 47.2123028)",,,,,
31142164,False,Le Clos du Parc,residential,,False,32.933,"LINESTRING (-1.7221549 47.2122571, -1.722209 47.2123419, -1.7222839 47.2125392)",,,,,
92004359,True,Rue Jean Jaurès,residential,30,False,148.48,"LINESTRING (-1.7221549 47.2122571, -1.7222212 47.2122411, -1.7223907 47.2122002, -1.7229057 47.212107, -1.7230231 47.2120934, -1.7238676 47.2119958, -1.7239276 47.211989, -1.7240716 47.2119727)",,,,,
27921383,False,Rue du Professeur Jean Bernard,tertiary,30,False,93.541,"LINESTRING (-1.7266537 47.2112698, -1.7266048 47.2114026, -1.7265691 47.2116085, -1.7265868 47.2117161, -1.7266893 47.2118883, -1.7268149 47.2120725)",,D 26,,,
"[149127232, 1217636767]",False,Rue Jean Jaurès,"['living_street', 'tertiary']","['20', '30']",False,49.208,"LINESTRING (-1.7266537 47.2112698, -1.7268405 47.2110956, -1.7269754 47.2110118, -1.7270974 47.2109509)",,D 26,,,
