osmid,oneway,name,highway,reversed,length,maxspeed,geometry,bridge,width,ref,lanes
331455762,False,Rue Jean Jaurès,residential,True,8.4,,"LINESTRING (2.2650776 48.912028, 2.2651914 48.9120174)",,,,
331455756,True,Rue Jean Jaurès,residential,False,101.68799999999999,30,"LINESTRING (2.2650776 48.912028, 2.2649905 48.9120296, 2.2637078 48.9121851)",,,,
331455757,False,Rue Paul Déroulède,residential,True,122.3,30,"LINESTRING (2.2654759 48.913856, 2.2656011 48.9138351, 2.2656567 48.913827, 2.2670982 48.9135859)",,,,
"[627760416, 40633681, 627760418]",False,Rue Heynen,residential,True,50.616,,"LINESTRING (2.2654759 48.913856, 2.2654697 48.913806, 2.2654464 48.9136363, 2.2654273 48.9134622, 2.2654199 48.9134023)",yes,,,
"[1214601504, 1214601509, 331455742]",True,Rue Paul Déroulède,residential,False,118.672,30,"LINESTRING (2.2654759 48.913856, 2.2653776 48.9138733, 2.2652793 48.9138906, 2.2640937 48.9140964, 2.263906 48.914129)",,,,
"[27794598, 28103940, 4039486]",False,Rue Henry Litolff,residential,False,65.212,30,"LINESTRING (2.2616548 48.9143745, 2.261644 48.9143218, 2.2615758 48.9140311, 2.2615623 48.9139505, 2.261546 48.9138535, 2.261537 48.9137933)",yes,,,
102657180,False,Rue Henry Litolff,residential,True,207.881,,"LINESTRING (2.2616548 48.9143745, 2.2616601 48.9144323, 2.26177 48.9161975, 2.2617724 48.9162424)",,,,
"[1126940822, 118942870]",False,Rue Henry Litolff,residential,True,44.443999999999996,30,"LINESTRING (2.2612312 48.9121614, 2.2614898 48.9123527, 2.261497 48.9123562, 2.2615732 48.9124072, 2.2616249 48.9124643)",,,,
"[118942872, 1126930006]",False,Rue Henry Litolff,residential,False,182.605,30,"LINESTRING (2.2612312 48.9121614, 2.2612305 48.9121439, 2.2611569 48.9116511, 2.2610774 48.9113696, 2.2610543 48.9112711, 2.2608457 48.9106191, 2.2608422 48.910602, 2.260827 48.9105428)",,9.8,,
28103940,False,Rue Henry Litolff,residential,True,90.371,30,"LINESTRING (2.2616249 48.9124643, 2.2615422 48.9125573, 2.2614121 48.9126555, 2.261361 48.9126914, 2.2613259 48.912774, 2.2613232 48.9127869, 2.2613712 48.9128896, 2.2614272 48.9132069)",,,,
"[118942870, 1126940822]",False,Rue Henry Litolff,residential,False,44.444,30,"LINESTRING (2.2616249 48.9124643, 2.2615732 48.9124072, 2.261497 48.9123562, 2.2614898 48.9123527, 2.2612312 48.9121614)",,,,
10577198,True,Rue Raspail,residential,False,154.76,,"LINESTRING (2.27429 48.9144143, 2.2727202 48.9152613, 2.2726425 48.9152866)",,,,
1008380696,True,Rue Victor Hugo,residential,False,103.045,30,"LINESTRING (2.2681363 48.9191216, 2.2683765 48.9190319, 2.2689088 48.9187629, 2.2692833 48.9185846)",,,,
380429648,True,Rue Victor Hugo,residential,False,67.706,30,"LINESTRING (2.27144 48.9175338, 2.2718482 48.9173373, 2.2720502 48.9172402, 2.2721992 48.917186)",,,,
10577172,False,Rue d'Estienne d'Orves,tertiary,False,83.283,,"LINESTRING (2.2730295 48.9169066, 2.2729407 48.916852, 2.2726475 48.916531, 2.2724469 48.91638, 2.2723499 48.9163106)",,,D 11 b,
331456166,True,Rue Victor Hugo,residential,False,62.675,,"LINESTRING (2.2730295 48.9169066, 2.2733858 48.9167858, 2.2737913 48.9166476)",,,,
621935242,True,Rue d'Estienne d'Orves,tertiary,False,84.751,30,"LINESTRING (2.271743 48.915799, 2.2709952 48.9152164)",,,D 11 b,
1089663834,True,Rue Raspail,residential,False,29.607,,"LINESTRING (2.271743 48.915799, 2.2714457 48.9159799)",,,,
