osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,width,tunnel
51830759,True,1,N 85,Avenue du Commandant Dumont,primary,50,False,18.103,"LINESTRING (6.083813 44.5640541, 6.0838127 44.563974, 6.0838133 44.563954, 6.083814 44.5638913)",,,,
377829912,False,2,N 85,Avenue du Commandant Dumont,primary,50,True,116.81,"LINESTRING (6.083813 44.5640541, 6.0837963 44.5640881, 6.0837877 44.5641217, 6.0837629 44.5643698, 6.0837533 44.5644599, 6.0837462 44.5645269, 6.0837002 44.5649594, 6.0836959 44.5649995, 6.0836853 44.5650993)",,,,
94255651,False,3,N 85,Avenue du Commandant Dumont,primary,50,False,33.775,"LINESTRING (6.0839478 44.5626905, 6.0839734 44.5623873)",,,,
94255658,True,,N 85,Avenue du Commandant Dumont,primary,,False,26.265,"LINESTRING (6.0839478 44.5626905, 6.0839748 44.5628152, 6.0839787 44.5629252)",,,,
94255651,False,3,N 85,Avenue du Commandant Dumont,primary,50,True,33.775,"LINESTRING (6.0839734 44.5623873, 6.0839478 44.5626905)",,,,
94255661,True,2,N 85,Avenue du Commandant Dumont,primary,50,False,36.825,"LINESTRING (6.0839734 44.5623873, 6.0839754 44.5622294, 6.0839665 44.5621032, 6.0839674 44.5620563)",,,,
179620900,False,,,Impasse de Bonne,residential,50,False,27.961000000000002,"LINESTRING (6.0839734 44.5623873, 6.0839092 44.5623825, 6.0836224 44.562361)",,,,
"[377830555, 94255653]",True,2,N 85,Cours Ladoucette,primary,50,False,39.436,"LINESTRING (6.083944 44.5620344, 6.0838901 44.5620241, 6.0838342 44.5620078, 6.0837725 44.5619821, 6.0835913 44.5619027, 6.0835091 44.5618655)",,,,
490117898,True,,,Rond-Point du Cèdre,primary,50,False,15.353,"LINESTRING (6.083944 44.5620344, 6.0839323 44.5619957, 6.0839287 44.5619483, 6.0839353 44.5618975)",roundabout,,,
490118035,True,,,Rond-Point du Cèdre,primary,50,False,2.537,"LINESTRING (6.0841932 44.5620932, 6.0841615 44.5620964)",roundabout,,,
