osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,access,tunnel
"[8103489, 1165239045, 1165230135]",Avenue de la Gare,primary,50,False,False,73.716,"LINESTRING (6.0853352 46.142581, 6.0852818 46.142707, 6.0852716 46.1427295, 6.0852087 46.1428694, 6.0851392 46.143024, 6.085096 46.1431126, 6.0850511 46.143214)",,,,,
8463062,Promenade du Crêt,tertiary,,False,False,209.30599999999998,"LINESTRING (6.082872 46.1438417, 6.0830669 46.1438641, 6.0832575 46.1438775, 6.0834599 46.1438925, 6.0836642 46.143912, 6.0843552 46.1440168, 6.0844341 46.1440302, 6.0844912 46.1440374, 6.0845415 46.1440407, 6.0846071 46.1440411, 6.0847235 46.1440301, 6.0853799 46.1439562, 6.0854919 46.1439486, 6.0855519 46.1439507)",2,,,,
25444578,Place du Crêt,residential,,False,False,57.071,"LINESTRING (6.082872 46.1438417, 6.082724 46.1438463, 6.0825255 46.1438363, 6.0821357 46.1437985)",,,,,
"[1035594000, 1125594099, 4793679, 826519607]",Rue Berthollet,primary,50,False,True,175.13500000000002,"LINESTRING (6.082872 46.1438417, 6.0829295 46.1438005, 6.0829976 46.1437741, 6.0830695 46.1437551, 6.0832079 46.1437418, 6.083565 46.1437101, 6.0837423 46.1436944, 6.08381 46.143689, 6.0838686 46.1436876, 6.0839358 46.1436898, 6.0840497 46.1436976, 6.084204 46.1437093, 6.0842824 46.1437108, 6.0843649 46.1437067, 6.0846883 46.1436815, 6.084736 46.1436755, 6.0847837 46.1436646, 6.0848252 46.1436477, 6.0848503 46.1436328, 6.0848777 46.1436113, 6.0849332 46.1434887)",3,D 1201,,,
"[45873088, 1125740711]",Rue Berthollet,primary,50,False,False,33.183,"LINESTRING (6.082872 46.1438417, 6.0827399 46.1439327, 6.082564 46.1440503)",2,D 1201,,,
"[236377190, 735019750, 1125514487]",,primary,"['50', '30']",True,False,41.348,"LINESTRING (6.079875 46.1404119, 6.079713 46.1404753, 6.0796589 46.140492, 6.0795859 46.1405101, 6.0795066 46.1405218, 6.0794305 46.1405309, 6.0793751 46.1405336)",2,D 1201,,,
"[25460836, 1126063813, 1126061273, 1126061274, 1126061275, 1126061276, 1126061277]",Avenue des Contamines,residential,30,False,False,156.73799999999997,"LINESTRING (6.079875 46.1404119, 6.0799427 46.1404932, 6.0800172 46.1406097, 6.0800612 46.140654, 6.0801078 46.1406923, 6.0801652 46.1407296, 6.080199 46.1407443, 6.080231 46.1407572, 6.0802611 46.1407684, 6.0803397 46.1407891, 6.0804608 46.1408151, 6.0805103 46.1408317, 6.0805471 46.1408478, 6.0805855 46.1408753, 6.0806067 46.1408954, 6.0806543 46.1409435, 6.0810587 46.1413908, 6.0810748 46.1414055, 6.0810949 46.1414176, 6.0811252 46.1414274, 6.0811586 46.1414452)",,,,,
115029417,Grande Rue,residential,30,True,False,22.008000000000003,"LINESTRING (6.0793751 46.1405336, 6.0793228 46.1405592, 6.0792955 46.1405795, 6.0792646 46.1406032, 6.079245 46.140635, 6.079232 46.1406936)",,,,,
236377190,,primary,30,True,False,19.458,"LINESTRING (6.0793751 46.1405336, 6.079331 46.1405341, 6.07929 46.1405314, 6.0792465 46.1405253, 6.0792095 46.1405173, 6.0791677 46.1405035, 6.0791358 46.1404894)",2,D 1201,,,
1165240293,,primary,,True,False,10.472000000000001,"LINESTRING (6.0829397 46.145638, 6.0829128 46.1456408, 6.0828858 46.1456385, 6.0828607 46.1456313, 6.0828392 46.1456197, 6.0828229 46.1456047)",,,roundabout,,
