osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,access,junction
4783299,True,D 989,Avenue Victor Cresson,primary,30,False,46.913,"LINESTRING (2.2728289 48.8239716, 2.2725967 48.823893, 2.2722507 48.82379)",,,
"[252698920, 4786969]",True,,Rue Diderot,tertiary,30,False,131.595,"LINESTRING (2.2728289 48.8239716, 2.2727387 48.8241097, 2.2726447 48.8242532, 2.2721633 48.8249901, 2.2721506 48.8250096, 2.2721174 48.8250584)",2,,
4788850,True,,Rue André Chénier,residential,30,False,206.34199999999998,"LINESTRING (2.2728289 48.8239716, 2.2726972 48.8238054, 2.2725119 48.8236271, 2.2719788 48.8231538, 2.2718763 48.8230602, 2.2712048 48.8224574)",1,,
4788852,False,D 72A,Rue Auguste Gervais,secondary,30,False,105.12800000000001,"LINESTRING (2.2728289 48.8239716, 2.272912 48.823809, 2.2733307 48.823149, 2.2733681 48.8230958)",,,
4786940,False,D 69,Boulevard Gallieni,secondary,30,False,47.358000000000004,"LINESTRING (2.2679938 48.8225999, 2.2679841 48.8226885, 2.2679497 48.8230033, 2.2679474 48.8230247)",2,,
1003675871,True,D 69,Carrefour de Weiden,secondary,30,False,18.487000000000002,"LINESTRING (2.2679938 48.8225999, 2.2679676 48.8225397, 2.2679831 48.8225083, 2.2680161 48.8224411)",2,,
4783300,True,D 989,Rue du Général Leclerc,primary,30,False,103.27399999999999,"LINESTRING (2.2778222 48.8260271, 2.2777059 48.8259674, 2.2774375 48.8258361, 2.2767581 48.8255036, 2.276692 48.8254713)",2,,
23787456,True,,Rue Vaudétard,secondary,,False,49.17400000000001,"LINESTRING (2.2778222 48.8260271, 2.2778958 48.8259872, 2.2783035 48.8257988, 2.2783595 48.8257628)",2,,
"[4783300, 152191220]",True,D 989,Rue du Général Leclerc,primary,30,False,145.058,"LINESTRING (2.276692 48.8254713, 2.2764571 48.8253554, 2.2764134 48.8253339, 2.2763525 48.8253038, 2.276095 48.8251768, 2.2756987 48.8250138, 2.275605 48.8249704, 2.2754982 48.8249324, 2.2754832 48.824927, 2.2754607 48.824919, 2.2751009 48.8247907, 2.2750653 48.824778, 2.2750302 48.8247655)",2,,
4795752,True,,Rue Victor Hugo,residential,30,False,327.245,"LINESTRING (2.276692 48.8254713, 2.2766193 48.8255333, 2.2760048 48.8260567, 2.2749267 48.8269748, 2.2748698 48.8270232, 2.2748257 48.8270608, 2.274114 48.827667, 2.2740846 48.8276923, 2.2739632 48.8278023)",,,
152191220,True,D 989,Rue du Général Leclerc,primary,30,False,56.225,"LINESTRING (2.2750302 48.8247655, 2.2744861 48.8245694, 2.2744398 48.8245527, 2.2743547 48.824525)",,,
1105702664,False,,Rue Horace Vernet,residential,30,True,61.885000000000005,"LINESTRING (2.2750302 48.8247655, 2.2749685 48.8248308, 2.274937 48.8248641, 2.2745835 48.825238)",,,
252698924,False,D 76,Rue du Gouverneur Général Éboué,secondary,,True,8.124,"LINESTRING (2.2677645 48.8252334, 2.2676565 48.8252166)",,,
