osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,tunnel,access,width
27003938,True,1,D 4085,Cours Melchior-Donnet,primary,50,False,25.944,"LINESTRING (5.9421327 44.2008266, 5.9422336 44.2008064, 5.9422872 44.2007901, 5.9423301 44.2007718, 5.942363 44.2007528, 5.9424092 44.2007148)",,,,,
490118063,True,1,,Rond-Point Melchior-Donnet,primary,50,False,5.676,"LINESTRING (5.9428118 44.2006881, 5.9428165 44.2007134, 5.9428151 44.2007389)",roundabout,,,,
490118068,True,1,,Rond-Point Melchior-Donnet,primary,50,False,27.487000000000002,"LINESTRING (5.9424092 44.2007148, 5.9424234 44.2006664, 5.9424592 44.2006242, 5.9425127 44.200593, 5.9425776 44.2005763, 5.9426466 44.2005761)",roundabout,,,,
369229784,True,1,D 4085,Cours Melchior-Donnet,primary,50,False,25.79,"LINESTRING (5.9426466 44.2005761, 5.9427264 44.2005612, 5.942825 44.2005444, 5.9429582 44.2005142)",,,,,
490118065,True,1,,Rond-Point Melchior-Donnet,primary,50,False,19.179,"LINESTRING (5.9426466 44.2005761, 5.9426928 44.2005858, 5.9427345 44.200603, 5.9427695 44.2006267, 5.9427957 44.2006556, 5.9428118 44.2006881)",roundabout,,,,
172093525,True,1,D 4085,Avenue de la Libération,primary,50,False,26.232,"LINESTRING (5.9428948 44.1952576, 5.9429279 44.1952353, 5.9429517 44.1952091, 5.9430208 44.1951197, 5.9430602 44.1950558)",,,,,
490164512,True,1,,,primary,,False,10.299,"LINESTRING (5.9428948 44.1952576, 5.9429375 44.1952616, 5.9429751 44.1952767, 5.9430023 44.1953006)",roundabout,,,,
318086765,True,,D 4085,Avenue Paul Arène,primary,,False,24.956,"LINESTRING (5.9429437 44.1954159, 5.9428813 44.1954721, 5.9428324 44.1955341, 5.9427762 44.1956048)",,,,,
490164513,True,1,,,primary,,False,12.327,"LINESTRING (5.9429437 44.1954159, 5.9429059 44.1954216, 5.9428676 44.195418, 5.9428331 44.1954055, 5.9428064 44.1953854)",roundabout,,,,
38147076,False,,,Rue Font-Chaude,residential,,False,97.946,"LINESTRING (5.9453785 44.1994456, 5.9453822 44.1994154, 5.9453899 44.1993152, 5.9453979 44.1991614, 5.945375 44.1990126, 5.945351 44.1988974, 5.9453657 44.198747, 5.9454401 44.1985758)",,,,,
"[30608762, 30608763, 323486366]",False,,D 951,Route de La Motte-du-Caire,secondary,50,False,66.47200000000001,"LINESTRING (5.9453785 44.1994456, 5.9454356 44.1994506, 5.9456971 44.1995023, 5.9460829 44.1995815, 5.9461743 44.1996167)",,yes,,,
"[31519186, 702870795]",False,2,D 951,Route de La Motte-du-Caire,secondary,50,True,255.68499999999997,"LINESTRING (5.9453785 44.1994456, 5.9453397 44.1994479, 5.9452551 44.1994671, 5.9451706 44.199496, 5.9450673 44.1995426, 5.9449748 44.1996008, 5.9449064 44.1996507, 5.9447904 44.1997604, 5.94473 44.1998305, 5.9446844 44.1999007, 5.9446153 44.2000038, 5.9445517 44.2001204, 5.9444859 44.2002534, 5.9444417 44.2003295, 5.9444048 44.2003757, 5.9443693 44.2004089, 5.9443237 44.2004396, 5.9442533 44.2004699, 5.9441743 44.2004949, 5.9441211 44.2005109, 5.943993 44.2005495, 5.9436206 44.2006926, 5.9433695 44.2007766, 5.9432515 44.2008098, 5.9431744 44.2008276, 5.9431106 44.2008335, 5.9430602 44.200835)",,,,,
"[30608762, 30608763, 323486366]",False,,D 951,Route de La Motte-du-Caire,secondary,50,True,66.472,"LINESTRING (5.9461743 44.1996167, 5.9460829 44.1995815, 5.9456971 44.1995023, 5.9454356 44.1994506, 5.9453785 44.1994456)",,yes,,,
"[37231641, 661468740]",False,2,D 951,Route de La Motte-du-Caire,secondary,50,False,36.006,"LINESTRING (5.9461743 44.1996167, 5.9461979 44.1996618, 5.946216 44.1997171, 5.946214 44.1998209, 5.9462064 44.1999358)",,,,,
"[661468739, 409976076]",False,2,D 4,,secondary,50,True,87.155,"LINESTRING (5.9461743 44.1996167, 5.9462023 44.1995824, 5.9462267 44.1995335, 5.9462643 44.1994624, 5.9462985 44.19941, 5.94635 44.1993653, 5.9464177 44.1993197, 5.9465144 44.1992801, 5.9466799 44.199223, 5.9469522 44.199117)",,,,,
1120311553,True,,D 53,,secondary,50,False,12.182,"LINESTRING (5.9422134 44.1952733, 5.942061 44.1952812)",,,,,
