osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,lanes,bridge,access,junction
51096940,True,Rue du Moulin,residential,False,128.011,"LINESTRING (-0.7707892 43.4861676, -0.7708159 43.4860313, -0.7707795 43.485924, -0.7707181 43.4857894, -0.7706355 43.4856083, -0.7703883 43.4850667)",,,,,,
51096960,False,Rue Xavier Darget,primary,False,221.98299999999998,"LINESTRING (-0.7707892 43.4861676, -0.7708454 43.4861656, -0.7709473 43.4861763, -0.7711604 43.4862442, -0.7716508 43.4864028, -0.7717407 43.4864319, -0.7720578 43.4865344, -0.773132 43.4868652, -0.7733272 43.4869216)",D 817,50,,,,
168171922,True,Place Jean Moulin,residential,False,78.89200000000001,"LINESTRING (-0.7707892 43.4861676, -0.7706484 43.4860707, -0.7704615 43.486014, -0.7702969 43.4859807, -0.7702567 43.4860022, -0.770158 43.4861585, -0.7701065 43.4862399)",,,,,,
812821297,False,Rue du Moulin,primary,True,40.896,"LINESTRING (-0.7707892 43.4861676, -0.7706751 43.4862279, -0.7706177 43.4862874, -0.7704954 43.4864585)",D 817,50,,,,
51096965,False,Avenue de la Moutète,primary,False,50.672,"LINESTRING (-0.7765307 43.4878012, -0.7766511 43.4877828, -0.7767771 43.4877351, -0.7768978 43.4876582, -0.7770455 43.4875579)",D 817,50,3,,,
168174707,False,Rue Pierre Lasserre,primary,True,68.95500000000001,"LINESTRING (-0.7765307 43.4878012, -0.7764156 43.4877942, -0.7763265 43.487776, -0.776183 43.4877312, -0.775728 43.4875984)",D 817,50,2,,,
"[50999809, 392569967]",False,Avenue de la Moutète,residential,False,41.565,"LINESTRING (-0.7765307 43.4878012, -0.7765162 43.4878503, -0.7763935 43.4880532, -0.7763238 43.4881418)",,30,,,,
392569961,False,Avenue de la Moutète,primary,True,73.354,"LINESTRING (-0.7777129 43.4871152, -0.7774595 43.4872393, -0.7770455 43.4875579)",D 817,50,3,,,
51096939,False,Rue des Frères Reclus,primary,True,92.71600000000001,"LINESTRING (-0.7764713 43.4845348, -0.7765588 43.4844727, -0.7765758 43.4844598, -0.7766122 43.4844167, -0.776719 43.48429, -0.7768812 43.4841129, -0.7771219 43.4838502)",D 947,,2,,,
72342055,False,Rue des Frères Reclus,primary,False,114.45100000000001,"LINESTRING (-0.7764713 43.4845348, -0.776356 43.4845708, -0.7762165 43.4845767, -0.7760181 43.4845514, -0.7756385 43.4844891, -0.7754953 43.4844719, -0.7754441 43.4844657, -0.7753515 43.4844677, -0.7751638 43.4844755, -0.7750788 43.4844745)",D 947,,,,,
"[611595669, 611595671]",False,Rue Gaston Planté,residential,True,47.742,"LINESTRING (-0.7764713 43.4845348, -0.7764949 43.4845762, -0.776588 43.4847392, -0.7766269 43.4847927, -0.7766734 43.4848492, -0.7767575 43.4849037)",,,,,,
47356933,False,Rue Bourg Vieux,residential,True,63.146,"LINESTRING (-0.7752812 43.4874633, -0.7755099 43.4869202)",,30,,,,
168174707,False,Rue Pierre Lasserre,primary,True,64.914,"LINESTRING (-0.7752812 43.4874633, -0.7745329 43.4872487)",D 817,50,2,,,
168174707,False,Rue Pierre Lasserre,primary,False,39.051,"LINESTRING (-0.7752812 43.4874633, -0.7753716 43.4874916, -0.775728 43.4875984)",D 817,50,2,,,
44450001,False,Rue Jeanne d'Albret,primary,False,82.886,"LINESTRING (-0.7726575 43.488256, -0.7728554 43.4878832, -0.7730509 43.4875677)",D 933,,,,,
383661984,False,Place Brossers,primary,True,110.769,"LINESTRING (-0.7726575 43.488256, -0.7726371 43.4883101, -0.7725956 43.4883675, -0.7724266 43.4884989, -0.7722642 43.4885956, -0.7721946 43.4886371, -0.7717547 43.4888861, -0.7716836 43.4889377)",D 933,,,,,
812821296,True,Rue Saint-Gilles,residential,False,126.277,"LINESTRING (-0.7726575 43.488256, -0.7726111 43.48822, -0.7725363 43.4881782, -0.7722248 43.4880484, -0.7712903 43.4877112)",,30,,,,
44449991,False,Rue du Moulin,primary,False,81.85,"LINESTRING (-0.7699786 43.4870885, -0.7700354 43.4870511, -0.7700636 43.4870131, -0.7703988 43.486597, -0.7704267 43.4865624, -0.7704954 43.4864585)",D 817,30,,,,
812821295,False,Rue Saint-Gilles,primary,True,56.465,"LINESTRING (-0.7699786 43.4870885, -0.7699268 43.4870997, -0.7698704 43.4870968, -0.7698222 43.487091, -0.7696358 43.4869913, -0.7693943 43.4868516)",D 817,30,,,,
44427107,True,Rue des Capucins,tertiary,False,118.747,"LINESTRING (-0.7716836 43.4889377, -0.7717426 43.4889849, -0.7718284 43.4890535, -0.7726291 43.489756)",,,,,,
383661984,False,Place Brossers,primary,False,110.769,"LINESTRING (-0.7716836 43.4889377, -0.7717547 43.4888861, -0.7721946 43.4886371, -0.7722642 43.4885956, -0.7724266 43.4884989, -0.7725956 43.4883675, -0.7726371 43.4883101, -0.7726575 43.488256)",D 933,,,,,
615557472,False,Place du Foirail,primary,True,173.46399999999997,"LINESTRING (-0.7716836 43.4889377, -0.7714945 43.4889951, -0.7714538 43.489016, -0.7714264 43.4890301, -0.770953 43.4892737, -0.7706652 43.4894217, -0.7706188 43.4894456, -0.7700663 43.4897284, -0.770022 43.4897511, -0.7699522 43.4897784, -0.7698932 43.4897923)",D 933,,,,,
"[392570066, 785676411, 74112244, 392570054]",False,,residential,True,43.830999999999996,"LINESTRING (-0.7748411 43.4917222, -0.7746854 43.4916194, -0.7745494 43.4915321, -0.7745349 43.4915221, -0.7744866 43.4914947, -0.7744315 43.4914635)",,,,yes,,
44427099,False,Avenue Henri IV,tertiary,False,80.997,"LINESTRING (-0.7777536 43.4915559, -0.777948 43.4916282, -0.7782043 43.4917236, -0.7785118 43.491838, -0.7786471 43.4918882)",D 415,,,,,
74112167,False,Rue Saint-Pierre,tertiary,True,28.767,"LINESTRING (-0.7777536 43.4915559, -0.7776046 43.4915015, -0.7774197 43.4914704)",,,,,,
"[707796658, 813404535]",False,Avenue du 8 Mai,primary,True,90.453,"LINESTRING (-0.7777536 43.4915559, -0.7778529 43.4915038, -0.7780878 43.4914934, -0.7782971 43.4914841, -0.7784057 43.4914793, -0.7784991 43.4914684, -0.7787072 43.4914341, -0.7788389 43.491407)",,50,,,,
