osmid,oneway,lanes,ref,name,highway,maxspeed,access,reversed,length,geometry,bridge,junction
"[398905096, 875465088, 982045733]",False,"['2', '3']",D 323,Boulevard de Montréal,primary,50,yes,True,211.75500000000002,"LINESTRING (-0.0707769 47.6975541, -0.0713003 47.6975935, -0.0715048 47.6976079, -0.0718953 47.6976326, -0.0720058 47.6976365, -0.0724192 47.6976507, -0.0725591 47.697657, -0.0729259 47.697668, -0.0734438 47.6976819, -0.0735984 47.6976858)",,
420080667,True,1,D 323,Boulevard de Montréal,primary,50,,False,26.064999999999998,"LINESTRING (-0.0707769 47.6975541, -0.0706039 47.6974963, -0.0705242 47.6974626, -0.0704725 47.6974408)",,
420080655,True,1,D 323,Boulevard de Montréal,primary,70,yes,False,33.487,"LINESTRING (-0.0694752 47.6974118, -0.0697379 47.6974861, -0.0697719 47.697506, -0.0698606 47.6975578)",,
28614866,False,,D 12,Place Thiers,secondary,50,yes,False,20.592,"LINESTRING (-0.0695265 47.701141, -0.0695078 47.7011781, -0.0694669 47.7013215)",,
60611529,False,2,D 12,Boulevard Jean Moulin,secondary,50,yes,False,101.352,"LINESTRING (-0.0695265 47.701141, -0.0695216 47.7011077, -0.0694902 47.7010426, -0.0694229 47.700903, -0.0693964 47.7007225, -0.069357 47.7002418)",,
356071628,False,2,D 12,Place Thiers,secondary,50,yes,True,41.815,"LINESTRING (-0.0695265 47.701141, -0.0696272 47.701134, -0.0699324 47.701212, -0.0700557 47.7012419)",,
36927457,True,2,,Rue Saint-Louis,residential,30,,False,351.5570000000001,"LINESTRING (-0.0715723 47.6933721, -0.0716487 47.693393, -0.0735444 47.6939121, -0.0746207 47.6942027, -0.0753454 47.6944243, -0.075877 47.6945176, -0.0759045 47.6945226, -0.0759388 47.6945259)",,
"[37420161, 37420163, 542430446, 36937679, 60611544, 398904024]",False,2,D 12,Boulevard de la République,secondary,50,yes,False,429.52699999999993,"LINESTRING (-0.0715723 47.6933721, -0.0715415 47.6934568, -0.0712428 47.6942795, -0.071015 47.6949697, -0.0709841 47.6950513, -0.0706402 47.6960611, -0.0704477 47.6966327, -0.0704262 47.6966889, -0.0704007 47.696764, -0.0703636 47.6968702, -0.0702725 47.6971344)",yes,
36937679,False,2,D 12,Boulevard de la République,secondary,50,yes,True,114.12,"LINESTRING (-0.0715723 47.6933721, -0.0715979 47.6933015, -0.0718964 47.6924777, -0.0719295 47.6923744)",,
118169720,False,2,,Rue Sainte-Colombe,residential,50,,False,162.708,"LINESTRING (-0.0715723 47.6933721, -0.0715161 47.693362, -0.0698107 47.6930498, -0.0696242 47.6929942, -0.069485 47.6929683)",,
