osmid,highway,oneway,reversed,length,geometry,name,bridge,maxspeed,tunnel,lanes,junction
33131093,residential,False,False,39.117,"LINESTRING (1.8484001 50.9537163, 1.8484198 50.9536644, 1.8485302 50.9533742)",Quai du Rhin,,,,,
729995771,residential,True,False,172.815,"LINESTRING (1.8484001 50.9537163, 1.848462 50.9537243, 1.8485322 50.9537334, 1.8488499 50.9537738, 1.8501605 50.9539403, 1.8506133 50.9540012, 1.850674 50.9540094, 1.8508167 50.9540291)",Quai du Rhin,,,,,
27255323,residential,False,False,157.936,"LINESTRING (1.8482691 50.952258, 1.8482912 50.95218, 1.8485267 50.9513555, 1.8486303 50.9509248, 1.8486442 50.9508576)",Rue du 11 Novembre,,50,,2,
33131101,residential,False,False,78.07900000000001,"LINESTRING (1.8482691 50.952258, 1.8477276 50.9521875, 1.8475672 50.952165, 1.8473991 50.9521358, 1.8471852 50.9520961)",Rue Garibaldi,,,,,
53504410,residential,False,False,214.356,"LINESTRING (1.8482691 50.952258, 1.8484758 50.9522886, 1.8490333 50.9523782, 1.8512352 50.952732)",Avenue du Président Wilson,,,,2,
33131101,residential,False,True,78.07900000000001,"LINESTRING (1.8471852 50.9520961, 1.8473991 50.9521358, 1.8475672 50.952165, 1.8477276 50.9521875, 1.8482691 50.952258)",Rue Garibaldi,,,,,
33131105,residential,False,False,156.535,"LINESTRING (1.8471852 50.9520961, 1.8471905 50.9520519, 1.8473525 50.9506923)",Rue de la Passerelle,,,,,
27255323,residential,False,True,157.936,"LINESTRING (1.8486442 50.9508576, 1.8486303 50.9509248, 1.8485267 50.9513555, 1.8482912 50.95218, 1.8482691 50.952258)",Rue du 11 Novembre,,50,,2,
27255324,residential,True,False,203.782,"LINESTRING (1.8486442 50.9508576, 1.8487752 50.9508785, 1.8496443 50.9510362, 1.8497752 50.9510597, 1.8513352 50.95134, 1.8514421 50.9513592)",Rue Aristide Briand,,,,,
27257241,residential,True,False,59.108,"LINESTRING (1.8484932 50.9489366, 1.8485513 50.949413, 1.848558 50.9494666)",Rue du 11 Novembre,,50,,1,
49960615,residential,True,False,204.09900000000002,"LINESTRING (1.8484932 50.9489366, 1.8512565 50.9487962, 1.8513969 50.948787)",Rue des Soupirants,,,,,
27257241,residential,True,False,32.513999999999996,"LINESTRING (1.8483918 50.9480767, 1.8483984 50.9481364, 1.848424 50.9483684)",Rue du 11 Novembre,,50,,1,
