osmid,oneway,name,highway,reversed,length,geometry,maxspeed,junction,lanes,ref,width,bridge
8029026,True,Rue Jean Pinaud,residential,False,10.948,"LINESTRING (1.4957943 43.5154065, 1.4959142 43.5154527)",,,,,,
42552392,False,Rue Semenobren,residential,True,50.358999999999995,"LINESTRING (1.4957943 43.5154065, 1.4956999 43.5155651, 1.4954924 43.5158014)",,,,,,
78776807,False,Place Guillaume Foures,residential,False,57.25,"LINESTRING (1.4957943 43.5154065, 1.4958102 43.5153626, 1.4960027 43.5151796, 1.4960542 43.5151235, 1.4960775 43.5150949, 1.4961876 43.5149815)",,,,,,
14103740,True,Rue du Fort,residential,False,113.612,"LINESTRING (1.4972248 43.515987, 1.4973762 43.5157438, 1.4974224 43.5156696, 1.4976265 43.5153315, 1.4977348 43.5151918, 1.4978345 43.5150671)",,,,,,
8029029,False,Avenue Salvador Allende,residential,True,102.22800000000001,"LINESTRING (1.5027133 43.514396, 1.5030505 43.514537, 1.5033076 43.5146445, 1.503704 43.5147802, 1.5038411 43.5148106)",,,,,,
21592754,True,Avenue Salvador Allende,residential,False,74.269,"LINESTRING (1.5027133 43.514396, 1.5025572 43.5143682, 1.5024528 43.5142916, 1.5025121 43.514161, 1.5026509 43.5142105, 1.5027131 43.5143263, 1.5027133 43.514396)",30,roundabout,,,,
"[700898630, 881321318, 881321319, 1091816042, 1091816043, 33714203]",False,Avenue de Toulouse,primary,False,173.928,"LINESTRING (1.4972551 43.5182993, 1.4977287 43.5175628, 1.4978441 43.5173462, 1.4979269 43.5171768, 1.4979488 43.5171333, 1.4979621 43.517107, 1.4979976 43.5170446, 1.4980126 43.5170148, 1.498064 43.5169125, 1.4980799 43.5168806, 1.4980907 43.5168587)",,,2,D 813,,
33714203,False,Avenue de Toulouse,primary,True,254.07799999999997,"LINESTRING (1.4972551 43.5182993, 1.4968507 43.5190079, 1.4967815 43.5191364, 1.4967183 43.5192362, 1.4965794 43.5194777, 1.4965364 43.5195526, 1.4961458 43.5202093, 1.4960673 43.5203408, 1.4960295 43.5204042)",,,2,D 813,,
534216829,False,Rue de Broc,residential,True,118.116,"LINESTRING (1.4972551 43.5182993, 1.4970582 43.5182237, 1.4967357 43.5180841, 1.4965097 43.5179893, 1.4962247 43.5178643, 1.496045 43.5177885, 1.4959913 43.5177627)",,,,,,
5181326,False,Place Pierre Richard,residential,False,54.275999999999996,"LINESTRING (1.4989314 43.5153597, 1.4988503 43.5153428, 1.4988019 43.5153302, 1.4984622 43.5152271, 1.4983839 43.5152039, 1.4983006 43.5151939)",,,,D 79,,
79567207,False,Avenue de Toulouse,primary,True,107.04899999999999,"LINESTRING (1.4989314 43.5153597, 1.4988881 43.5154309, 1.4988581 43.5154829, 1.4988386 43.515516, 1.4985858 43.5159574, 1.4984567 43.5161757, 1.4984129 43.5162459)",,,2,D 813,,
79568788,False,Avenue du Lauragais,primary,False,117.60999999999999,"LINESTRING (1.4989314 43.5153597, 1.4989757 43.5152896, 1.4989896 43.5152659, 1.4992318 43.5148878, 1.4994252 43.5145895, 1.4994934 43.5144843, 1.4995524 43.5144028)",,,2,D 813,,
64443580,False,Avenue du Lauragais,primary,False,68.087,"LINESTRING (1.5003097 43.5133347, 1.5004197 43.5132261, 1.5004459 43.5131964, 1.5006837 43.5129273, 1.5006997 43.5129101, 1.5007716 43.5128225)",50,,,D 813,,
79568788,False,Avenue du Lauragais,primary,True,33.182,"LINESTRING (1.5003097 43.5133347, 1.5002468 43.5134033, 1.5001035 43.5135927)",,,2,D 813,,
21043795,False,Impasse des Romains,residential,False,43.857,"LINESTRING (1.4926166 43.5209097, 1.4925812 43.5208317, 1.4925027 43.5206827, 1.4924256 43.5205405)",,,,,,
45822530,False,Avenue du Docteur Louis Delherm,residential,False,128.126,"LINESTRING (1.4926166 43.5209097, 1.4928145 43.5208377, 1.4930541 43.5207121, 1.4933761 43.5205265, 1.4936567 43.5203222, 1.4938321 43.5201801)",,,,,,
45822530,False,Avenue du Docteur Louis Delherm,residential,True,64.695,"LINESTRING (1.4926166 43.5209097, 1.4923673 43.5210097, 1.4921342 43.5211148, 1.4919311 43.5212115)",,,,,,
