osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge,junction
81755032,D 982,Avenue Gambetta,secondary,False,False,97.41,"LINESTRING (2.3072159 45.542629, 2.307286 45.5427533, 2.3073326 45.5428333, 2.3073947 45.5429016, 2.3074801 45.5429844, 2.3079202 45.543343)",,,,
81768447,D 982,Route de Neuvic,secondary,False,False,24.479,"LINESTRING (2.3072159 45.542629, 2.3071792 45.5425258, 2.3071505 45.5424138)",,,,
81755032,D 982,Avenue Gambetta,secondary,False,True,97.41000000000001,"LINESTRING (2.3079202 45.543343, 2.3074801 45.5429844, 2.3073947 45.5429016, 2.3073326 45.5428333, 2.307286 45.5427533, 2.3072159 45.542629)",,,,
168108722,,Boulevard Victor Giraud,residential,False,True,262.02,"LINESTRING (2.3079202 45.543343, 2.3079902 45.5432654, 2.3080046 45.5431788, 2.3079612 45.5430646, 2.3078654 45.542704, 2.3079743 45.5422908, 2.308118 45.5420545, 2.3081261 45.5420291, 2.3083044 45.5417218, 2.3085253 45.5414833, 2.3088154 45.54117)",,,,
232880228,D 982,Avenue Gambetta,secondary,False,False,65.19,"LINESTRING (2.3079202 45.543343, 2.3080604 45.5434771, 2.3082762 45.5436923, 2.3083892 45.543828)",,,,
81744882,D 1089,Avenue Thiers,primary,False,True,63.138,"LINESTRING (2.3084055 45.5463524, 2.3076108 45.5462399)",,,,
9385081,,Place Alsace Lorraine,residential,False,False,35.694,"LINESTRING (2.3084055 45.5463524, 2.3084958 45.5464582, 2.3086376 45.5466292)",20,,,
81739846,D 1089,Boulevard Victor Hugo,primary,True,False,103.445,"LINESTRING (2.3084055 45.5463524, 2.3085647 45.5463668, 2.3091188 45.5463005, 2.3092391 45.5462861, 2.3094153 45.5463, 2.3095796 45.546313, 2.3097185 45.5463301)",,,,
232880227,D 982,Avenue Gambetta,secondary,False,True,146.82,"LINESTRING (2.3084055 45.5463524, 2.3085475 45.5458515, 2.3087998 45.5451374, 2.3088252 45.5450655)",,,,
81744882,D 1089,Avenue Thiers,primary,False,False,63.138,"LINESTRING (2.3076108 45.5462399, 2.3084055 45.5463524)",,,,
81744882,D 1089,Avenue Thiers,primary,False,True,12.085,"LINESTRING (2.3076108 45.5462399, 2.3074575 45.546223)",,,,
