osmid,oneway,highway,reversed,length,bridge,name,geometry,ref,lanes
"[73280514, 73280523, 72896695]",True,primary,False,352.524,yes,Ngwane Street,"LINESTRING (31.3711089 -26.4979069, 31.3713508 -26.4978654, 31.3718909 -26.4977677, 31.3730797 -26.4975392, 31.3734975 -26.4974629, 31.3743101 -26.4973226, 31.3745066 -26.4973172, 31.3745849 -26.4973109)",,
77155117,False,secondary,True,7.463,,,"LINESTRING (31.3655422 -26.4966973, 31.3654675 -26.4966914)",D93,
71444576,True,trunk,False,49.458,,,"LINESTRING (31.3655422 -26.4966973, 31.3655438 -26.4968344, 31.3655756 -26.4970079, 31.3656123 -26.4971356)",MR3,2
77155117,False,secondary,False,7.463,,,"LINESTRING (31.3654675 -26.4966914, 31.3655422 -26.4966973)",D93,
77155117,False,secondary,True,33.913000000000004,,,"LINESTRING (31.3654675 -26.4966914, 31.3653283 -26.4966457, 31.365164 -26.4965559)",D93,
166776244,True,trunk,False,152.29700000000003,,,"LINESTRING (31.3654675 -26.4966914, 31.3654938 -26.4965631, 31.3655464 -26.4964283, 31.3656611 -26.496255, 31.3657974 -26.4960989, 31.3661129 -26.4958529, 31.3663948 -26.4956522)",MR3,2
655138953,True,trunk,False,9.566,,,"LINESTRING (31.3657655 -26.4978074, 31.3658616 -26.4978093)",MR3,
73280517,True,trunk,False,76.282,,,"LINESTRING (31.3657655 -26.4978074, 31.3655869 -26.4973844, 31.3655247 -26.4971573)",MR3,2
166776244,True,trunk,False,12.998,,,"LINESTRING (31.3654582 -26.496808, 31.3654675 -26.4966914)",MR3,2
77137621,False,secondary,False,37.655,,,"LINESTRING (31.3659543 -26.4982249, 31.3661226 -26.4985282)",D98,
73269997,True,secondary,False,38.76,,,"LINESTRING (31.3659543 -26.4982249, 31.3658376 -26.4980557, 31.3657627 -26.4979218)",D98,
73280498,True,primary,False,51.0,,,"LINESTRING (31.3710715 -26.4983475, 31.3707493 -26.4982297, 31.370599 -26.49817)",,
