osmid,highway,oneway,reversed,length,geometry,lanes,junction,name
76377198,unclassified,False,True,165.969,"LINESTRING (27.0623702 -14.9889783, 27.0627675 -14.9880074, 27.0628648 -14.9877603, 27.062925 -14.9875855)",,,
254151906,residential,False,False,257.183,"LINESTRING (27.0623702 -14.9889783, 27.0621042 -14.9888529, 27.0615201 -14.9885583, 27.0609086 -14.9882901, 27.0604526 -14.9880932, 27.0603089 -14.988044, 27.0601999 -14.9880059)",,,
254151906,residential,False,True,84.60499999999999,"LINESTRING (27.0623702 -14.9889783, 27.0627647 -14.9891412, 27.0630973 -14.9892708)",,,
254151906,residential,False,False,84.60499999999999,"LINESTRING (27.0630973 -14.9892708, 27.0627647 -14.9891412, 27.0623702 -14.9889783)",,,
254151906,residential,False,True,64.744,"LINESTRING (27.0630973 -14.9892708, 27.0635318 -14.9893744, 27.0636823 -14.9894111)",,,
76377198,unclassified,False,False,92.411,"LINESTRING (27.0641349 -14.9845441, 27.0640931 -14.9846364, 27.0638189 -14.985317)",,,
688644573,unclassified,True,False,27.357,"LINESTRING (27.0641349 -14.9845441, 27.0641378 -14.9844395, 27.0641357 -14.984398, 27.064126 -14.9842986)",,,
254264200,residential,False,True,190.271,"LINESTRING (27.0604267 -14.9827408, 27.0603041 -14.9833188, 27.0602596 -14.9834567, 27.0601901 -14.9835921, 27.0596792 -14.9842539)",,,
688644571,residential,False,False,112.297,"LINESTRING (27.0604267 -14.9827408, 27.0609784 -14.9827934, 27.0614692 -14.9827778)",2,,
254151905,unclassified,False,False,278.812,"LINESTRING (27.0639401 -14.9841326, 27.0633226 -14.9837287, 27.0624562 -14.9832338, 27.0619064 -14.982954, 27.061714 -14.9828471)",,,
688644575,unclassified,True,False,24.191000000000003,"LINESTRING (27.0639401 -14.9841326, 27.064095 -14.9841867, 27.064153 -14.9842033)",,,
254151908,unclassified,True,False,24.967,"LINESTRING (27.0641204 -14.9842742, 27.0640582 -14.9842231, 27.0640038 -14.9841796, 27.0639401 -14.9841326)",,,
254151911,unclassified,True,False,8.942,"LINESTRING (27.0641204 -14.9842742, 27.0641225 -14.9842492, 27.0641283 -14.9842347, 27.0641386 -14.9842173, 27.064153 -14.9842033)",,roundabout,
254151905,unclassified,False,False,27.451999999999998,"LINESTRING (27.061714 -14.9828471, 27.0615792 -14.9828012, 27.0614692 -14.9827778)",,,
254151905,unclassified,False,True,278.812,"LINESTRING (27.061714 -14.9828471, 27.0619064 -14.982954, 27.0624562 -14.9832338, 27.0633226 -14.9837287, 27.0639401 -14.9841326)",,,
254151911,unclassified,True,False,2.779,"LINESTRING (27.064126 -14.9842986, 27.0641204 -14.9842742)",,roundabout,
254151911,unclassified,True,False,1.848,"LINESTRING (27.0642509 -14.9843414, 27.0642349 -14.9843475)",,roundabout,
