y,x,street_count,ref,highway,geometry
52.5652055,13.3355015,3,,,POINT (13.3355015 52.5652055)
52.567033,13.3466053,4,,,POINT (13.3466053 52.567033)
52.567738,13.3522545,3,,,POINT (13.3522545 52.567738)
52.5640785,13.3395649,3,,,POINT (13.3395649 52.5640785)
52.5633962,13.3428999,3,,,POINT (13.3428999 52.5633962)
52.5587879,13.337379,4,,,POINT (13.337379 52.5587879)
52.5626133,13.3306446,5,,,POINT (13.3306446 52.5626133)
52.5640457,13.3277078,4,,,POINT (13.3277078 52.5640457)
52.5659135,13.3202273,3,,,POINT (13.3202273 52.5659135)
52.574667,13.3460039,3,,,POINT (13.3460039 52.574667)
52.5736764,13.3521078,4,,,POINT (13.3521078 52.5736764)
52.5732494,13.3589742,3,,,POINT (13.3589742 52.5732494)
52.5703344,13.3608121,4,,,POINT (13.3608121 52.5703344)
52.5115569,13.2862166,3,7,motorway_junction,POINT (13.2862166 52.5115569)
52.5142646,13.2864666,3,,,POINT (13.2864666 52.5142646)
52.5321687,13.2866424,3,4,motorway_junction,POINT (13.2866424 52.5321687)
52.4948346,13.2678955,3,1,motorway_junction,POINT (13.2678955 52.4948346)
52.4996552,13.2786268,3,,,POINT (13.2786268 52.4996552)
52.5002536,13.2803717,3,,,POINT (13.2803717 52.5002536)
52.5396172,13.2953708,4,,,POINT (13.2953708 52.5396172)
52.5465246,13.2994775,3,10,motorway_junction,POINT (13.2994775 52.5465246)
52.5163525,13.2843518,3,,,POINT (13.2843518 52.5163525)
52.5107227,13.2850888,3,,,POINT (13.2850888 52.5107227)
52.5081564,13.283215,3,8,motorway_junction,POINT (13.283215 52.5081564)
52.5438613,13.2972841,3,,,POINT (13.2972841 52.5438613)
52.5396362,13.2948929,4,,,POINT (13.2948929 52.5396362)
52.4672819,13.2343654,3,2,motorway_junction,POINT (13.2343654 52.4672819)
52.4712229,13.2393194,3,,,POINT (13.2393194 52.4712229)
52.471589,13.239473,3,2,motorway_junction,POINT (13.239473 52.471589)
52.4674241,13.2341675,3,,,POINT (13.2341675 52.4674241)
52.4364773,13.1950953,3,3,motorway_junction,POINT (13.1950953 52.4364773)
52.4173231,13.196603,3,,,POINT (13.196603 52.4173231)
52.5563258,13.3081905,3,,,POINT (13.3081905 52.5563258)
52.560427,13.3218626,4,,,POINT (13.3218626 52.560427)
52.5616065,13.3261419,4,,,POINT (13.3261419 52.5616065)
52.562555,13.3267151,4,,,POINT (13.3267151 52.562555)
52.5605545,13.3217079,4,,,POINT (13.3217079 52.5605545)
52.5564624,13.3077926,4,,,POINT (13.3077926 52.5564624)
52.5546648,13.30608,3,,,POINT (13.30608 52.5546648)
52.5734198,13.3590031,4,,,POINT (13.3590031 52.5734198)
52.5737852,13.3521326,3,,,POINT (13.3521326 52.5737852)
52.574399,13.3478076,4,,,POINT (13.3478076 52.574399)
52.5587248,13.3372853,4,,,POINT (13.3372853 52.5587248)
52.5735124,13.3314869,4,,,POINT (13.3314869 52.5735124)
52.5692466,13.3299953,4,,,POINT (13.3299953 52.5692466)
52.5641459,13.3278399,4,,,POINT (13.3278399 52.5641459)
52.5758155,13.3479319,4,,,POINT (13.3479319 52.5758155)
52.575514,13.3492602,3,,,POINT (13.3492602 52.575514)
52.5747311,13.3542954,3,,,POINT (13.3542954 52.5747311)
52.5774346,13.3479569,3,,,POINT (13.3479569 52.5774346)
52.5758411,13.3477448,3,,,POINT (13.3477448 52.5758411)
52.5744188,13.3476663,4,,,POINT (13.3476663 52.5744188)
52.5674533,13.3514095,4,,,POINT (13.3514095 52.5674533)
52.5678354,13.3526642,3,,,POINT (13.3526642 52.5678354)
52.5659873,13.3202723,4,,,POINT (13.3202723 52.5659873)
52.5669065,13.3164546,4,,,POINT (13.3164546 52.5669065)
52.5684675,13.3547004,3,,,POINT (13.3547004 52.5684675)
52.5674192,13.3511359,4,,,POINT (13.3511359 52.5674192)
52.5625497,13.3304675,4,,,POINT (13.3304675 52.5625497)
52.5705371,13.3345325,3,,,POINT (13.3345325 52.5705371)
52.5733934,13.3346526,3,,,POINT (13.3346526 52.5733934)
52.5265183,13.4477618,4,,,POINT (13.4477618 52.5265183)
52.5129765,13.4813831,3,,,POINT (13.4813831 52.5129765)
52.5105471,13.5187964,3,,,POINT (13.5187964 52.5105471)
52.5134631,13.5188501,4,,,POINT (13.5188501 52.5134631)
52.5375413,13.4287152,4,,,POINT (13.4287152 52.5375413)
52.5295625,13.4444738,4,,,POINT (13.4444738 52.5295625)
52.5141613,13.4696307,3,,,POINT (13.4696307 52.5141613)
52.5223724,13.4506044,4,,,POINT (13.4506044 52.5223724)
52.5147994,13.4633198,3,,,POINT (13.4633198 52.5147994)
52.5134573,13.5191924,4,,,POINT (13.5191924 52.5134573)
52.5103805,13.5191485,3,,,POINT (13.5191485 52.5103805)
52.5098901,13.5177311,3,,,POINT (13.5177311 52.5098901)
52.5100388,13.5137063,3,,,POINT (13.5137063 52.5100388)
52.5342644,13.4374057,4,,,POINT (13.4374057 52.5342644)
52.5096136,13.5175412,3,,,POINT (13.5175412 52.5096136)
52.5134273,13.4768542,4,,,POINT (13.4768542 52.5134273)
52.5517188,13.4304841,3,,,POINT (13.4304841 52.5517188)
52.5565169,13.4292351,4,,,POINT (13.4292351 52.5565169)
52.5510442,13.4299934,4,,,POINT (13.4299934 52.5510442)
52.5830418,13.4286107,4,,,POINT (13.4286107 52.5830418)
52.6274264,13.4278594,3,2,motorway_junction,POINT (13.4278594 52.6274264)
52.5162188,13.2606308,4,,,POINT (13.2606308 52.5162188)
52.5160816,13.2549406,4,,,POINT (13.2549406 52.5160816)
52.5156307,13.2502624,3,,,POINT (13.2502624 52.5156307)
52.5149222,13.2486159,3,,,POINT (13.2486159 52.5149222)
52.5119682,13.2404671,4,,,POINT (13.2404671 52.5119682)
52.5075329,13.2422722,4,,,POINT (13.2422722 52.5075329)
52.516327,13.2571429,4,,,POINT (13.2571429 52.516327)
52.5100401,13.2711423,3,,,POINT (13.2711423 52.5100401)
52.5097265,13.2715418,3,,,POINT (13.2715418 52.5097265)
52.50884,13.2726912,3,,,POINT (13.2726912 52.50884)
52.506368,13.2802152,4,,,POINT (13.2802152 52.506368)
52.5090363,13.2716159,3,,,POINT (13.2716159 52.5090363)
52.5086784,13.2611617,4,,,POINT (13.2611617 52.5086784)
52.5009116,13.267088,3,,,POINT (13.267088 52.5009116)
52.4990539,13.2712059,3,,,POINT (13.2712059 52.4990539)
52.4998984,13.2735408,3,,,POINT (13.2735408 52.4998984)
