osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,bridge,maxspeed
133207710,True,1,39,primary,False,13.806000000000001,"LINESTRING (22.1329792 42.9657007, 22.1329075 42.9657324, 22.1328315 42.9657617)",,,
552822548,False,,,residential,True,50.607,"LINESTRING (22.1318864 42.9674955, 22.1319096 42.9670407)",,,
133207760,False,,,residential,False,60.758,"LINESTRING (22.1318864 42.9674955, 22.1319789 42.9676232, 22.1320496 42.9677602, 22.1321511 42.9680046)",,,
552822548,False,,,residential,False,36.897,"LINESTRING (22.1318864 42.9674955, 22.1317969 42.9677549, 22.1317611 42.9678136)",,,
877625631,False,,39,primary,False,48.498,"LINESTRING (22.1274704 42.9648129, 22.1271012 42.9644705)",,,
877615160,True,,,residential,False,26.014000000000003,"LINESTRING (22.1274704 42.9648129, 22.1276378 42.9648479, 22.1277722 42.9648889)",,,
877625631,False,,39,primary,True,88.049,"LINESTRING (22.1274704 42.9648129, 22.1275295 42.9648704, 22.127594 42.9649398, 22.1276411 42.9649935, 22.1276861 42.9650478, 22.1277324 42.9651109, 22.1278119 42.9652292, 22.1278914 42.9653553, 22.1279382 42.9654284, 22.1279861 42.9655065)",,,
133207718,False,,39,primary,False,28.810000000000002,"LINESTRING (22.126058 42.9635973, 22.1260306 42.9635653, 22.1259968 42.963516, 22.12596 42.9634512, 22.1259151 42.963361)",,,
133207718,False,,39,primary,True,9.036000000000001,"LINESTRING (22.126058 42.9635973, 22.1260922 42.9636208, 22.1261422 42.9636502)",,,
133207765,False,,,residential,True,182.011,"LINESTRING (22.126058 42.9635973, 22.1256549 42.9638122, 22.1252808 42.964002, 22.1249394 42.9642453, 22.1248546 42.9643036, 22.1245084 42.9644531, 22.1242591 42.9645586)",Босанска,,
133207718,False,,39,primary,False,63.857,"LINESTRING (22.1245287 42.9617183, 22.1238406 42.9619944)",,,
133207718,False,,39,primary,True,19.274,"LINESTRING (22.1245287 42.9617183, 22.1246193 42.9616868, 22.1246682 42.9616704, 22.12475 42.9616612)",,,
133207718,False,,39,primary,True,63.857,"LINESTRING (22.1238406 42.9619944, 22.1245287 42.9617183)",,,
133207718,False,,39,primary,False,133.314,"LINESTRING (22.1238406 42.9619944, 22.1231117 42.9623152, 22.1225435 42.962577, 22.1224383 42.9626133)",,,
133207781,False,,,residential,False,196.996,"LINESTRING (22.1238406 42.9619944, 22.1241734 42.9622861, 22.124825 42.96283, 22.1248818 42.9628579, 22.1255367 42.9629192, 22.1256344 42.9629196, 22.1257189 42.9629049)",Васе Чарапића,,
133207718,False,,39,primary,False,19.274,"LINESTRING (22.12475 42.9616612, 22.1246682 42.9616704, 22.1246193 42.9616868, 22.1245287 42.9617183)",,,
133207718,False,,39,primary,True,56.957,"LINESTRING (22.12475 42.9616612, 22.124832 42.961664, 22.1248907 42.961675, 22.1249417 42.9616883, 22.1250125 42.9617137, 22.1250864 42.9617436, 22.1251508 42.9617702, 22.1252082 42.9617968, 22.1252479 42.9618224, 22.1252748 42.9618434, 22.1252982 42.9618654, 22.1253133 42.9618865, 22.1253285 42.9619096)",,,
133207745,False,,,residential,True,167.132,"LINESTRING (22.12475 42.9616612, 22.1247521 42.9616066, 22.1247759 42.9615649, 22.1252675 42.9609811, 22.125316 42.9609454, 22.1254055 42.9609181, 22.1254946 42.9609089, 22.126218 42.9608774)",Ђуре Ђаковића,,
133207718,False,,39,primary,True,133.314,"LINESTRING (22.1224383 42.9626133, 22.1225435 42.962577, 22.1231117 42.9623152, 22.1238406 42.9619944)",,,
133207728,False,,,residential,True,126.50800000000001,"LINESTRING (22.1224383 42.9626133, 22.122818 42.9630141, 22.1232457 42.9634563, 22.1233283 42.9635461)",Саве Ковачевића,,
133207718,False,,39,primary,False,115.15200000000002,"LINESTRING (22.1257189 42.9629049, 22.125693 42.9628357, 22.1255422 42.9624317, 22.1254354 42.9621697, 22.125382 42.9620377, 22.1253552 42.9619707, 22.1253285 42.9619096)",,,
133207718,False,,39,primary,True,53.17,"LINESTRING (22.1257189 42.9629049, 22.1257939 42.9630777, 22.1258526 42.9632179, 22.1259151 42.963361)",,,
133207781,False,,,residential,True,196.99599999999998,"LINESTRING (22.1257189 42.9629049, 22.1256344 42.9629196, 22.1255367 42.9629192, 22.1248818 42.9628579, 22.124825 42.96283, 22.1241734 42.9622861, 22.1238406 42.9619944)",Васе Чарапића,,
133207718,False,,39,primary,False,9.036000000000001,"LINESTRING (22.1261422 42.9636502, 22.1260922 42.9636208, 22.126058 42.9635973)",,,
"[877625632, 133207718, 877625631]",False,,39,primary,True,31.139,"LINESTRING (22.1261422 42.9636502, 22.1261755 42.9636724, 22.1263237 42.9637721, 22.1264242 42.9638395)",,yes,
133207761,False,,,residential,True,231.433,"LINESTRING (22.1261422 42.9636502, 22.1260997 42.9638025, 22.1260493 42.9642277, 22.1260148 42.9645913, 22.1260079 42.9648736, 22.1260127 42.9649484, 22.1260776 42.9653024, 22.1260971 42.9654897, 22.1260699 42.9657212)",Стевана Синђелића,,
