osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes
77157356,108,Вељка Влаховића,secondary,50,False,True,131.88400000000001,"LINESTRING (19.5274695 45.6127271, 19.5273034 45.6126183, 19.5263212 45.6120129, 19.5261993 45.6119416)",,
78167753,108,Исе Бајића,secondary,50,False,False,60.034,"LINESTRING (19.5274695 45.6127271, 19.5276201 45.6128198, 19.5280352 45.6130943)",,
263489159,15,Маршала Тита,primary,50,False,False,528.683,"LINESTRING (19.5274695 45.6127271, 19.5276395 45.6126076, 19.5283877 45.612086, 19.5284452 45.6120476, 19.5290551 45.6116419, 19.5291056 45.6116102, 19.529509 45.6113565, 19.5295552 45.6113275, 19.5302173 45.6109293, 19.5311566 45.6103953, 19.5313156 45.6103064, 19.5324693 45.6096622, 19.5325824 45.6096013)",,
29372289,,Стевана Сремца,residential,50,False,False,188.786,"LINESTRING (19.5331154 45.6093297, 19.5331757 45.6094093, 19.533974 45.6104, 19.534154 45.6106617, 19.5342505 45.6108286)",,
263489159,15,Маршала Тита,primary,50,False,False,202.67900000000003,"LINESTRING (19.5331154 45.6093297, 19.5335267 45.6091901, 19.5337916 45.6091001, 19.5341044 45.6090048, 19.5352763 45.6086434, 19.5354928 45.608585)",,
263489159,15,Маршала Тита,primary,50,False,True,51.31,"LINESTRING (19.5331154 45.6093297, 19.5330378 45.6093642, 19.5325824 45.6096013)",,
77157356,108,Вељка Влаховића,secondary,50,False,False,24.253,"LINESTRING (19.5259683 45.6117951, 19.5260943 45.611875, 19.5261993 45.6119416)",,
"[29114283, 219506653, 219506655]",108,Вељка Влаховића,secondary,50,False,True,111.98799999999999,"LINESTRING (19.5259683 45.6117951, 19.5256969 45.6116231, 19.5256344 45.6115834, 19.5255888 45.6115545, 19.5252096 45.6113168, 19.5249141 45.6111096)",yes,2
29562256,,Соње Маринковић,residential,40,False,True,215.622,"LINESTRING (19.5312168 45.6058622, 19.5297448 45.6075053)",,
29372013,,Саве Ковачевића,residential,40,False,True,227.39299999999997,"LINESTRING (19.5312168 45.6058622, 19.5332604 45.6071164, 19.5333366 45.6071629, 19.5334127 45.607212)",,
