osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge,access
374491450,Мике Голубовића,residential,False,True,5.363,"LINESTRING (20.9567066 44.3684551, 20.9566393 44.3684585)",,,,,
28368434,Вука Караџића,residential,False,False,77.414,"LINESTRING (20.9567066 44.3684551, 20.9567895 44.3684373, 20.9568715 44.3684125, 20.9569393 44.3683886, 20.9570179 44.3683541, 20.9571166 44.3683063, 20.9572449 44.3682441, 20.9575363 44.3680976)",,,,,
943874071,Булевар краља Петра првог,secondary,True,False,161.64499999999998,"LINESTRING (20.9567066 44.3684551, 20.9567092 44.3688673, 20.9567173 44.3691223, 20.9567173 44.3693716, 20.9567173 44.369549, 20.9567159 44.3696563, 20.9567119 44.369733, 20.9566972 44.3698356, 20.9566838 44.3699075)",156,,,,
28367979,Шулејићева,residential,False,False,163.921,"LINESTRING (20.9601904 44.366813, 20.9614558 44.367977)",,50,,,
28368434,Вука Караџића,residential,False,False,127.953,"LINESTRING (20.9601904 44.366813, 20.9615722 44.3662228)",,,,,
28368434,Вука Караџића,residential,False,True,163.036,"LINESTRING (20.9601904 44.366813, 20.9585231 44.3676669)",,,,,
131279956,Светог Саве,residential,True,False,183.58,"LINESTRING (20.9601904 44.366813, 20.959426 44.3658467, 20.9593985 44.3658057, 20.9590695 44.3653697)",,,,,
220703892,Карађорђева,secondary,False,True,63.62,"LINESTRING (20.9562429 44.3651733, 20.9560973 44.3646107)",156,,,,
536621810,Главашева,secondary,False,True,65.795,"LINESTRING (20.9562429 44.3651733, 20.9554771 44.3653978)",147,,,,
181355670,Француска,secondary,False,False,192.04399999999998,"LINESTRING (20.9562429 44.3651733, 20.9573061 44.3648648, 20.9584669 44.3644993)",147,50,2,,
684740529,Трг хероја,secondary,False,False,127.548,"LINESTRING (20.9562429 44.3651733, 20.956343 44.3655143, 20.9564293 44.3657931, 20.9565483 44.3661086, 20.9566162 44.3662885)",156,,,,
220703892,Карађорђева,secondary,False,False,18.521,"LINESTRING (20.9553296 44.362974, 20.9554326 44.3631234)",156,,,,
