osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry,junction
4679836,True,2,Avenue Of The Republic,secondary,False,81.129,,"LINESTRING (-58.164738 6.8129615, -58.1649575 6.8122652)",
"[1124370992, 1124370993, 4679834]",True,2,North Road,tertiary,False,23.626000000000005,yes,"LINESTRING (-58.164738 6.8129615, -58.1647736 6.8129718, -58.1649166 6.8130133, -58.1649434 6.8130211)",
87352230,True,2,Main Street,secondary,False,14.213,,"LINESTRING (-58.1650328 6.8136385, -58.1650351 6.8135107)",
436603242,True,2,Church Street,secondary,False,40.147000000000006,,"LINESTRING (-58.1650328 6.8136385, -58.164964 6.8135681, -58.1648594 6.8134988, -58.1647282 6.813453)",
436603236,True,2,Church Street,tertiary,False,27.924,,"LINESTRING (-58.1646471 6.8134247, -58.1644052 6.8133514)",
4679836,True,2,Avenue Of The Republic,secondary,False,20.534,,"LINESTRING (-58.1646471 6.8134247, -58.1646304 6.8133829, -58.1646325 6.8133491, -58.1646574 6.8132462)",
34378915,True,2,Avenue Of The Republic,secondary,False,59.834,,"LINESTRING (-58.1659308 6.8097495, -58.1657788 6.810266)",
55946950,True,2,Croal Street,tertiary,False,98.106,,"LINESTRING (-58.1659308 6.8097495, -58.1667807 6.8100069)",
436603243,True,2,Avenue Of The Republic,secondary,False,35.525,,"LINESTRING (-58.1649434 6.8130211, -58.1648664 6.8133313)",
443651425,True,2,North Road,tertiary,False,46.589,,"LINESTRING (-58.1649434 6.8130211, -58.1653489 6.813137)",
"[436603243, 443629084]",True,2,"['Church Street', 'Avenue Of The Republic']",secondary,False,29.77,,"LINESTRING (-58.1648664 6.8133313, -58.1648713 6.8133713, -58.1648805 6.8134072, -58.1648914 6.8134285, -58.1649103 6.8134462, -58.1649376 6.8134678, -58.1649702 6.8134851, -58.1650351 6.8135107)",
443629085,True,2,Church Street,secondary_link,False,21.445,,"LINESTRING (-58.1648664 6.8133313, -58.1648329 6.8133942, -58.1647944 6.8134291, -58.1647282 6.813453)",
4680290,True,2,Main Street,secondary,False,11.127,,"LINESTRING (-58.1651896 6.8135561, -58.1652247 6.8136499)",
436603250,True,2,Church Street,tertiary,False,140.46199999999996,,"LINESTRING (-58.1651896 6.8135561, -58.1662039 6.8138271, -58.1662555 6.8138297, -58.1662824 6.813826, -58.1662999 6.813823, -58.1663106 6.8138173, -58.1663332 6.8138058, -58.1663673 6.8137881, -58.1664114 6.8137664)",
35770432,True,2,Robb Street,tertiary,False,170.653,,"LINESTRING (-58.1605395 6.811056, -58.1590488 6.8106505)",
968594593,False,2,Camp Street,secondary,False,94.519,,"LINESTRING (-58.1605395 6.811056, -58.1607583 6.8102342)",
968594594,False,2,Camp Street,secondary,True,82.889,,"LINESTRING (-58.1605395 6.811056, -58.1603313 6.8117722)",
32613776,True,2,King Street,tertiary,False,49.712,,"LINESTRING (-58.1638429 6.8119601, -58.163734 6.8123939)",
35770432,True,2,Robb Street,tertiary,False,189.037,,"LINESTRING (-58.1638429 6.8119601, -58.1621917 6.8115106)",
4679836,True,2,Avenue Of The Republic,secondary,False,97.011,,"LINESTRING (-58.1649575 6.8122652, -58.1652064 6.8114285)",
35770432,True,2,Robb Street,tertiary,False,127.654,,"LINESTRING (-58.1649575 6.8122652, -58.1638429 6.8119601)",
