osmid,oneway,name,highway,reversed,length,lanes,ref,maxspeed,geometry,bridge,junction
228946605,True,Rue Jugurtha,residential,False,30.228,,,,"LINESTRING (6.9087943 36.877912, 6.9091073 36.8780179)",,
280411184,True,Rue Didouche Mourad,primary,False,95.893,2,RN 3,40,"LINESTRING (6.9087943 36.877912, 6.9083521 36.8786985)",,
168946057,False,Avenue Mustapha Ben Boulaid,residential,False,5.698,,,,"LINESTRING (6.9065864 36.8818557, 6.9066461 36.8818743)",,
168946057,False,Avenue Mustapha Ben Boulaid,residential,True,19.589,,,,"LINESTRING (6.9065864 36.8818557, 6.9063863 36.8817821)",,
284332361,True,Rue Didouche Mourad,primary,False,86.731,2,RN 3,,"LINESTRING (6.9065864 36.8818557, 6.9069638 36.8811365)",,
284330341,True,,unclassified,False,10.748000000000001,,,40,"LINESTRING (6.9060199 36.8841457, 6.9059972 36.8841298, 6.9059765 36.8841122, 6.9059582 36.884093, 6.9059423 36.8840724)",,
287202900,True,Boulevard Brahim Maiza,primary,False,78.987,2,,60,"LINESTRING (6.9081236 36.883342, 6.9086621 36.8833255, 6.9090112 36.8833191)",,
410084563,True,,secondary,False,171.50999999999996,,,,"LINESTRING (6.9092194 36.8833807, 6.9093483 36.8833782, 6.909407 36.8833783, 6.909469 36.8833802, 6.9103352 36.8834126, 6.9104245 36.883411, 6.9105246 36.8834079, 6.9108383 36.883381, 6.910912 36.8833711, 6.9109891 36.883358, 6.9111379 36.8833295)",,
287202900,True,Boulevard Brahim Maiza,primary,False,18.943,2,,60,"LINESTRING (6.9090112 36.8833191, 6.9092239 36.8833279)",,
332479698,True,,primary_link,False,18.637999999999998,,,,"LINESTRING (6.9090112 36.8833191, 6.9090362 36.8833386, 6.9090504 36.8833641, 6.909052 36.883392, 6.9090407 36.8834185, 6.9090181 36.8834398, 6.9089873 36.8834529)",yes,
41932909,True,Boulevard Brahim Maiza,primary,False,126.71100000000001,2,,60,"LINESTRING (6.9106391 36.8834695, 6.910396 36.8835033, 6.9103062 36.8835098, 6.910216 36.8835107, 6.9100604 36.8835064, 6.90922 36.8834667)",,
168910140,True,,secondary,False,126.77999999999999,,,,"LINESTRING (6.9106391 36.8834695, 6.9104332 36.8834585, 6.9103592 36.8834548, 6.9102846 36.8834497, 6.9094569 36.8834111, 6.9093969 36.8834076, 6.9093349 36.8834011, 6.9092194 36.8833807)",,
253914320,True,,secondary,False,18.091,,,,"LINESTRING (6.9108965 36.8817854, 6.9109455 36.8819433)",,
253914412,True,,secondary,False,21.515,,,,"LINESTRING (6.9108965 36.8817854, 6.9111349 36.8818182)",,
168946061,True,,primary,False,60.91,,,,"LINESTRING (6.9064523 36.8830729, 6.9064896 36.8831026, 6.9065408 36.8831738, 6.9066186 36.8832789, 6.9066669 36.8833046, 6.9067605 36.8833086, 6.9069853 36.8833172)",,
168946052,True,Place des Martyrs,primary,False,2.672,,,40,"LINESTRING (6.9095222 36.8763452, 6.9095309 36.8763222)",,roundabout
401052387,True,,secondary,False,98.431,,,,"LINESTRING (6.9094553 36.8803623, 6.9095595 36.8805297, 6.9095959 36.8806014, 6.9096173 36.8807151, 6.9096063 36.8808778, 6.9095554 36.8810645, 6.9094829 36.8812048)",,
168946052,True,Place des Martyrs,primary,False,25.494000000000003,,,40,"LINESTRING (6.9097199 36.8763761, 6.9096577 36.8764135, 6.9096121 36.8764263, 6.9095745 36.8764242, 6.909545 36.8764113, 6.9095236 36.8763856, 6.9095222 36.8763694, 6.9095222 36.8763452)",,roundabout
"[280411184, 585485212]",True,Rue Didouche Mourad,primary,False,93.372,2,RN 3,40,"LINESTRING (6.9097199 36.8763761, 6.9096103 36.8764946, 6.9095827 36.8765363, 6.909528 36.8766068, 6.9092398 36.8771195)",,
284332361,True,Rue Didouche Mourad,primary,False,57.679,2,RN 3,,"LINESTRING (6.9057533 36.8835706, 6.9059882 36.8830871)",,
"[526508832, 168946057, 526508834, 526508830]",False,Avenue Mustapha Ben Boulaid,residential,False,139.736,,,,"LINESTRING (6.9038288 36.8810173, 6.9040296 36.8806354, 6.9040863 36.8806526, 6.9039552 36.8809254, 6.9045325 36.8811213)",,
168946056,True,Rue Mohamed Khemisti,secondary,False,31.265,,,,"LINESTRING (6.9077615 36.879749, 6.9080817 36.879865)",,
280411184,True,Rue Didouche Mourad,primary,False,81.441,2,RN 3,40,"LINESTRING (6.9077615 36.879749, 6.9075781 36.8800752, 6.907386 36.880417)",,
168946059,True,Rue Mohamed Salah Dehili,residential,False,59.202,,,,"LINESTRING (6.9083504 36.8793779, 6.9080817 36.879865)",,
172432784,True,,residential,False,30.844,,,,"LINESTRING (6.9083504 36.8793779, 6.908032 36.879268)",,
168946056,True,Rue Mohamed Khemisti,secondary,False,40.937,,,,"LINESTRING (6.9080817 36.879865, 6.9085047 36.8800101)",,
168946059,True,Rue Mohamed Salah Dehili,residential,False,81.763,,,,"LINESTRING (6.9080817 36.879865, 6.9077145 36.8805391)",,
168946052,True,Place des Martyrs,primary,False,36.777,,,40,"LINESTRING (6.90998 36.8760016, 6.9099387 36.8760808, 6.9097967 36.8762978)",,roundabout
