osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,junction,name
140327211,False,2,RN 4,primary,50,False,46.178,"LINESTRING (1.5356178 36.1893586, 1.5360886 36.1895262)",,
140327211,False,2,RN 4,primary,50,True,112.95,"LINESTRING (1.5356178 36.1893586, 1.5344687 36.1889442)",,
207492285,False,,,residential,,True,147.064,"LINESTRING (1.5356178 36.1893586, 1.5362464 36.1881372)",,
207492028,False,,,residential,,False,109.3,"LINESTRING (1.5309843 36.1877316, 1.5314258 36.1868155)",,
140327211,False,2,RN 4,primary,50,False,181.66199999999998,"LINESTRING (1.5309843 36.1877316, 1.5312365 36.1878185, 1.532846 36.188373)",,
207486928,True,,,tertiary,,False,22.073,"LINESTRING (1.5349918 36.1859405, 1.5349584 36.1858815, 1.5349132 36.1857893, 1.5349021 36.185756)",roundabout,
207486885,True,,,tertiary,,False,110.715,"LINESTRING (1.5341444 36.1877369, 1.5336617 36.1886532)",,
207492221,False,,,residential,50,True,5.717,"LINESTRING (1.5341444 36.1877369, 1.5340837 36.1877213)",,Rue de la Révolution شارع الثورة
140327211,False,2,RN 4,primary,50,False,79.322,"LINESTRING (1.5336617 36.1886532, 1.5344687 36.1889442)",,
140327211,False,2,RN 4,primary,50,True,5.489,"LINESTRING (1.5336617 36.1886532, 1.5336051 36.1886345)",,
207486885,True,,,tertiary,,False,65.007,"LINESTRING (1.5350845 36.1859486, 1.5350282 36.1860525, 1.5348005 36.1864864)",,
207486928,True,,,tertiary,,False,8.974,"LINESTRING (1.5350845 36.1859486, 1.5350286 36.1859582, 1.5349918 36.1859405)",roundabout,
207492172,False,,,residential,,True,80.88199999999999,"LINESTRING (1.5350845 36.1859486, 1.5351082 36.1859934, 1.5351462 36.1860179, 1.5358793 36.1862603)",,
207486902,True,,,tertiary,,False,73.647,"LINESTRING (1.5344224 36.1870752, 1.5347418 36.1864651)",,
207491992,False,,,residential,50,False,5.75,"LINESTRING (1.5344224 36.1870752, 1.534478 36.1871009)",,
207491992,False,,,residential,50,True,218.81,"LINESTRING (1.5344224 36.1870752, 1.5321716 36.1863188)",,
207486928,True,,,tertiary,,False,4.12,"LINESTRING (1.5349588 36.18572, 1.5350044 36.1857157)",roundabout,
521618068,True,,,residential,,False,14.618,"LINESTRING (1.5349021 36.185756, 1.5347764 36.1856724)",,
207486928,True,,,tertiary,,False,6.548,"LINESTRING (1.5349021 36.185756, 1.5349209 36.1857386, 1.5349588 36.18572)",roundabout,
207492023,False,,,residential,,False,120.953,"LINESTRING (1.536367 36.1828451, 1.5376076 36.18327)",,
210128365,False,,,tertiary,,False,4.12,"LINESTRING (1.536367 36.1828451, 1.5363645 36.1828081)",,
210128365,False,,,tertiary,,True,48.217,"LINESTRING (1.536367 36.1828451, 1.536412 36.1832772)",,
207492259,False,,,residential,,False,10.841,"LINESTRING (1.5363048 36.181909, 1.536193 36.1818721)",,
210128365,False,,,tertiary,,True,51.662,"LINESTRING (1.5363048 36.181909, 1.5363082 36.1823736)",,
210128365,False,,,tertiary,,False,44.812,"LINESTRING (1.5363048 36.181909, 1.5363209 36.1817488, 1.5363584 36.1816145, 1.5364124 36.1815194)",,
207492145,False,,,residential,,False,79.364,"LINESTRING (1.536412 36.1832772, 1.5355964 36.1830014)",,
210128365,False,,,tertiary,,False,48.217,"LINESTRING (1.536412 36.1832772, 1.536367 36.1828451)",,
207492003,False,,,residential,,False,101.077,"LINESTRING (1.536412 36.1832772, 1.5368628 36.1834331, 1.5369272 36.1834439, 1.5370322 36.1834556, 1.5370969 36.1834704, 1.5374662 36.1835875)",,
210128365,False,,,tertiary,,True,28.488,"LINESTRING (1.536412 36.1832772, 1.5363906 36.1833681, 1.5363251 36.183523)",,
140327211,False,2,RN 4,primary,50,False,5.489,"LINESTRING (1.5336051 36.1886345, 1.5336617 36.1886532)",,
140327211,False,2,RN 4,primary,50,True,74.07,"LINESTRING (1.5336051 36.1886345, 1.532846 36.188373)",,
207486902,True,,,tertiary,,False,110.254,"LINESTRING (1.5336051 36.1886345, 1.5340837 36.1877213)",,
207486897,True,,,tertiary,,False,119.263,"LINESTRING (1.5350044 36.1857157, 1.5351059 36.1856694, 1.5351596 36.1856326, 1.5352116 36.1855814, 1.5355704 36.1849125, 1.5356297 36.1847954)",,
207486928,True,,,tertiary,,False,25.781999999999996,"LINESTRING (1.5350044 36.1857157, 1.5350496 36.1857321, 1.5351037 36.185798, 1.5351167 36.185849, 1.535114 36.1859097)",roundabout,
207486928,True,,,tertiary,,False,5.071,"LINESTRING (1.535114 36.1859097, 1.5350845 36.1859486)",roundabout,
210128365,False,,,tertiary,,False,2.657,"LINESTRING (1.5363155 36.1835456, 1.5363251 36.183523)",,
207486896,True,,,tertiary,,False,45.327999999999996,"LINESTRING (1.5363155 36.1835456, 1.5362912 36.1836563, 1.5361464 36.1839274)",,
207492092,False,-1,,residential,50,False,6.401,"LINESTRING (1.5360827 36.1839015, 1.5361464 36.1839274)",,Rue Mimoun شارع ميمون
