osmid,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,junction,name
266307149,residential,False,True,24.608,,,"LINESTRING (3.0243597 35.0738139, 3.0240894 35.0738076)",,,
266307152,secondary,True,False,197.767,2,50,"LINESTRING (3.0243597 35.0738139, 3.0241466 35.0732771, 3.0236904 35.0721218)",,,
266315239,residential,False,True,54.62,,,"LINESTRING (3.0270609 35.0755303, 3.0264628 35.0754891)",,,
"[266241938, 266241941]",primary,True,False,49.027,2,"['40', '50']","LINESTRING (3.0270609 35.0755303, 3.0271574 35.0753546, 3.0272531 35.075119)",RN 1,,
130210291,secondary,True,False,4.764,,,"LINESTRING (3.0268523 35.0762639, 3.0269023 35.0762766)",CW 166,,
266241941,primary,True,False,83.752,2,40,"LINESTRING (3.0268523 35.0762639, 3.0270609 35.0755303)",RN 1,,
266241944,primary,True,False,9.690999999999999,,30,"LINESTRING (3.0261417 35.0779037, 3.0261279 35.0778827, 3.0261201 35.0778517, 3.0261251 35.0778203)",,roundabout,
266241941,primary,True,False,7.696,2,40,"LINESTRING (3.0268331 35.0763313, 3.0268523 35.0762639)",RN 1,,
266241936,residential,False,True,91.842,,,"LINESTRING (3.0262956 35.0783657, 3.0259317 35.0791361)",,,
266241945,residential,False,True,16.091,,,"LINESTRING (3.0262956 35.0783657, 3.0261807 35.0782557)",,,
266241945,residential,False,False,202.373,,,"LINESTRING (3.0262956 35.0783657, 3.0275672 35.0783261, 3.0280022 35.0783585, 3.0285127 35.0784116)",,,
56012992,secondary,False,False,28.354,,40,"LINESTRING (3.0260277 35.077662, 3.0259356 35.0774184)",,,
272243354,secondary,True,False,19.268,,30,"LINESTRING (3.0260277 35.077662, 3.0261548 35.077719, 3.0262042 35.0777558)",,,
550120694,primary,True,False,7.593,2,40,"LINESTRING (3.0269023 35.0762766, 3.0268809 35.0763426)",RN 1,,
130210291,secondary,True,False,88.754,,,"LINESTRING (3.0269023 35.0762766, 3.0276874 35.0764754, 3.0278318 35.076518)",CW 166,,
130209507,secondary,True,False,4.528,,,"LINESTRING (3.0268809 35.0763426, 3.0268331 35.0763313)",CW 166,,
