osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref
293981847,tertiary,False,False,124.487,"LINESTRING (1.1302071 36.0608237, 1.129568 36.0618169)",,,
108800359,residential,False,False,208.204,"LINESTRING (1.129568 36.0618169, 1.12753 36.0609271)",,,
293981847,tertiary,False,False,308.41,"LINESTRING (1.129568 36.0618169, 1.127952 36.0642636)",,,
293981847,tertiary,False,True,124.487,"LINESTRING (1.129568 36.0618169, 1.1302071 36.0608237)",,,
108800359,residential,False,True,155.95000000000002,"LINESTRING (1.129568 36.0618169, 1.1309024 36.0623654, 1.1311088 36.0624611)",,,
108800375,residential,False,True,68.23,"LINESTRING (1.1267383 36.0661022, 1.1274062 36.0663938)",,,
187122591,secondary,False,False,69.006,"LINESTRING (1.1267383 36.0661022, 1.126387 36.066654)",2,50,
187122591,secondary,False,True,91.787,"LINESTRING (1.1267383 36.0661022, 1.1272185 36.0653737)",2,50,
108800375,residential,False,False,68.152,"LINESTRING (1.1267383 36.0661022, 1.1265238 36.0660111, 1.1262126 36.0658886, 1.1260638 36.0658225)",,,
208608340,residential,False,True,72.895,"LINESTRING (1.1258615 36.0674146, 1.1265707 36.0677326)",,,
293981836,secondary,False,False,61.352,"LINESTRING (1.1258615 36.0674146, 1.1255238 36.0678941)",2,50,
108800379,unclassified,False,False,116.96700000000001,"LINESTRING (1.1258615 36.0674146, 1.1253674 36.0671871, 1.1250257 36.0670269, 1.1247468 36.066873)",2,50,
"[293981834, 293981836, 187122591]",secondary,False,True,96.884,"LINESTRING (1.1258615 36.0674146, 1.1260531 36.0671474, 1.126079 36.0671138, 1.126387 36.066654)",2,50,
108800361,residential,False,False,74.124,"LINESTRING (1.127952 36.0642636, 1.1272298 36.0639418)",,,
293981847,tertiary,False,False,45.384,"LINESTRING (1.127952 36.0642636, 1.1277093 36.0646215)",,,
293981847,tertiary,False,True,308.41,"LINESTRING (1.127952 36.0642636, 1.129568 36.0618169)",,,
108800361,residential,False,True,73.95400000000001,"LINESTRING (1.127952 36.0642636, 1.1282592 36.0644121, 1.1286776 36.0645758)",,,
187122591,secondary,False,False,91.787,"LINESTRING (1.1272185 36.0653737, 1.1267383 36.0661022)",2,50,
334626447,primary,False,False,66.334,"LINESTRING (1.1272185 36.0653737, 1.1278689 36.0656556)",2,50,RN 4
293981847,tertiary,False,True,94.59,"LINESTRING (1.1272185 36.0653737, 1.1274129 36.0650971, 1.1277093 36.0646215)",,,
334626447,primary,False,True,68.377,"LINESTRING (1.1272185 36.0653737, 1.1269221 36.0652458, 1.1265452 36.0650875)",2,50,RN 4
727663663,residential,False,False,224.787,"LINESTRING (1.1306423 36.0654149, 1.1318227 36.0636327)",,,
727663663,residential,False,True,126.218,"LINESTRING (1.1306423 36.0654149, 1.1300097 36.0664283)",,,
