osmid,highway,oneway,reversed,length,lanes,maxspeed,geometry,name,junction
171170163,residential,False,True,9.552,,,"LINESTRING (6.1674735 36.1617312, 6.167447 36.1618144)",,
171170198,residential,False,True,65.872,,,"LINESTRING (6.1674735 36.1617312, 6.168185 36.161876)",,
183512498,tertiary,True,False,69.455,2,40,"LINESTRING (6.1721544 36.164226, 6.1722803 36.1636097)",,
262464034,residential,False,True,11.013,,,"LINESTRING (6.1721544 36.164226, 6.1722745 36.1642462)",,
262464034,residential,False,False,160.14000000000001,,,"LINESTRING (6.1721544 36.164226, 6.171545 36.1641423, 6.1713143 36.1650648)",,
171170167,residential,False,False,58.932,,,"LINESTRING (6.168168 36.1619569, 6.1680003 36.1624693)",,
171170167,residential,False,True,9.124,,,"LINESTRING (6.168168 36.1619569, 6.168185 36.161876)",,
171170183,residential,False,False,66.638,,,"LINESTRING (6.168168 36.1619569, 6.167447 36.1618144)",,
171170183,residential,False,True,90.927,,,"LINESTRING (6.168168 36.1619569, 6.1691516 36.162152)",,
171170214,residential,False,False,84.643,,,"LINESTRING (6.1699034 36.1628209, 6.1689816 36.1626609)",,
171170214,residential,False,True,52.274,,,"LINESTRING (6.1699034 36.1628209, 6.1704667 36.16294)",,
171170164,tertiary,False,False,53.866,,,"LINESTRING (6.1699034 36.1628209, 6.1697834 36.163022, 6.1696663 36.1632655)",,
171170164,tertiary,False,True,56.601,,,"LINESTRING (6.1699034 36.1628209, 6.1699389 36.1626907, 6.1699806 36.1623165)",,
171170171,tertiary,False,False,74.013,,,"LINESTRING (6.1704449 36.1631611, 6.1707999 36.1630891, 6.1710789 36.1630458, 6.1712532 36.163048)",,
262448493,tertiary,True,False,70.97500000000001,,,"LINESTRING (6.1704449 36.1631611, 6.1702632 36.1632212, 6.1697817 36.163298, 6.1696791 36.1632873)",,
171170183,residential,False,False,76.637,,,"LINESTRING (6.1699806 36.1623165, 6.1691516 36.162152)",,
171170164,tertiary,False,False,56.601,,,"LINESTRING (6.1699806 36.1623165, 6.1699389 36.1626907, 6.1699034 36.1628209)",,
171170164,tertiary,False,True,90.274,,,"LINESTRING (6.1699806 36.1623165, 6.1700435 36.1617422, 6.1700462 36.1615069)",,
171170183,residential,False,True,176.881,,,"LINESTRING (6.1699806 36.1623165, 6.1709549 36.1624597, 6.1710246 36.1624467, 6.1710675 36.1624121, 6.1710997 36.1623645, 6.1713066 36.1617568)",,
171170173,residential,False,False,51.696,1,20,"LINESTRING (6.1637793 36.1656924, 6.1636893 36.1652332)",حارة عزوز,
171170174,primary,False,True,44.601,2,50,"LINESTRING (6.1637793 36.1656924, 6.1642648 36.1657776)",,
171170173,residential,False,True,79.899,1,20,"LINESTRING (6.1637793 36.1656924, 6.163861 36.1660081, 6.1639388 36.1661792, 6.16401 36.1663851)",حارة عزوز,
171170170,residential,False,False,31.071,,,"LINESTRING (6.166265 36.1668783, 6.166527 36.1666957)",,
171170170,residential,False,True,47.873,,,"LINESTRING (6.166265 36.1668783, 6.1659311 36.1665426)",,
262448508,residential,False,False,48.064,,,"LINESTRING (6.166265 36.1668783, 6.1666163 36.1672045)",,
