osmid,oneway,ref,highway,reversed,length,geometry,name,bridge,junction
28773256,False,RN 29,primary,False,73.783,"LINESTRING (3.3282723 36.6526169, 3.3283413 36.6526004, 3.328803 36.6524624, 3.3289024 36.6524275, 3.3290371 36.6523678)",,,
340558644,True,,primary,False,85.03200000000001,"LINESTRING (3.3282723 36.6526169, 3.3281198 36.6526926, 3.3280823 36.6527098, 3.3280405 36.6527252, 3.3277296 36.6528221, 3.3276748 36.6528439, 3.3276118 36.652879, 3.3275572 36.6529217, 3.327512 36.6529707, 3.3274777 36.6530112)",,,
117447751,False,,residential,False,51.454,"LINESTRING (3.3334793 36.649319, 3.333888 36.6496455)",,,
28773256,False,RN 29,primary,False,58.998,"LINESTRING (3.3334793 36.649319, 3.3338484 36.6490642, 3.3340019 36.6489978)",,,
28773256,False,RN 29,primary,True,61.718,"LINESTRING (3.3334793 36.649319, 3.333152 36.649542, 3.332952 36.6496783)",,,
117447751,False,,residential,True,127.815,"LINESTRING (3.3334793 36.649319, 3.3330192 36.6488774, 3.3325604 36.6484371)",,,
245084605,False,CW 48,secondary,False,12.042,"LINESTRING (3.3340019 36.6489978, 3.3340743 36.6489064)",,,
28773256,False,RN 29,primary,False,129.662,"LINESTRING (3.3340019 36.6489978, 3.334269 36.6488921, 3.3349127 36.6488232, 3.3353247 36.6489196, 3.3353894 36.6489531)",,,
28773256,False,RN 29,primary,True,58.998,"LINESTRING (3.3340019 36.6489978, 3.3338484 36.6490642, 3.3334793 36.649319)",,,
245084605,False,CW 48,secondary,True,123.055,"LINESTRING (3.3357708 36.6475646, 3.3353068 36.6476464, 3.3351579 36.6476883, 3.3350614 36.6477677, 3.3346899 36.6481541)",,,
724616239,False,,residential,False,106.05,"LINESTRING (3.3357708 36.6475646, 3.3357111 36.6473289, 3.3351073 36.6469103, 3.3350572 36.6468494)",,,
117447749,False,,tertiary,False,74.07,"LINESTRING (3.3267217 36.646503, 3.3275222 36.6466797)",,,
117447749,False,,tertiary,True,34.472,"LINESTRING (3.3267217 36.646503, 3.326507 36.6464517, 3.3263458 36.6464361)",,,
117447737,False,,residential,False,47.721,"LINESTRING (3.3304542 36.6549062, 3.3299226 36.6549542)",,,
117447728,False,,residential,False,158.573,"LINESTRING (3.3304542 36.6549062, 3.3304123 36.6545428, 3.3317042 36.6543152)",,,
117447737,False,,residential,True,174.35999999999999,"LINESTRING (3.3304542 36.6549062, 3.331807 36.6547839, 3.3317042 36.6543152)",,,
117447728,False,,residential,False,45.767,"LINESTRING (3.3317042 36.6543152, 3.3322067 36.6542322)",,,
117447728,False,,residential,True,158.573,"LINESTRING (3.3317042 36.6543152, 3.3304123 36.6545428, 3.3304542 36.6549062)",,,
117447737,False,,residential,False,174.35999999999999,"LINESTRING (3.3317042 36.6543152, 3.331807 36.6547839, 3.3304542 36.6549062)",,,
117447728,False,,residential,True,45.767,"LINESTRING (3.3322067 36.6542322, 3.3317042 36.6543152)",,,
117447735,False,,residential,False,80.782,"LINESTRING (3.3322067 36.6542322, 3.3321289 36.654956)",,,
117447735,False,,residential,True,55.212,"LINESTRING (3.3322067 36.6542322, 3.3322723 36.6538523, 3.332318 36.6537454)",,,
117447749,False,,tertiary,False,34.472,"LINESTRING (3.3263458 36.6464361, 3.326507 36.6464517, 3.3267217 36.646503)",,,
117447733,False,,residential,False,48.305,"LINESTRING (3.3322898 36.6507556, 3.3319315 36.6504299)",,,
117447745,False,,residential,False,120.841,"LINESTRING (3.3322898 36.6507556, 3.3333139 36.6500443)",,,
117447745,False,,residential,True,36.013,"LINESTRING (3.3322898 36.6507556, 3.3320414 36.6510109)",,,
28773256,False,RN 29,primary,False,48.935,"LINESTRING (3.3319315 36.6504299, 3.332339 36.6501353)",,,
