osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,name,junction
201864917,RN 26,primary,40,False,False,37.012,"LINESTRING (4.6951775 36.6105515, 4.6950825 36.6105773, 4.6948618 36.6106915, 4.694822 36.6107181)",,,,
"[201864916, 201864917, 35749638]",RN 26,primary,40,False,True,260.277,"LINESTRING (4.6951775 36.6105515, 4.6952886 36.6104931, 4.6954533 36.6104532, 4.6956554 36.6105287, 4.6957255 36.6106384, 4.6958598 36.6110627, 4.696217 36.6123407, 4.6962286 36.612386)",yes,,,
401021938,RN 26,primary,60,False,False,20.954,"LINESTRING (4.6946623 36.610835, 4.6945336 36.6109926)",,,,
"[401021938, 201864917]",RN 26,primary,"['60', '40']",False,True,19.311999999999998,"LINESTRING (4.6946623 36.610835, 4.6947377 36.6107744, 4.694822 36.6107181)",,,,
35749638,RN 26,primary,40,False,True,29.091,"LINESTRING (4.6962286 36.612386, 4.696294 36.6126423)",,,,
"[201864916, 201864917, 35749638]",RN 26,primary,40,False,False,260.277,"LINESTRING (4.6962286 36.612386, 4.696217 36.6123407, 4.6958598 36.6110627, 4.6957255 36.6106384, 4.6956554 36.6105287, 4.6954533 36.6104532, 4.6952886 36.6104931, 4.6951775 36.6105515)",yes,,,
239241974,RN 26,primary,40,True,False,45.681,"LINESTRING (4.6962286 36.612386, 4.6963331 36.6124959, 4.6963706 36.6125218, 4.6964071 36.6125449, 4.6964363 36.6125584, 4.6965182 36.6125853, 4.696595 36.6125834, 4.6966394 36.6125802)",,,,
261089155,,residential,,False,False,436.646,"LINESTRING (4.6917722 36.6146496, 4.6916425 36.6146618, 4.6914857 36.6146605, 4.6912466 36.6146554, 4.6910422 36.6146554, 4.6908997 36.6146783, 4.6907445 36.6146961, 4.6906466 36.6146873, 4.6905449 36.6146748, 4.6904223 36.6146476, 4.6903623 36.6146224, 4.6902631 36.6145952, 4.6901771 36.6145805, 4.690031 36.6145973, 4.6899162 36.6146266, 4.6898249 36.6146894, 4.6897283 36.6147774, 4.6896579 36.6149156, 4.6896005 36.6150287, 4.6895405 36.6151313, 4.6894622 36.6152004, 4.6894256 36.6152182, 4.6893761 36.6152423, 4.6892535 36.6152506, 4.6891518 36.6152402, 4.6890109 36.6152234, 4.6889196 36.6151962, 4.68881 36.6151564, 4.6887004 36.6151208, 4.688617 36.6151041, 4.6885361 36.6150768, 4.6884761 36.6150056, 4.6884213 36.6148946, 4.6883639 36.6147774, 4.68833 36.614702, 4.6882778 36.6146664, 4.6881761 36.6146496, 4.6880639 36.6146308, 4.6879334 36.6146161, 4.6878265 36.6146036, 4.6877065 36.6146224)",,,,
370857693,CW 13,secondary,40,False,False,66.899,"LINESTRING (4.6917722 36.6146496, 4.6918017 36.6147099, 4.6918687 36.6147443, 4.6919358 36.6147508, 4.692014 36.614734, 4.6921879 36.6147206, 4.6922576 36.6147228, 4.6923327 36.6147443, 4.69244 36.6147809)",,,,
370857693,CW 13,secondary,40,False,True,160.267,"LINESTRING (4.6917722 36.6146496, 4.6917748 36.6146044, 4.6918097 36.6145505, 4.6918687 36.6145032, 4.6919465 36.6144601, 4.692432 36.6142943, 4.6926439 36.6142448, 4.6928236 36.6142298, 4.6928906 36.6142276, 4.6929631 36.6142211, 4.6930323 36.6141941, 4.6931106 36.6141566, 4.6931401 36.6141113, 4.6931514 36.6140554, 4.6931523 36.6140133, 4.6931373 36.6139651)",,,,
239242778,CW 13,secondary,,True,False,59.534,"LINESTRING (4.688959 36.6136586, 4.6886953 36.61348, 4.6886145 36.6134233, 4.6885373 36.6133634, 4.688464 36.6133005)",,,,
