osmid,oneway,ref,name,highway,maxspeed,access,reversed,length,geometry,junction,lanes,bridge
426781324,True,CW 108,طريق الجلفة - فيض البطمة,secondary,100,destination,False,42.178,"LINESTRING (3.7833566 34.5299142, 3.782912 34.5300128)",,,
426781329,False,CW 108,طريق الجلفة - فيض البطمة,secondary,100,destination,False,9.22,"LINESTRING (3.7833566 34.5299142, 3.7833315 34.5298339)",,,
427387776,False,,,residential,,,False,97.908,"LINESTRING (3.7833566 34.5299142, 3.7836245 34.5307666)",,,
427383566,False,,,residential,,,False,36.74,"LINESTRING (3.7833376 34.5277453, 3.78361 34.5275028)",,,
426781337,False,RN 89,طريق مسعد - الفيض,primary,40,,False,125.234,"LINESTRING (3.7833376 34.5277453, 3.7844436 34.527962, 3.7846666 34.5279149)",,,
692501728,True,RN 89,طريق مسعد - الفيض,primary,40,,False,68.893,"LINESTRING (3.7833376 34.5277453, 3.7832223 34.527859, 3.7827015 34.5280543)",,,
426781329,False,CW 108,طريق الجلفة - فيض البطمة,secondary,100,destination,True,70.302,"LINESTRING (3.7827015 34.5280543, 3.7829318 34.5286574)",,,
"[692501728, 426781331]",True,RN 89,طريق مسعد - الفيض,primary,40,,False,25.519,"LINESTRING (3.7827015 34.5280543, 3.7826143 34.5280749, 3.7824342 34.5281189)",,,
426781337,False,RN 89,طريق مسعد - الفيض,primary,40,,True,4.227,"LINESTRING (3.78839 34.5271319, 3.7883452 34.527141)",,,
425297658,False,,,secondary,,,False,36.324,"LINESTRING (3.78839 34.5271319, 3.788251 34.527299, 3.7882277 34.5274216)",,,
425297658,False,,,secondary,,,False,46.805,"LINESTRING (3.7882277 34.5274216, 3.7883091 34.5277293, 3.7883428 34.5278316)",,,
425297658,False,,,secondary,,,True,36.324,"LINESTRING (3.7882277 34.5274216, 3.788251 34.527299, 3.78839 34.5271319)",,,
426781327,False,,,secondary,,,False,35.927,"LINESTRING (3.7882277 34.5274216, 3.7881725 34.5273587, 3.7880924 34.5272597, 3.7879458 34.5272221)",,,
426781328,True,,,secondary,,,False,4.887,"LINESTRING (3.7882364 34.5287656, 3.7882013 34.5287987)",,,
425297658,False,,,secondary,,,True,43.24,"LINESTRING (3.7882364 34.5287656, 3.7883564 34.528717, 3.7883983 34.5286973, 3.7885238 34.5286476, 3.7885728 34.5285715, 3.7885694 34.5285335)",,,
426781337,False,RN 89,طريق مسعد - الفيض,primary,40,,False,37.684,"LINESTRING (3.7879458 34.5272221, 3.7883452 34.527141)",,,
426781327,False,,,secondary,,,True,35.927,"LINESTRING (3.7879458 34.5272221, 3.7880924 34.5272597, 3.7881725 34.5273587, 3.7882277 34.5274216)",,,
426781337,False,RN 89,طريق مسعد - الفيض,primary,40,,True,22.587,"LINESTRING (3.7879458 34.5272221, 3.7878696 34.5272376, 3.7877068 34.527272)",,,
426781329,False,CW 108,طريق الجلفة - فيض البطمة,secondary,100,destination,False,38.71,"LINESTRING (3.7833315 34.5298339, 3.7832174 34.5294987)",,,
426781329,False,CW 108,طريق الجلفة - فيض البطمة,secondary,100,destination,True,9.22,"LINESTRING (3.7833315 34.5298339, 3.7833566 34.5299142)",,,
427583660,True,,,secondary,,,False,107.324,"LINESTRING (3.7833315 34.5298339, 3.7844665 34.5295946)",,,
426786112,False,,,residential,,,False,7.882,"LINESTRING (3.7860111 34.5292417, 3.7860303 34.5293108)",,,
426786112,False,,,residential,,,True,61.69,"LINESTRING (3.7860111 34.5292417, 3.7858355 34.5287061)",,,
